,Unnamed: 0,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop,Region,Cases,Deaths,Confirmed cases in the last 14 days,Attainment of goals / Health / Level (DALE),Attainment of goals / Health / Distribution,Attainment of goals / Health / Overall goal attainment,Health expenditure per capita in international dollars,Performance / On level of health,Performance / Overall health system performance,date
0,0,Afghanistan,1351,72,43,1,188,1120,7,35.0,1.0,6422,165,Asia,1281,42,797,164,182,183,184,150,173,04-24-2020
1,1,Albania,678,15,27,0,394,257,4,236.0,9.0,6509,2262,Europe,663,27,254,102,128,86,149,64,55,04-24-2020
2,2,Algeria,3007,0,407,0,1355,1245,40,69.0,9.0,6500,148,Africa,3007,407,1341,44,63,56,24,45,81,04-24-2020
3,3,Andorra,723,0,37,0,333,353,17,9357.0,479.0,1673,21653,Europe,724,37,141,10,25,17,23,7,4,04-24-2020
4,4,Angola,25,0,2,0,6,17,0,0.8,0.06,0,0,Africa,25,2,6,165,178,181,164,165,181,04-24-2020
5,5,Argentina,3435,0,167,2,976,2292,123,76.0,4.0,44654,988,America,3423,165,1529,39,60,49,34,71,75,04-24-2020
6,6,Armenia,1596,73,27,3,728,841,10,539.0,9.0,16552,5586,Europe,1596,27,675,41,63,81,102,56,104,04-24-2020
7,7,Australia,6675,8,79,4,5136,1460,43,262.0,3.0,482371,18917,Oceania,6667,75,515,2,17,12,17,39,32,04-24-2020
8,8,Austria,15071,69,530,8,11872,2669,156,1673.0,59.0,212686,23615,Europe,14985,508,1737,17,8,10,6,15,9,04-24-2020
9,9,Azerbaijan,1592,44,21,1,1013,558,14,157.0,2.0,114410,11284,Europe,1548,20,622,65,99,103,162,60,109,04-24-2020
10,10,Bahamas,72,0,11,0,14,47,1,183.0,28.0,0,0,America,72,11,31,109,67,64,22,137,98,04-24-2020
11,11,Bahrain,2506,289,8,0,1113,1385,2,1473.0,5.0,100031,58787,Asia,2217,8,1330,61,72,58,48,30,42,04-24-2020
12,12,Bangladesh,4689,503,131,4,112,4446,1,28.0,0.8,39476,240,Asia,4186,127,3856,140,125,131,144,103,88,04-24-2020
13,13,Barbados,76,0,6,0,30,40,4,264.0,21.0,1222,4252,America,76,6,10,53,36,38,36,87,46,04-24-2020
14,14,Belarus,8773,751,63,3,1120,7590,92,928.0,7.0,130824,13845,Europe,8022,60,6536,83,46,53,74,116,72,04-24-2020
15,15,Belgium,44293,1496,6679,189,10122,27492,970,3822.0,576.0,189067,16313,Europe,42797,6490,17814,16,26,13,15,28,21,04-24-2020
16,16,Belize,18,0,2,0,5,11,1,45.0,5.0,816,2052,America,18,2,9,94,95,104,88,34,69,04-24-2020
17,17,Benin,54,0,1,0,27,26,0,4.0,0.08,0,0,Africa,58,1,28,157,132,143,171,136,97,04-24-2020
18,18,Bhutan,7,0,0,0,3,4,0,9.0,0.0,8953,11603,Asia,7,0,2,138,158,144,135,73,124,04-24-2020
19,19,Bolivia,703,31,43,3,44,616,3,60.0,4.0,4420,379,America,703,43,435,133,118,117,101,142,126,04-24-2020
20,20,Botswana,22,0,1,0,0,21,0,9.0,0.4,5023,2136,Africa,22,1,9,187,146,168,85,188,169,04-24-2020
21,21,Brazil,50512,1020,3365,52,26573,20574,8318,238.0,16.0,291922,1373,America,49492,3313,31635,111,108,125,54,78,125,04-24-2020
22,22,Bulgaria,1188,91,54,2,193,941,37,171.0,8.0,27000,3886,Europe,1097,52,473,60,53,74,96,92,102,04-24-2020
23,23,Burundi,11,0,1,0,4,6,0,0.9,0.08,284,24,Africa,11,1,8,179,154,161,186,171,143,04-24-2020
24,24,Cambodia,122,0,0,0,110,12,1,7.0,0.0,5768,345,Asia,122,0,3,148,150,166,140,157,174,04-24-2020
25,25,Cameroon,1430,96,43,0,668,719,20,54.0,2.0,0,0,Africa,1401,49,671,156,160,163,131,172,164,04-24-2020
26,26,Canada,42110,0,2147,0,14761,25202,557,1116.0,57.0,634917,16822,America,42099,2146,21351,12,18,7,10,35,30,04-24-2020
27,27,Chad,40,7,0,0,8,32,0,2.0,0.0,0,0,Africa,40,0,29,161,175,177,175,161,178,04-24-2020
28,28,Chile,11812,0,168,0,5804,5840,411,618.0,9.0,135147,7070,America,11812,168,5840,32,1,33,44,23,33,04-24-2020
29,29,Colombia,4561,0,215,0,927,3419,98,90.0,4.0,71500,1405,America,4561,215,2338,74,44,41,49,51,22,04-24-2020
30,30,Congo,186,0,6,0,16,164,0,34.0,1.0,0,0,Africa,186,6,126,150,142,155,122,167,166,04-24-2020
31,31,Croatia,2009,28,51,1,982,976,19,489.0,12.0,30213,7360,Europe,1981,50,574,38,33,36,56,57,43,04-24-2020
32,32,Cuba,1235,0,43,0,365,827,14,109.0,4.0,34243,3023,America,1235,43,720,33,41,40,118,36,39,04-24-2020
33,33,Cyprus,804,9,14,1,98,692,15,666.0,12.0,40745,33747,Europe,795,17,231,25,31,28,39,22,24,04-24-2020
34,34,Denmark,8210,137,403,9,5526,2281,69,1417.0,70.0,125329,21638,Europe,8073,394,2438,28,21,20,8,65,34,04-24-2020
35,35,Djibouti,999,13,2,0,330,667,0,1011.0,2.0,11090,11225,Africa,986,2,846,166,169,170,163,163,157,04-24-2020
36,36,Dominica,16,0,0,0,9,7,0,222.0,0.0,377,5237,America,16,0,0,26,35,42,70,59,35,04-24-2020
37,37,Ecuador,11183,0,560,0,1328,9295,141,634.0,32.0,34840,1975,America,11183,560,6218,93,133,107,97,96,111,04-24-2020
38,38,Egypt,4092,201,294,7,1075,2723,0,40.0,3.0,90000,879,Africa,3659,276,1960,115,141,110,115,43,63,04-24-2020
39,39,Eritrea,39,0,0,0,11,28,0,11.0,0.0,0,0,Africa,39,0,6,169,167,176,187,148,158,04-24-2020
40,40,Estonia,1605,13,46,1,206,1353,6,1210.0,35.0,46281,34889,Europe,1592,45,385,69,43,48,60,115,77,04-24-2020
41,41,Ethiopia,117,1,3,0,25,89,0,1.0,0.03,11669,102,Africa,116,3,60,182,176,186,189,169,180,04-24-2020
