,Unnamed: 0,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop,Region,Cases,Deaths,Confirmed cases in the last 14 days,Attainment of goals / Health / Level (DALE),Attainment of goals / Health / Distribution,Attainment of goals / Health / Overall goal attainment,Health expenditure per capita in international dollars,Performance / On level of health,Performance / Overall health system performance,date
0,0,Afghanistan,1828,125,58,1,228,1542,7,47.0,1.0,9000,231,Asia,1703,57,1038,164,182,183,184,150,173,04-28-2020
1,1,Albania,750,14,30,2,431,289,4,261.0,10.0,7758,2696,Europe,736,28,269,102,128,86,149,64,55,04-28-2020
2,2,Algeria,3517,0,432,0,1558,1527,40,80.0,10.0,6500,148,Africa,3517,432,1534,44,63,56,24,45,81,04-28-2020
3,3,Andorra,743,0,40,0,385,318,17,9616.0,518.0,1673,21653,Europe,743,40,97,10,25,17,23,7,4,04-28-2020
4,4,Angola,27,0,2,0,6,19,0,0.8,0.06,0,0,Africa,27,2,8,165,178,181,164,165,181,04-28-2020
5,5,Argentina,4003,0,197,0,1140,2666,144,89.0,4.0,51900,1148,America,3990,197,1718,39,60,49,34,71,75,04-28-2020
6,6,Armenia,1867,59,30,1,866,971,10,630.0,10.0,19296,6512,Europe,1867,30,828,41,63,81,102,56,104,04-28-2020
7,7,Australia,6731,11,84,1,5626,1021,42,264.0,3.0,530679,20811,Oceania,6725,84,359,2,17,12,17,39,32,04-28-2020
8,8,Austria,15357,83,569,20,12580,2208,140,1705.0,63.0,232537,25819,Europe,15256,549,1213,17,8,10,6,15,9,04-28-2020
9,9,Azerbaijan,1678,0,22,0,1162,494,15,165.0,2.0,128807,12704,Europe,1678,22,530,65,99,103,162,60,109,04-28-2020
10,10,Bahamas,80,0,11,0,22,47,1,203.0,28.0,0,0,America,80,11,31,109,67,64,22,137,98,04-28-2020
11,11,Bahrain,2810,87,8,0,1246,1556,2,1651.0,5.0,121260,71263,Asia,2723,8,1362,61,72,58,48,30,42,04-28-2020
12,12,Bangladesh,6462,549,155,3,139,6168,1,39.0,0.9,54733,332,Asia,5913,152,5110,140,125,131,144,103,88,04-28-2020
13,13,Barbados,80,0,6,0,39,35,4,278.0,21.0,1751,6093,America,80,6,8,53,36,38,36,87,46,04-28-2020
14,14,Belarus,12208,919,79,4,1993,10136,92,1292.0,8.0,161028,17041,Europe,11289,75,8370,83,46,53,74,116,72,04-28-2020
15,15,Belgium,47334,647,7331,124,10943,29060,876,4084.0,633.0,220204,19000,Europe,46687,7207,16098,16,26,13,15,28,21,04-28-2020
