,Unnamed: 0,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop,Region,Cases,Deaths,Confirmed cases in the last 14 days,Attainment of goals / Health / Level (DALE),Attainment of goals / Health / Distribution,Attainment of goals / Health / Overall goal attainment,Health expenditure per capita in international dollars,Performance / On level of health,Performance / Overall health system performance,date
0,0,Afghanistan,1026,30,36,3,135,855,7,26.0,0.9,6422,165,Asia,996,33,697,164,182,183,184,150,173,04-22-2020
1,1,Albania,584,22,26,0,327,231,5,203.0,9.0,5775,2007,Europe,562,26,201,102,128,86,149,64,55,04-22-2020
2,2,Algeria,2718,89,384,9,1099,1235,40,62.0,9.0,6500,148,Africa,2629,375,1309,44,63,56,24,45,81,04-22-2020
3,3,Andorra,717,4,37,1,248,432,17,9280.0,479.0,1673,21653,Europe,713,36,212,10,25,17,23,7,4,04-22-2020
4,4,Angola,24,0,2,0,6,16,0,0.7,0.06,0,0,Africa,24,2,10,165,178,181,164,165,181,04-22-2020
5,5,Argentina,2941,0,136,2,737,2068,123,65.0,3.0,34568,765,America,2930,134,1376,39,60,49,34,71,75,04-22-2020
6,6,Armenia,1339,48,22,2,580,737,30,452.0,7.0,13373,4513,Europe,1339,22,517,41,63,81,102,56,104,04-22-2020
7,7,Australia,6619,7,71,0,4258,2290,49,260.0,3.0,431734,16931,Oceania,6612,70,868,2,17,12,17,39,32,04-22-2020
8,8,Austria,14795,46,470,18,10631,3694,194,1643.0,52.0,182949,20313,Europe,14710,452,2727,17,8,10,6,15,9,04-22-2020
9,9,Azerbaijan,1436,38,19,0,791,626,16,142.0,2.0,95747,9443,Europe,1398,19,814,65,99,103,162,60,109,04-22-2020
10,10,Bahamas,60,0,9,0,11,40,1,153.0,23.0,0,0,America,60,9,31,109,67,64,22,137,98,04-22-2020
11,11,Bahrain,1907,26,7,0,769,1131,2,1121.0,4.0,89225,52437,Asia,1873,7,1173,61,72,58,48,30,42,04-22-2020
12,12,Bangladesh,2948,492,101,10,85,2762,1,18.0,0.6,26604,162,Asia,2456,91,2368,140,125,131,144,103,88,04-22-2020
13,13,Barbados,75,0,5,0,19,51,4,261.0,17.0,1035,3602,America,75,5,19,53,36,38,36,87,46,04-22-2020
14,14,Belarus,6264,1485,51,4,514,5699,92,663.0,5.0,102556,10853,Europe,4779,47,4215,83,46,53,74,116,72,04-22-2020
15,15,Belgium,39983,1487,5828,145,8895,25260,1071,3450.0,503.0,161896,13969,Europe,38496,5683,18805,16,26,13,15,28,21,04-22-2020
16,16,Belize,18,0,2,0,2,14,1,45.0,5.0,651,1637,America,18,2,13,94,95,104,88,34,69,04-22-2020
17,17,Benin,54,19,1,0,27,26,0,4.0,0.08,0,0,Africa,37,1,15,157,132,143,171,136,97,04-22-2020
18,18,Bhutan,5,0,0,0,2,3,0,6.0,0.0,8570,11107,Asia,5,0,0,138,158,144,135,73,124,04-22-2020
19,19,Bolivia,564,44,33,1,31,500,3,48.0,3.0,3569,306,America,564,33,381,133,118,117,101,142,126,04-22-2020
20,20,Botswana,20,0,1,0,0,19,0,9.0,0.4,4432,1885,Africa,20,1,14,187,146,168,85,188,169,04-22-2020
21,21,Brazil,40581,1927,2845,383,22130,15606,7919,191.0,13.0,62985,296,America,38654,2462,27524,111,108,125,54,78,125,04-22-2020
22,22,Bulgaria,929,35,43,1,167,719,34,134.0,6.0,26417,3802,Europe,915,43,384,60,53,74,96,92,102,04-22-2020
23,23,Burundi,5,0,1,0,4,0,0,0.4,0.08,80,7,Africa,6,1,3,179,154,161,186,171,143,04-22-2020
