,Unnamed: 0,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop,Region,Cases,Deaths,Confirmed cases in the last 14 days,Attainment of goals / Health / Level (DALE),Attainment of goals / Health / Distribution,Attainment of goals / Health / Overall goal attainment,Health expenditure per capita in international dollars,Performance / On level of health,Performance / Overall health system performance,date
0,0,Afghanistan,840,56,30,5,54,756,0,22.0,0.8,0,0,Asia,784,25,592,164,182,183,184,150,173,04-21-2020
1,1,Albania,518,24,26,1,277,215,5,180.0,9.0,4827,1677,Europe,494,25,235,102,128,86,149,64,55,04-21-2020
2,2,Algeria,2268,108,348,12,783,1137,60,52.0,8.0,3359,77,Africa,2160,336,1313,44,63,56,24,45,81,04-21-2020
3,3,Andorra,673,0,33,0,169,471,17,8710.0,427.0,1673,21653,Europe,673,33,283,10,25,17,23,7,4,04-21-2020
4,4,Angola,19,0,2,0,5,12,0,0.6,0.06,0,0,Africa,19,2,11,165,178,181,164,165,181,04-21-2020
5,5,Argentina,2571,0,115,3,631,1825,121,57.0,3.0,26457,585,America,2432,109,1299,39,60,49,34,71,75,04-21-2020
6,6,Armenia,1159,48,18,1,358,783,30,391.0,6.0,9632,3250,Europe,1159,18,588,41,63,81,102,56,104,04-21-2020
7,7,Australia,6468,21,63,0,3747,2658,66,254.0,2.0,380003,14902,Oceania,6458,63,1482,2,17,12,17,39,32,04-21-2020
8,8,Austria,14476,126,410,17,8986,5080,238,1607.0,46.0,162816,18078,Europe,14370,393,3659,17,8,10,6,15,9,04-21-2020
9,9,Azerbaijan,1283,30,15,2,460,808,28,127.0,1.0,75397,7436,Europe,1253,13,894,65,99,103,162,60,109,04-21-2020
10,10,Bahamas,53,0,8,0,6,39,1,135.0,20.0,0,0,America,53,8,32,109,67,64,22,137,98,04-21-2020
11,11,Bahrain,1700,29,7,0,703,990,3,999.0,4.0,76630,45035,Asia,1673,7,1104,61,72,58,48,30,42,04-21-2020
12,12,Bangladesh,1572,341,60,10,49,1463,1,10.0,0.4,17003,103,Asia,1231,50,1177,140,125,131,144,103,88,04-21-2020
13,13,Barbados,75,2,5,0,15,55,4,261.0,17.0,900,3132,America,75,5,30,53,36,38,36,87,46,04-21-2020
14,14,Belarus,4204,476,40,4,203,3961,65,445.0,4.0,81246,8598,Europe,3728,36,3576,83,46,53,74,116,72,04-21-2020
15,15,Belgium,34809,1236,4857,417,7562,22390,1182,3003.0,419.0,134303,11588,Europe,33573,4440,19609,16,26,13,15,28,21,04-21-2020
16,16,Belize,18,0,2,0,0,16,1,45.0,5.0,567,1426,America,18,2,15,94,95,104,88,34,69,04-21-2020
17,17,Benin,35,0,1,0,18,16,0,3.0,0.08,0,0,Africa,35,1,22,157,132,143,171,136,97,04-21-2020
18,18,Bhutan,5,0,0,0,2,3,0,6.0,0.0,1166,1511,Asia,5,0,0,138,158,144,135,73,124,04-21-2020
19,19,Bolivia,441,44,29,1,14,398,3,38.0,2.0,2185,187,America,441,29,318,133,118,117,101,142,126,04-21-2020
20,20,Botswana,15,2,1,0,0,14,0,6.0,0.4,3441,1463,Africa,13,1,9,187,146,168,85,188,169,04-21-2020
21,21,Brazil,30425,1815,1924,167,14026,14475,6634,143.0,9.0,62985,296,America,28320,1736,21484,111,108,125,54,78,125,04-21-2020
