,Unnamed: 0,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop,Region,Cases,Deaths,Confirmed cases in the last 14 days,Attainment of goals / Health / Level (DALE),Attainment of goals / Health / Distribution,Attainment of goals / Health / Overall goal attainment,Health expenditure per capita in international dollars,Performance / On level of health,Performance / Overall health system performance,date
0,0,Afghanistan,1463,112,47,4,188,1228,7,38.0,1.0,7425,191,Asia,1351,43,830,164,182,183,184,150,173,04-25-2020
1,1,Albania,712,34,27,0,403,282,4,247.0,9.0,7015,2438,Europe,678,28,262,102,128,86,149,64,55,04-25-2020
2,2,Algeria,3256,129,419,4,1479,1358,40,74.0,10.0,6500,148,Africa,3127,415,1366,44,63,56,24,45,81,04-25-2020
3,3,Andorra,731,0,40,0,344,347,17,9461.0,518.0,1673,21653,Europe,731,40,130,10,25,17,23,7,4,04-25-2020
4,4,Angola,25,0,2,0,6,17,0,0.8,0.06,0,0,Africa,25,2,6,165,178,181,164,165,181,04-25-2020
5,5,Argentina,3607,0,179,3,1030,2398,144,80.0,4.0,47406,1049,America,3423,167,1448,39,60,49,34,71,75,04-25-2020
6,6,Armenia,1677,81,28,1,803,846,10,566.0,9.0,17342,5852,Europe,1677,28,740,41,63,81,102,56,104,04-25-2020
7,7,Australia,6695,20,80,1,5372,1243,43,263.0,3.0,494257,19383,Oceania,6687,79,449,2,17,12,17,39,32,04-25-2020
8,8,Austria,15148,77,536,6,12103,2509,148,1682.0,60.0,221098,24549,Europe,15068,513,1508,17,8,10,6,15,9,04-25-2020
9,9,Azerbaijan,1617,25,21,0,1080,516,15,159.0,2.0,120479,11883,Europe,1592,21,601,65,99,103,162,60,109,04-25-2020
10,10,Bahamas,73,0,11,0,15,47,1,186.0,28.0,0,0,America,73,11,31,109,67,64,22,137,98,04-25-2020
11,11,Bahrain,2588,70,8,0,1160,1420,2,1521.0,5.0,110379,64869,Asia,2518,8,1520,61,72,58,48,30,42,04-25-2020
12,12,Bangladesh,4998,309,140,9,113,4745,1,30.0,0.9,43113,262,Asia,4689,131,4265,140,125,131,144,103,88,04-25-2020
13,13,Barbados,77,0,6,0,31,40,4,268.0,21.0,1327,4618,America,76,6,9,53,36,38,36,87,46,04-25-2020
14,14,Belarus,9590,817,67,4,1573,7950,92,1015.0,7.0,139295,14741,Europe,8773,63,6792,83,46,53,74,116,72,04-25-2020
15,15,Belgium,45325,1032,6917,238,10417,27991,934,3911.0,597.0,189067,16313,Europe,44293,6679,17626,16,26,13,15,28,21,04-25-2020
16,16,Belize,18,0,2,0,5,11,1,45.0,5.0,816,2052,America,18,2,8,94,95,104,88,34,69,04-25-2020
17,17,Benin,54,0,1,0,27,26,0,4.0,0.08,0,0,Africa,58,1,23,157,132,143,171,136,97,04-25-2020
18,18,Bhutan,7,0,0,0,3,4,0,9.0,0.0,8953,11603,Asia,7,0,2,138,158,144,135,73,124,04-25-2020
19,19,Bolivia,807,104,44,1,54,709,3,69.0,4.0,4995,428,America,807,44,531,133,118,117,101,142,126,04-25-2020
20,20,Botswana,22,0,1,0,0,21,0,9.0,0.4,5023,2136,Africa,22,1,9,187,146,168,85,188,169,04-25-2020
21,21,Brazil,58509,5514,4016,346,27655,26838,8318,275.0,19.0,291922,1373,America,52995,3670,33357,111,108,125,54,78,125,04-25-2020
22,22,Bulgaria,1247,59,55,1,197,995,37,179.0,8.0,27000,3886,Europe,1188,54,553,60,53,74,96,92,102,04-25-2020
23,23,Burundi,11,0,1,0,4,6,0,0.9,0.08,284,24,Africa,12,1,9,179,154,161,186,171,143,04-25-2020
24,24,Cambodia,122,0,0,0,117,5,1,7.0,0.0,5768,345,Asia,122,0,2,148,150,166,140,157,174,04-25-2020
25,25,Cameroon,1518,88,53,10,697,768,28,57.0,2.0,0,0,Africa,1403,49,600,156,160,163,131,172,164,04-25-2020
26,26,Canada,45016,1128,2462,160,16320,26234,557,1193.0,65.0,669588,17741,America,43877,2302,21744,12,18,7,10,35,30,04-25-2020
27,27,Chad,46,6,0,0,15,31,0,3.0,0.0,0,0,Africa,40,0,29,161,175,177,175,161,178,04-25-2020
28,28,Chile,12858,552,181,7,6746,5931,418,673.0,9.0,149212,7806,America,12306,174,5805,32,1,33,44,23,33,04-25-2020
29,29,Colombia,4881,0,225,0,1003,3653,117,96.0,4.0,78078,1534,America,4881,225,2408,74,44,41,49,51,22,04-25-2020
30,30,Congo,200,0,6,0,19,175,0,36.0,1.0,0,0,Africa,200,6,140,150,142,155,122,167,166,04-25-2020
31,31,Croatia,2016,7,54,3,1034,928,21,491.0,13.0,30913,7530,Europe,2009,51,514,38,33,36,56,57,43,04-25-2020
32,32,Cuba,1337,52,51,2,437,849,11,118.0,5.0,37991,3354,America,1285,49,721,33,41,40,118,36,39,04-25-2020
33,33,Cyprus,810,6,14,0,148,648,15,671.0,12.0,43542,36064,Europe,804,17,209,25,31,28,39,22,24,04-25-2020
34,34,Denmark,8445,235,418,15,5669,2358,70,1458.0,72.0,136738,23607,Europe,8210,403,2391,28,21,20,8,65,34,04-25-2020
35,35,Djibouti,1008,9,2,0,373,633,0,1020.0,2.0,11431,11570,Africa,999,2,849,166,169,170,163,163,157,04-25-2020
36,36,Dominica,16,0,0,0,10,6,0,222.0,0.0,383,5320,America,16,0,0,26,35,42,70,59,35,04-25-2020
37,37,Ecuador,22719,0,576,0,1366,20777,127,1288.0,33.0,56513,3203,America,11183,576,4022,93,133,107,97,96,111,04-25-2020
38,38,Egypt,4319,227,307,13,1114,2898,0,42.0,3.0,90000,879,Africa,4092,294,2298,115,141,110,115,43,63,04-25-2020
39,39,Eritrea,39,0,0,0,13,26,0,11.0,0.0,0,0,Africa,39,0,5,169,167,176,187,148,158,04-25-2020
40,40,Estonia,1635,30,46,0,228,1361,6,1233.0,35.0,47331,35680,Europe,1605,46,347,69,43,48,60,115,77,04-25-2020
41,41,Ethiopia,122,5,3,0,29,90,0,1.0,0.03,12688,110,Africa,117,3,52,182,176,186,189,169,180,04-25-2020
42,42,Fiji,18,0,0,0,10,8,0,20.0,0.0,900,1004,Oceania,18,0,2,106,71,78,87,124,96,04-25-2020
43,43,Finland,4475,80,186,9,2500,1789,60,808.0,34.0,77800,14041,Europe,4395,177,1626,20,27,22,18,44,31,04-25-2020
44,44,France,161488,1660,22614,369,44594,94280,4725,2474.0,346.0,463662,7103,Europe,122577,22245,31901,3,12,6,4,4,1,04-25-2020
45,45,Gabon,172,0,3,0,26,143,1,77.0,1.0,572,257,Africa,172,3,126,144,136,141,95,143,139,04-25-2020
46,46,Gambia,10,0,1,0,8,1,0,4.0,0.4,401,166,Africa,10,1,6,143,155,153,158,109,146,04-25-2020
47,47,Georgia,456,12,5,0,139,312,6,114.0,1.0,9699,2431,Europe,444,5,210,44,61,76,125,84,114,04-25-2020
48,48,Germany,155782,783,5843,83,109800,40139,2908,1859.0,70.0,2072669,24738,Europe,152438,5500,34780,22,20,14,3,41,25,04-25-2020
49,49,Ghana,1279,0,10,0,134,1135,4,41.0,0.3,88188,2838,Africa,1279,10,901,149,149,139,166,158,135,04-25-2020
50,50,Greece,2506,16,130,0,577,1799,47,240.0,12.0,63087,6053,Europe,2490,130,479,7,6,23,30,11,14,04-25-2020
51,51,Grenada,15,0,0,0,7,8,4,133.0,0.0,92,818,America,15,0,1,49,82,68,67,49,85,04-25-2020
52,52,Guatemala,430,46,11,0,30,389,5,24.0,0.6,7200,402,America,430,11,293,129,106,113,130,99,78,04-25-2020
53,53,Guinea,954,0,6,0,191,757,0,73.0,0.5,0,0,Africa,954,6,742,167,166,172,159,160,161,04-25-2020
