,Unnamed: 0,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop,Region,Cases,Deaths,Confirmed cases in the last 14 days,Attainment of goals / Health / Level (DALE),Attainment of goals / Health / Distribution,Attainment of goals / Health / Overall goal attainment,Health expenditure per capita in international dollars,Performance / On level of health,Performance / Overall health system performance,date
0,0,Afghanistan,2171,232,64,4,260,1847,7,56.0,2.0,10022,257,Asia,1949,60.0,1165,164,182,183,184,150,173,04-29-2020
1,1,Albania,773,7,31,1,470,272,4,269.0,11.0,8253,2868,Europe,766,31.0,272,102,128,86,149,64,55,04-29-2020
2,2,Algeria,3848,0,444,0,1702,1702,22,88.0,10.0,6500,148,Africa,3848,444.0,1688,44,63,56,24,45,81,04-29-2020
3,3,Andorra,743,0,42,0,423,278,17,9616.0,544.0,1673,21653,Europe,753,42.0,80,10,25,17,23,7,4,04-29-2020
4,4,Angola,27,0,2,0,7,18,0,0.8,0.06,0,0,Africa,27,2.0,8,165,178,181,164,165,181,04-29-2020
5,5,Argentina,4285,0,214,0,1192,2879,144,95.0,5.0,56058,1240,America,4272,214.0,1840,39,60,49,34,71,75,04-29-2020
6,6,Armenia,2066,134,32,2,929,1105,10,697.0,11.0,21125,7129,Europe,1932,30.0,773,41,63,81,102,56,104,04-29-2020
7,7,Australia,6753,7,91,2,5715,947,34,265.0,4.0,563641,22104,Oceania,6746,90.0,288,2,17,12,17,39,32,04-29-2020
8,8,Austria,15452,50,584,4,12907,1961,128,1716.0,65.0,256399,28469,Europe,15364,580.0,994,17,8,10,6,15,9,04-29-2020
9,9,Azerbaijan,1804,38,24,1,1325,455,17,178.0,2.0,143079,14112,Europe,1766,23.0,513,65,99,103,162,60,109,04-29-2020
10,10,Bahamas,80,0,11,0,25,44,1,203.0,28.0,0,0,America,80,11.0,27,109,67,64,22,137,98,04-29-2020
11,11,Bahrain,3037,116,8,0,1495,1534,1,1785.0,5.0,128481,75507,Asia,2921,8.0,1248,61,72,58,48,30,42,04-29-2020
