,Unnamed: 0,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop,Region,Cases,Deaths,Confirmed cases in the last 14 days,Attainment of goals / Health / Level (DALE),Attainment of goals / Health / Distribution,Attainment of goals / Health / Overall goal attainment,Health expenditure per capita in international dollars,Performance / On level of health,Performance / Overall health system performance,date
0,0,Afghanistan,1092,66,36,0,150,906,7,28.0,0.9,6422,165,Asia,1031,35,694,164,182,183,184,150,173,04-23-2020
1,1,Albania,609,25,26,0,345,238,10,212.0,9.0,6017,2091,Europe,584,26,207,102,128,86,149,64,55,04-23-2020
2,2,Algeria,2811,93,392,8,1152,1267,40,64.0,9.0,6500,148,Africa,2718,384,1295,44,63,56,24,45,81,04-23-2020
3,3,Andorra,717,0,37,0,282,398,17,9280.0,479.0,1673,21653,Europe,717,36,191,10,25,17,23,7,4,04-23-2020
4,4,Angola,24,0,2,0,6,16,0,0.7,0.06,0,0,Africa,24,2,8,165,178,181,164,165,181,04-23-2020
5,5,Argentina,3031,0,147,5,840,2044,123,67.0,3.0,36611,810,America,3020,142,1392,39,60,49,34,71,75,04-23-2020
6,6,Armenia,1401,62,24,2,609,768,30,473.0,8.0,13929,4701,Europe,1401,24,568,41,63,81,102,56,104,04-23-2020
7,7,Australia,6645,20,71,0,4685,1889,49,261.0,3.0,439000,17216,Oceania,6625,71,781,2,17,12,17,39,32,04-23-2020
8,8,Austria,14873,78,491,21,10971,3411,196,1651.0,55.0,189018,20987,Europe,14783,470,2486,17,8,10,6,15,9,04-23-2020
9,9,Azerbaijan,1480,44,20,1,865,595,16,146.0,2.0,102764,10135,Europe,1436,19,795,65,99,103,162,60,109,04-23-2020
10,10,Bahamas,64,4,9,0,11,44,1,163.0,23.0,0,0,America,64,9,31,109,67,64,22,137,98,04-23-2020
11,11,Bahrain,1973,66,7,0,784,1182,2,1160.0,4.0,94380,55466,Asia,1907,7,1151,61,72,58,48,30,42,04-23-2020
12,12,Bangladesh,3382,434,110,9,87,3185,1,21.0,0.7,29578,180,Asia,2948,101,2825,140,125,131,144,103,88,04-23-2020
13,13,Barbados,75,0,5,0,23,47,4,261.0,17.0,1063,3699,America,75,5,15,53,36,38,36,87,46,04-23-2020
14,14,Belarus,6723,459,55,4,577,6091,92,711.0,6.0,108545,11487,Europe,6264,51,5564,83,46,53,74,116,72,04-23-2020
15,15,Belgium,40956,973,5998,170,9002,25956,1079,3534.0,518.0,167110,14419,Europe,39983,5828,19169,16,26,13,15,28,21,04-23-2020
16,16,Belize,18,0,2,0,2,14,1,45.0,5.0,651,1637,America,18,2,11,94,95,104,88,34,69,04-23-2020
17,17,Benin,54,0,1,0,27,26,0,4.0,0.08,0,0,Africa,54,1,28,157,132,143,171,136,97,04-23-2020
18,18,Bhutan,6,1,0,0,2,4,0,8.0,0.0,8765,11359,Asia,6,0,1,138,158,144,135,73,124,04-23-2020
19,19,Bolivia,598,34,34,1,37,527,3,51.0,3.0,3569,306,America,598,34,404,133,118,117,101,142,126,04-23-2020
20,20,Botswana,20,0,1,0,0,19,0,9.0,0.4,4432,1885,Africa,20,1,14,187,146,168,85,188,169,04-23-2020
21,21,Brazil,40814,71,2588,1,22991,15235,8318,192.0,12.0,291922,1373,America,40581,2575,28525,111,108,125,54,78,125,04-23-2020
22,22,Bulgaria,975,46,45,2,170,760,34,140.0,6.0,26417,3802,Europe,929,43,380,60,53,74,96,92,102,04-23-2020
23,23,Burundi,5,0,1,0,4,0,0,0.4,0.08,80,7,Africa,6,1,3,179,154,161,186,171,143,04-23-2020
24,24,Cambodia,122,0,0,0,110,12,1,7.0,0.0,5768,345,Asia,122,0,7,148,150,166,140,157,174,04-23-2020
25,25,Cameroon,1163,0,43,1,329,791,33,44.0,2.0,0,0,Africa,1017,42,359,156,160,163,131,172,164,04-23-2020
26,26,Canada,38205,1376,1831,141,12586,23788,557,1012.0,49.0,565931,14995,America,36823,1690,20170,12,18,7,10,35,30,04-23-2020
27,27,Chad,33,0,0,0,8,25,0,2.0,0.0,0,0,Africa,33,0,24,161,175,177,175,161,178,04-23-2020
28,28,Chile,10832,325,147,8,4969,5716,392,567.0,8.0,122357,6401,America,10507,139,5692,32,1,33,44,23,33,04-23-2020
29,29,Colombia,3977,0,189,0,804,2984,98,78.0,4.0,65169,1281,America,3977,189,2398,74,44,41,49,51,22,04-23-2020
30,30,Congo,160,0,6,0,16,138,0,29.0,1.0,0,0,Africa,160,6,115,150,142,155,122,167,166,04-23-2020
31,31,Croatia,1908,27,48,1,801,1059,18,465.0,12.0,26610,6482,Europe,1881,47,659,38,33,36,56,57,43,04-23-2020
32,32,Cuba,1137,50,38,2,309,790,18,100.0,3.0,30416,2685,America,1087,36,737,33,41,40,118,36,39,04-23-2020
33,33,Cyprus,784,12,12,0,98,674,15,649.0,10.0,37081,30712,Europe,772,17,307,25,31,28,39,22,24,04-23-2020
34,34,Denmark,7695,180,370,6,4700,2625,81,1329.0,64.0,100543,17358,Europe,7515,364,2834,28,21,20,8,65,34,04-23-2020
35,35,Djibouti,945,99,2,0,112,831,0,956.0,2.0,8955,9064,Africa,846,2,756,166,169,170,163,163,157,04-23-2020
36,36,Dominica,16,0,0,0,8,8,0,222.0,0.0,345,4793,America,16,0,1,26,35,42,70,59,35,04-23-2020
37,37,Ecuador,10398,270,520,13,1207,8671,137,589.0,29.0,33389,1892,America,10128,507,6381,93,133,107,97,96,111,04-23-2020
38,38,Egypt,3490,157,264,14,870,2356,0,34.0,3.0,55000,537,Africa,3333,250,2260,115,141,110,115,43,63,04-23-2020
39,39,Eritrea,39,0,0,0,6,33,0,11.0,0.0,0,0,Africa,39,0,8,169,167,176,187,148,158,04-23-2020
40,40,Estonia,1552,17,43,3,169,1340,9,1170.0,32.0,42213,31822,Europe,1535,40,427,69,43,48,60,115,77,04-23-2020
