,Unnamed: 0,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop,Region,Cases,Deaths,Confirmed cases in the last 14 days,Attainment of goals / Health / Level (DALE),Attainment of goals / Health / Distribution,Attainment of goals / Health / Overall goal attainment,Health expenditure per capita in international dollars,Performance / On level of health,Performance / Overall health system performance,date
0,0,Afghanistan,2469,134,72,4,331,2066,7,63.0,2.0,11068,284,Asia,2335,68,1490,164,182,183,184,150,173,05-02-2020
1,1,Albania,789,7,31,0,519,239,4,274.0,11.0,8669,3012,Europe,782,31,243,102,128,86,149,64,55,05-02-2020
2,2,Algeria,4295,141,459,6,1872,1964,22,98.0,10.0,6500,148,Africa,4154,453,1736,44,63,56,24,45,81,05-02-2020
3,3,Andorra,747,2,44,1,472,231,17,9668.0,569.0,1673,21653,Europe,746,43,50,10,25,17,23,7,4,05-02-2020
4,4,Angola,35,5,2,0,11,22,0,1.0,0.06,481,15,Africa,29,2,10,165,178,181,164,165,181,05-02-2020
5,5,Argentina,4532,0,229,4,1320,2983,157,100.0,5.0,63866,1413,America,4519,225,1861,39,60,49,34,71,75,05-02-2020
6,6,Armenia,2273,125,33,0,1010,1230,10,767.0,11.0,23142,7810,Europe,2148,33,900,41,63,81,102,56,104,05-02-2020
7,7,Australia,6783,16,93,0,5789,901,28,266.0,4.0,611583,23984,Oceania,6767,93,234,2,17,12,17,39,32,05-02-2020
8,8,Austria,15558,27,596,7,13180,1782,114,1727.0,66.0,269619,29936,Europe,15531,589,928,17,8,10,6,15,9,05-02-2020
9,9,Azerbaijan,1894,40,25,0,1411,458,17,187.0,2.0,152597,15050,Europe,1854,25,514,65,99,103,162,60,109,05-02-2020
10,10,Bahamas,82,1,11,0,24,47,1,209.0,28.0,1313,3339,America,82,11,27,109,67,64,22,137,98,05-02-2020
11,11,Bahrain,3284,114,8,0,1568,1708,1,1930.0,5.0,139354,81897,Asia,3170,8,1426,61,72,58,48,30,42,05-02-2020
12,12,Bangladesh,8790,552,175,5,177,8438,1,53.0,1.0,76066,462,Asia,8238,170,6400,140,125,131,144,103,88,05-02-2020
13,13,Barbados,81,0,7,0,44,30,4,282.0,24.0,2369,8244,America,81,7,6,53,36,38,36,87,46,05-02-2020
14,14,Belarus,15828,911,97,4,3117,12614,92,1675.0,10.0,195430,20682,Europe,14917,93,10138,83,46,53,74,116,72,05-02-2020
15,15,Belgium,49517,485,7765,62,12211,29541,689,4273.0,670.0,260996,22520,Europe,49032,7703,12894,16,26,13,15,28,21,05-02-2020
16,16,Belize,18,0,2,0,13,3,1,45.0,5.0,1043,2623,America,18,2,0,94,95,104,88,34,69,05-02-2020
17,17,Benin,90,0,2,0,42,46,0,7.0,0.2,0,0,Africa,90,2,53,157,132,143,171,136,97,05-02-2020
