,Unnamed: 0,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop,Region,Cases,Deaths,Confirmed cases in the last 14 days,Attainment of goals / Health / Level (DALE),Attainment of goals / Health / Distribution,Attainment of goals / Health / Overall goal attainment,Health expenditure per capita in international dollars,Performance / On level of health,Performance / Overall health system performance,date
112,112,Rwanda,134,0,0,0,49,85,0,10.0,0.0,6237,482,Africa,134,0,59,185,185,171,177,181,172,04-16-2020
113,113,Senegal,314,15,2,0,190,122,1,19.0,0.1,0,0,Africa,299,2,124,151,105,118,143,132,59,04-16-2020
114,114,Seychelles,11,0,0,0,0,11,0,112.0,0.0,0,0,Africa,11,0,1,108,73,83,52,83,56,04-16-2020
115,115,Singapore,3252,0,10,0,611,2631,29,556.0,2.0,72680,12423,Asia,3252,10,2373,30,29,27,38,14,6,04-16-2020
116,116,Slovakia,863,28,6,4,151,706,5,158.0,1.0,31491,5768,Europe,835,2,472,42,39,39,45,88,62,04-16-2020
117,117,Slovenia,1248,28,61,5,165,1022,34,600.0,29.0,37114,17852,Europe,1220,56,406,34,23,29,29,62,38,04-16-2020
118,118,Somalia,60,0,2,0,2,56,2,4.0,0.1,0,0,Africa,60,2,57,173,179,189,191,154,179,04-16-2020
119,119,Spain,177633,3573,18579,324,70853,88201,7371,3799.0,397.0,600000,12833,Europe,172541,18056,78124,5,11,19,24,6,7,04-16-2020
120,120,Sudan,32,0,5,0,4,23,0,0.7,0.1,0,0,Africa,32,5,25,154,159,148,169,149,134,04-16-2020
121,121,Suriname,10,0,1,0,6,3,0,17.0,2.0,0,0,America,10,1,0,77,94,105,72,77,110,04-16-2020
122,122,Sweden,11927,482,1203,170,381,10343,954,1181.0,119.0,74600,7387,Europe,11445,1033,7010,4,28,4,7,21,23,04-16-2020
123,123,Switzerland,26336,400,1221,47,14700,10415,386,3043.0,141.0,199000,22993,Europe,25753,900,9645,8,10,2,2,26,20,04-16-2020
124,124,Syria,29,0,2,0,5,22,0,2.0,0.1,0,0,Asia,29,2,19,114,107,112,119,91,108,04-16-2020
125,125,Thailand,2643,30,43,2,1497,1103,61,38.0,0.6,100498,1440,Asia,2643,43,992,99,74,57,64,102,47,04-16-2020
126,126,Togo,81,4,3,0,35,43,0,10.0,0.4,3036,367,Africa,77,3,43,159,170,156,180,159,152,04-16-2020
127,127,Tunisia,747,0,34,0,43,670,89,63.0,3.0,12415,1050,Africa,747,34,385,90,114,77,79,46,52,04-16-2020
128,128,Turkey,65111,0,1403,0,4799,58909,1809,772.0,17.0,443626,5260,Asia,65111,1403,51580,73,109,96,82,33,70,04-16-2020
129,129,Uganda,55,0,0,0,12,43,0,1.0,0.0,6661,146,Africa,55,0,11,186,138,162,168,179,149,04-16-2020
130,130,Ukraine,3764,392,108,10,143,3513,45,86.0,2.0,39084,894,Europe,3372,98,2823,70,47,60,111,101,79,04-16-2020
131,131,Uruguay,492,0,8,0,260,224,14,142.0,2.0,9929,2858,America,533,8,195,37,68,50,33,50,65,04-16-2020
132,132,Uzbekistan,1275,110,4,0,107,1164,8,38.0,0.1,70000,2091,Asia,1165,4,992,100,144,109,120,112,117,04-16-2020
133,133,Venezuela,197,8,9,0,111,77,6,7.0,0.3,225009,7913,America,193,9,58,52,76,65,68,29,54,04-16-2020
134,134,Vietnam,267,1,0,0,171,96,8,3.0,0.0,132771,1364,Asia,274,0,45,116,104,140,147,130,160,04-16-2020
135,135,Yemen,1,0,0,0,0,1,0,0.03,0.0,0,0,Asia,1,0,1,141,165,146,182,82,120,04-16-2020
136,136,Zambia,48,3,2,0,30,16,1,3.0,0.1,1696,92,Africa,45,2,10,188,171,174,148,190,182,04-16-2020
137,137,Zimbabwe,18,1,3,0,1,14,0,1.0,0.2,665,45,Africa,17,3,9,184,98,147,110,191,155,04-16-2020
