,Unnamed: 0,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop,Region,Cases,Deaths,Confirmed cases in the last 14 days,Attainment of goals / Health / Level (DALE),Attainment of goals / Health / Distribution,Attainment of goals / Health / Overall goal attainment,Health expenditure per capita in international dollars,Performance / On level of health,Performance / Overall health system performance,date
0,0,Albania,782,9,31,0,488,263,4,272.0,11.0,8498,2953,Europe,773,31,255,102,128,86,149,64,55,04-30-2020
1,1,Algeria,4006,0,450,0,1779,1777,22,91.0,10.0,6500,148,Africa,4006,450,1738,44,63,56,24,45,81,04-30-2020
2,2,Andorra,745,0,42,0,468,235,17,9642.0,544.0,1673,21653,Europe,745,42,63,10,25,17,23,7,4,04-30-2020
3,3,Angola,27,0,2,0,7,18,0,0.8,0.06,0,0,Africa,27,2,8,165,178,181,164,165,181,04-30-2020
4,4,Argentina,4428,0,218,0,1256,2954,157,98.0,5.0,58685,1298,America,4415,218,1855,39,60,49,34,71,75,04-30-2020
5,5,Armenia,2148,82,33,1,977,1138,10,725.0,11.0,22177,7484,Europe,2066,32,865,41,63,81,102,56,104,04-30-2020
6,6,Australia,6767,13,93,1,5745,929,28,265.0,4.0,588868,23093,Oceania,6762,92,265,2,17,12,17,39,32,04-30-2020
7,7,Austria,15531,79,589,5,13110,1832,124,1724.0,65.0,264079,29321,Europe,15457,584,1009,17,8,10,6,15,9,04-30-2020
8,8,Azerbaijan,1804,0,24,0,1325,455,17,178.0,2.0,143079,14112,Europe,1804,24,521,65,99,103,162,60,109,04-30-2020
9,9,Bahamas,81,0,11,0,25,45,1,206.0,28.0,1284,3265,America,81,11,27,109,67,64,22,137,98,04-30-2020
10,10,Bahrain,3040,0,8,0,1500,1532,1,1787.0,5.0,129694,76220,Asia,3040,8,1340,61,72,58,48,30,42,04-30-2020
11,11,Bangladesh,8238,571,170,2,174,7894,1,50.0,1.0,70239,426,Asia,7667,168,6095,140,125,131,144,103,88,04-30-2020
12,12,Barbados,81,0,7,0,39,35,4,282.0,24.0,2160,7516,America,81,7,6,53,36,38,36,87,46,04-30-2020
13,13,Belarus,14917,890,93,4,2918,11906,92,1579.0,10.0,186262,19712,Europe,14027,89,9823,83,46,53,74,116,72,04-30-2020
14,14,Belgium,49032,513,7703,109,11892,29437,740,4231.0,665.0,253198,21847,Europe,48519,7594,13710,16,26,13,15,28,21,04-30-2020
15,15,Belize,18,0,2,0,13,3,1,45.0,5.0,1043,2623,America,18,2,0,94,95,104,88,34,69,04-30-2020
16,16,Benin,64,0,1,0,33,30,0,5.0,0.08,0,0,Africa,84,2,47,157,132,143,171,136,97,04-30-2020
17,17,Bhutan,7,0,0,0,5,2,0,9.0,0.0,10101,13091,Asia,7,0,2,138,158,144,135,73,124,04-30-2020
18,18,Bolivia,1167,57,62,3,132,973,3,100.0,5.0,5791,496,America,1167,62,702,133,118,117,101,142,126,04-30-2020
19,19,Botswana,23,0,1,0,5,17,0,10.0,0.4,6548,2784,Africa,23,1,8,187,146,168,85,188,169,04-30-2020
20,20,Brazil,87187,1807,6006,105,35935,45246,8318,410.0,28.0,339552,1597,America,85380,5901,54955,111,108,125,54,78,125,04-30-2020
21,21,Bulgaria,1541,35,66,0,276,1199,40,222.0,9.0,46510,6694,Europe,1506,66,706,60,53,74,96,92,102,04-30-2020
22,22,Burundi,11,0,1,0,4,6,0,0.9,0.08,284,24,Africa,15,1,10,179,154,161,186,171,143,04-30-2020
23,23,Cambodia,122,0,0,0,119,3,1,7.0,0.0,12084,723,Asia,122,0,0,148,150,166,140,157,174,04-30-2020
24,24,Cameroon,1832,0,61,0,934,837,12,69.0,2.0,0,0,Africa,1832,61,977,156,160,163,131,172,164,04-30-2020
25,25,Canada,53236,0,3184,0,21423,28629,557,1411.0,84.0,806449,21367,America,53236,3184,23155,12,18,7,10,35,30,04-30-2020
26,26,Chad,73,0,5,0,33,35,0,4.0,0.3,0,0,Africa,73,5,46,161,175,177,175,161,178,04-30-2020
