,Unnamed: 0,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop,Region,Cases,Deaths,Confirmed cases in the last 14 days,Attainment of goals / Health / Level (DALE),Attainment of goals / Health / Distribution,Attainment of goals / Health / Overall goal attainment,Health expenditure per capita in international dollars,Performance / On level of health,Performance / Overall health system performance,date
0,0,Afghanistan,1531,68,50,3,207,1274,7,39.0,1.0,8090,208,Asia,1463,47,908,164,182,183,184,150,173,04-26-2020
1,1,Albania,726,14,28,1,410,288,4,252.0,10.0,7279,2529,Europe,712,27,279,102,128,86,149,64,55,04-26-2020
2,2,Algeria,3256,0,419,0,1479,1358,40,74.0,10.0,6500,148,Africa,3256,419,1431,44,63,56,24,45,81,04-26-2020
3,3,Andorra,738,0,40,0,344,354,17,9552.0,518.0,1673,21653,Europe,733,40,111,10,25,17,23,7,4,04-26-2020
4,4,Angola,25,0,2,0,6,17,0,0.8,0.06,0,0,Africa,25,2,6,165,178,181,164,165,181,04-26-2020
5,5,Argentina,3780,0,185,0,1030,2565,144,84.0,4.0,47406,1049,America,3767,185,1630,39,60,49,34,71,75,04-26-2020
6,6,Armenia,1746,69,28,0,833,885,10,589.0,9.0,17931,6051,Europe,1746,28,779,41,63,81,102,56,104,04-26-2020
7,7,Australia,6711,16,83,3,5539,1089,42,263.0,3.0,506449,19861,Oceania,6703,81,414,2,17,12,17,39,32,04-26-2020
8,8,Austria,15225,77,542,6,12282,2401,145,1690.0,60.0,227631,25274,Europe,15134,536,1327,17,8,10,6,15,9,04-26-2020
9,9,Azerbaijan,1645,28,21,0,1139,485,15,162.0,2.0,120479,11883,Europe,1617,21,559,65,99,103,162,60,109,04-26-2020
10,10,Bahamas,78,0,11,0,15,52,1,198.0,28.0,0,0,America,78,11,32,109,67,64,22,137,98,04-26-2020
11,11,Bahrain,2588,0,8,0,1160,1420,2,1521.0,5.0,110379,64869,Asia,2589,8,1549,61,72,58,48,30,42,04-26-2020
12,12,Bangladesh,5416,418,145,5,122,5149,1,33.0,0.9,46589,283,Asia,4998,140,4516,140,125,131,144,103,88,04-26-2020
13,13,Barbados,79,0,6,0,31,42,4,275.0,21.0,1502,5227,America,79,6,11,53,36,38,36,87,46,04-26-2020
14,14,Belarus,10463,873,72,5,1695,8696,92,1107.0,8.0,147525,15612,Europe,9590,67,7364,83,46,53,74,116,72,04-26-2020
15,15,Belgium,46134,809,7094,177,10785,28255,891,3981.0,612.0,189067,16313,Europe,45325,6917,17307,16,26,13,15,28,21,04-26-2020
16,16,Belize,18,0,2,0,5,11,1,45.0,5.0,816,2052,America,18,2,5,94,95,104,88,34,69,04-26-2020
17,17,Benin,54,0,1,0,27,26,0,4.0,0.08,0,0,Africa,58,1,23,157,132,143,171,136,97,04-26-2020
18,18,Bhutan,7,0,0,0,4,3,0,9.0,0.0,9791,12689,Asia,7,0,2,138,158,144,135,73,124,04-26-2020
19,19,Bolivia,866,59,46,2,54,766,3,74.0,4.0,4995,428,America,866,46,566,133,118,117,101,142,126,04-26-2020
20,20,Botswana,22,0,1,0,0,21,0,9.0,0.4,5023,2136,Africa,22,1,9,187,146,168,85,188,169,04-26-2020
21,21,Brazil,59324,128,4057,12,29160,26107,8318,279.0,19.0,291922,1373,America,58509,4016,37782,111,108,125,54,78,125,04-26-2020
22,22,Bulgaria,1290,43,55,0,205,1030,37,186.0,8.0,27000,3886,Europe,1247,55,586,60,53,74,96,92,102,04-26-2020
23,23,Burundi,11,0,1,0,4,6,0,0.9,0.08,284,24,Africa,15,1,10,179,154,161,186,171,143,04-26-2020
24,24,Cambodia,122,0,0,0,117,5,1,7.0,0.0,5768,345,Asia,122,0,0,148,150,166,140,157,174,04-26-2020
25,25,Cameroon,1621,103,56,3,786,779,12,61.0,2.0,0,0,Africa,1518,53,698,156,160,163,131,172,164,04-26-2020
26,26,Canada,45354,0,2465,0,16425,26464,557,1202.0,65.0,684271,18130,America,45341,2465,22040,12,18,7,10,35,30,04-26-2020
27,27,Chad,46,0,0,0,15,31,0,3.0,0.0,0,0,Africa,40,0,29,161,175,177,175,161,178,04-26-2020
28,28,Chile,12858,0,181,0,6746,5931,418,673.0,9.0,149212,7806,America,12858,181,5931,32,1,33,44,23,33,04-26-2020
29,29,Colombia,5142,0,233,0,1067,3842,117,101.0,5.0,78078,1534,America,5142,233,2433,74,44,41,49,51,22,04-26-2020
30,30,Congo,200,0,6,0,19,175,0,36.0,1.0,0,0,Africa,200,8,140,150,142,155,122,167,166,04-26-2020
31,31,Croatia,2030,14,55,1,1103,872,23,494.0,13.0,31622,7703,Europe,2016,54,482,38,33,36,56,57,43,04-26-2020
32,32,Cuba,1337,0,51,0,437,849,11,118.0,5.0,37991,3354,America,1337,51,717,33,41,40,118,36,39,04-26-2020
33,33,Cyprus,810,0,14,0,148,648,15,671.0,12.0,43542,36064,Europe,810,17,194,25,31,28,39,22,24,04-26-2020
34,34,Denmark,8575,130,422,4,5805,2348,70,1480.0,73.0,146915,25364,Europe,8445,418,2449,28,21,20,8,65,34,04-26-2020
35,35,Djibouti,1008,0,2,0,373,633,0,1020.0,2.0,11431,11570,Africa,1008,2,821,166,169,170,163,163,157,04-26-2020
36,36,Dominica,16,0,0,0,13,3,0,222.0,0.0,383,5320,America,16,0,0,26,35,42,70,59,35,04-26-2020
37,37,Ecuador,22719,0,576,0,1366,20777,127,1288.0,33.0,56513,3203,America,11183,576,3926,93,133,107,97,96,111,04-26-2020
38,38,Egypt,4319,0,307,0,1114,2898,0,42.0,3.0,90000,879,Africa,4319,307,2380,115,141,110,115,43,63,04-26-2020
39,39,Eritrea,39,0,0,0,13,26,0,11.0,0.0,0,0,Africa,39,0,5,169,167,176,187,148,158,04-26-2020
40,40,Estonia,1643,8,49,3,233,1361,6,1239.0,37.0,47933,36134,Europe,1635,46,331,69,43,48,60,115,77,04-26-2020
41,41,Ethiopia,123,1,3,0,41,79,0,1.0,0.03,13645,119,Africa,122,3,53,182,176,186,189,169,180,04-26-2020
42,42,Fiji,18,0,0,0,10,8,0,20.0,0.0,900,1004,Oceania,18,0,2,106,71,78,87,124,96,04-26-2020
43,43,Finland,4576,101,190,4,2500,1886,62,826.0,34.0,80300,14493,Europe,4475,186,1570,20,27,22,18,44,31,04-26-2020
44,44,France,161488,0,22614,0,44594,94280,4725,2474.0,346.0,463662,7103,Europe,124114,22614,30324,3,12,6,4,4,1,04-26-2020
45,45,Gabon,176,0,3,0,30,143,1,79.0,1.0,572,257,Africa,176,3,127,144,136,141,95,143,139,04-26-2020
