,Unnamed: 0,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop,Region,Cases,Deaths,Confirmed cases in the last 14 days,Attainment of goals / Health / Level (DALE),Attainment of goals / Health / Distribution,Attainment of goals / Health / Overall goal attainment,Health expenditure per capita in international dollars,Performance / On level of health,Performance / Overall health system performance,date
0,0,Afghanistan,1703,172,57,7,220,1426,7,44.0,1.0,8694,223,Asia,1531,68,924,164,182,183,184,150,173,04-27-2020
1,1,Albania,726,0,28,0,410,288,4,252.0,10.0,7279,2529,Europe,726,28,280,102,128,86,149,64,55,04-27-2020
2,2,Algeria,3382,0,425,0,1508,1449,40,77.0,10.0,6500,148,Africa,3382,425,1468,44,63,56,24,45,81,04-27-2020
3,3,Andorra,738,0,40,0,344,354,17,9552.0,518.0,1673,21653,Europe,740,40,102,10,25,17,23,7,4,04-27-2020
4,4,Angola,26,0,2,0,6,18,0,0.8,0.06,0,0,Africa,26,2,7,165,178,181,164,165,181,04-27-2020
5,5,Argentina,3892,0,192,0,1107,2593,144,86.0,4.0,49905,1104,America,3767,186,1564,39,60,49,34,71,75,04-27-2020
6,6,Armenia,1808,62,29,1,848,931,10,610.0,10.0,18547,6259,Europe,1808,29,795,41,63,81,102,56,104,04-27-2020
7,7,Australia,6720,4,83,0,5586,1051,43,264.0,3.0,517063,20277,Oceania,6713,83,391,2,17,12,17,39,32,04-27-2020
8,8,Austria,15274,49,549,7,12362,2363,140,1696.0,61.0,232537,25819,Europe,15189,542,1252,17,8,10,6,15,9,04-27-2020
9,9,Azerbaijan,1678,33,22,1,1162,494,15,165.0,2.0,128807,12704,Europe,1645,21,547,65,99,103,162,60,109,04-27-2020
10,10,Bahamas,80,0,11,0,22,47,1,203.0,28.0,0,0,America,80,11,33,109,67,64,22,137,98,04-27-2020
11,11,Bahrain,2647,0,8,0,1189,1450,2,1556.0,5.0,114110,67061,Asia,2647,8,1511,61,72,58,48,30,42,04-27-2020
12,12,Bangladesh,5913,497,152,7,131,5630,1,36.0,0.9,50401,306,Asia,5416,145,4795,140,125,131,144,103,88,04-27-2020
13,13,Barbados,79,0,6,0,39,34,4,275.0,21.0,1663,5787,America,79,6,8,53,36,38,36,87,46,04-27-2020
14,14,Belarus,11289,826,75,3,1740,9474,92,1195.0,8.0,153845,16281,Europe,10463,72,7885,83,46,53,74,116,72,04-27-2020
15,15,Belgium,46687,553,7207,113,10878,28602,903,4028.0,622.0,214042,18468,Europe,46134,7094,16487,16,26,13,15,28,21,04-27-2020
16,16,Belize,18,0,2,0,5,11,1,45.0,5.0,816,2052,America,18,2,4,94,95,104,88,34,69,04-27-2020
17,17,Benin,64,0,1,0,33,30,0,5.0,0.08,0,0,Africa,64,1,29,157,132,143,171,136,97,04-27-2020
18,18,Bhutan,7,0,0,0,4,3,0,9.0,0.0,9829,12738,Asia,7,0,2,138,158,144,135,73,124,04-27-2020
19,19,Bolivia,950,84,50,4,80,820,3,81.0,4.0,5791,496,America,950,50,620,133,118,117,101,142,126,04-27-2020
20,20,Botswana,22,0,1,0,0,21,0,9.0,0.4,5023,2136,Africa,22,1,9,187,146,168,85,188,169,04-27-2020
21,21,Brazil,63328,469,4298,27,30152,28878,8318,298.0,20.0,291922,1373,America,61888,4205,39719,111,108,125,54,78,125,04-27-2020
22,22,Bulgaria,1348,48,56,0,206,1086,41,194.0,8.0,27000,3886,Europe,1300,56,625,60,53,74,96,92,102,04-27-2020
