,Unnamed: 0,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop,Region,Sum of Cases,Sum of Deaths,Confirmed cases in the last 14 days,Attainment of goals / Health / Level (DALE),Attainment of goals / Health / Distribution,Attainment of goals / Health / Overall goal attainment,Health expenditure per capita in international dollars,Performance / On level of health,Performance / Overall health system performance,date
37,37,Dominica,16,0,0,0,13,3,0,222.0,0.0,383,5320,America,16,0,0,26,35,42,70,59,35,05-03-2020
38,38,Ecuador,27464,0,1371,0,2132,23961,149,1557.0,78.0,73929,4190,America,27464,1371,18442,93,133,107,97,96,111,05-03-2020
39,39,Egypt,6193,0,415,0,1522,4256,0,61.0,4.0,90000,879,Africa,6193,415,3161,115,141,110,115,43,63,05-03-2020
40,40,Eritrea,39,0,0,0,26,13,0,11.0,0.0,0,0,Africa,39,0,4,169,167,176,187,148,158,05-03-2020
41,41,Estonia,1700,1,55,2,259,1386,7,1282.0,41.0,55206,41617,Europe,1699,53,187,69,43,48,60,115,77,05-03-2020
42,42,Ethiopia,135,2,3,0,75,57,0,1.0,0.03,22330,194,Africa,133,3,28,182,176,186,189,169,180,05-03-2020
43,43,Fiji,18,0,0,0,14,4,0,20.0,0.0,1007,1123,Oceania,18,0,1,106,71,78,87,124,96,05-03-2020
44,44,Finland,5254,78,230,10,3000,2024,49,948.0,42.0,102300,18463,Europe,5179,220,1498,20,27,22,18,44,31,05-03-2020
45,45,France,168396,0,24760,0,50562,93074,3827,2580.0,379.0,1100228,16856,Europe,130979,24760,19158,3,12,6,4,4,1,05-03-2020
46,46,Gabon,335,0,5,0,85,245,1,151.0,2.0,724,325,Africa,335,5,226,144,136,141,95,143,139,05-03-2020
47,47,Gambia,17,0,1,0,9,7,0,7.0,0.4,401,166,Africa,17,1,8,143,155,153,158,109,146,05-03-2020
48,48,Georgia,589,7,9,1,221,359,6,148.0,2.0,15904,3987,Europe,582,8,194,44,61,76,125,84,114,05-03-2020
49,49,Germany,165016,49,6812,0,130600,27604,2105,1970.0,81.0,2547052,30400,Europe,162496,6649,22599,22,20,14,3,41,25,05-03-2020
50,50,Ghana,2169,0,18,0,229,1922,4,70.0,0.6,117049,3767,Africa,2169,18,1335,149,149,139,166,158,135,05-03-2020
51,51,Greece,2620,0,143,0,1374,1103,37,251.0,14.0,78207,7503,Europe,2620,143,413,7,6,23,30,11,14,05-03-2020
52,52,Grenada,21,0,0,0,13,8,4,187.0,0.0,1406,12495,America,21,0,7,49,82,68,67,49,85,05-03-2020
53,53,Guatemala,688,44,17,1,72,599,5,38.0,0.9,7200,402,America,688,17,431,129,106,113,130,99,78,05-03-2020
54,54,Guinea,1586,0,7,0,405,1174,0,121.0,0.5,0,0,Africa,1586,7,1109,167,166,172,159,160,161,05-03-2020
55,55,Guyana,82,0,9,0,22,51,2,104.0,11.0,579,736,America,82,9,19,98,126,116,109,104,128,05-03-2020
56,56,Haiti,85,0,8,0,10,67,0,7.0,0.7,935,82,America,85,8,41,153,152,145,155,139,138,05-03-2020
57,57,Honduras,1010,111,76,1,116,818,10,102.0,8.0,4669,471,America,1010,76,538,92,119,129,100,48,131,05-03-2020
58,58,Hungary,2998,56,340,5,629,2029,51,310.0,35.0,82010,8489,Europe,2998,340,1082,62,40,43,59,105,66,05-03-2020
59,59,Iceland,1798,0,10,0,1706,82,0,5269.0,29.0,50002,146529,Europe,1798,10,38,19,24,16,14,27,15,05-03-2020
60,60,India,40263,564,1323,0,10886,28054,0,29.0,1.0,1046450,758,Asia,39980,1301,24268,19,13,121,133,118,112,05-03-2020
61,61,Indonesia,11192,349,845,14,1876,8471,0,41.0,3.0,112965,413,Asia,10843,831,4595,103,156,106,154,90,92,05-03-2020
62,62,Iran,97424,976,6203,47,78422,12799,2690,1160.0,74.0,496273,5909,Asia,96448,6156,15580,96,113,114,94,58,93,05-03-2020
63,63,Iraq,2219,0,95,0,1473,651,0,55.0,2.0,98253,2443,Asia,2219,95,737,126,130,124,117,75,103,05-03-2020
64,64,Ireland,21176,0,1286,0,13386,6504,99,4289.0,260.0,169377,34302,Europe,21176,1265,6418,27,13,25,25,32,19,05-03-2020
65,65,Israel,16193,8,230,1,9634,6329,103,1871.0,27.0,397046,45872,Asia,16185,229,2920,23,7,24,19,40,28,05-03-2020
66,66,Italy,209328,0,28710,0,79914,100704,1539,3462.0,475.0,2108837,34879,Europe,209328,28710,33403,6,14,11,11,3,2,05-03-2020
67,67,Jamaica,463,31,8,0,33,422,2,156.0,3.0,5215,1761,America,463,8,290,36,87,69,89,8,53,05-03-2020
68,68,Japan,14571,0,474,0,3205,10892,324,115.0,4.0,181527,1435,Asia,14839,492,4478,1,3,1,13,9,10,05-03-2020
69,69,Jordan,460,0,9,0,367,84,5,45.0,0.9,82092,8046,Asia,460,9,47,101,83,84,98,100,83,05-03-2020
70,70,Kazakhstan,3877,20,25,0,995,2857,40,206.0,1.0,282862,15065,Asia,3877,25,2223,122,52,62,112,135,64,05-03-2020
71,71,Kenya,435,0,22,0,152,261,2,8.0,0.4,21702,404,Africa,435,22,173,162,135,142,152,178,140,05-03-2020
72,72,Kuwait,4983,364,38,5,1776,3169,72,1167.0,9.0,179000,41915,Asia,4619,33,2867,68,54,46,41,68,45,05-03-2020
73,73,Kyrgyzstan,795,26,10,2,564,221,12,122.0,2.0,51472,7889,Asia,795,10,241,123,122,135,146,134,151,05-03-2020
74,74,Laos,19,0,0,0,9,10,0,3.0,0.0,2184,300,Asia,19,0,0,147,147,154,157,155,165,05-03-2020
75,75,Latvia,879,8,16,0,348,515,4,466.0,8.0,64245,34061,Europe,871,16,159,82,56,67,77,121,105,05-03-2020
76,76,Lebanon,737,4,25,0,200,512,43,108.0,4.0,39238,5749,Asia,733,25,61,95,88,93,46,97,91,05-03-2020
77,77,Liberia,154,0,18,0,48,88,0,30.0,4.0,0,0,Africa,154,18,73,181,191,187,181,176,186,05-03-2020
78,78,Libya,63,0,3,0,22,38,0,9.0,0.4,2155,314,Africa,63,3,14,107,102,97,84,94,87,05-03-2020
79,79,Lithuania,1410,4,46,0,635,729,17,518.0,17.0,141678,52044,Europe,1406,46,213,63,48,52,71,93,73,05-03-2020
80,80,Luxembourg,3812,0,92,0,3318,402,23,6090.0,147.0,47460,75817,Europe,3812,92,275,18,22,5,5,31,16,05-03-2020
81,81,Madagascar,149,14,0,0,98,51,1,5.0,0.0,3611,130,Africa,135,0,18,172,168,167,190,173,159,05-03-2020
82,82,Malawi,39,1,3,0,9,27,1,2.0,0.2,892,47,Africa,38,3,21,189,187,182,161,187,185,05-03-2020
83,83,Malaysia,6298,122,105,2,4413,1780,27,195.0,3.0,195833,6051,Asia,6176,103,871,89,49,55,93,86,49,05-03-2020
84,84,Maldives,527,8,1,0,18,508,2,975.0,2.0,8008,14815,Asia,519,1,484,130,134,128,76,147,147,05-03-2020
85,85,Mali,544,0,26,0,206,312,0,27.0,1.0,2172,107,Africa,544,26,328,183,180,178,179,170,163,05-03-2020
86,86,Malta,477,9,4,0,392,81,1,1080.0,9.0,36204,81994,Europe,467,4,41,21,38,31,37,2,5,05-03-2020
87,87,Mauritania,8,0,1,0,6,1,0,2.0,0.2,1032,222,Africa,8,1,1,158,163,169,141,151,162,05-03-2020
88,88,Mauritius,332,0,10,0,315,7,3,261.0,8.0,16028,12603,Africa,334,10,9,78,77,90,69,113,84,05-03-2020
89,89,Mexico,22088,1349,2061,89,13447,6580,378,171.0,16.0,91188,707,America,22088,2061,14591,55,65,51,55,63,61,05-03-2020
90,90,Moldova,4052,0,124,0,1334,2594,237,1004.0,31.0,11763,2916,Europe,4052,124,1701,88,64,91,108,106,101,05-03-2020
91,91,Monaco,95,0,4,0,78,13,1,2421.0,102.0,0,0,Europe,95,4,1,9,30,18,12,12,13,05-03-2020
92,92,Mongolia,39,0,0,0,10,29,0,12.0,0.0,8250,2517,Asia,39,0,8,131,148,136,145,138,145,05-03-2020
93,93,Morocco,4880,151,174,1,1424,3282,1,132.0,5.0,40961,1110,Africa,4729,173,2044,110,111,94,99,17,29,05-03-2020
94,94,Mozambique,79,0,0,0,18,61,0,3.0,0.0,2337,75,Africa,79,0,44,180,190,185,160,168,184,05-03-2020
95,95,Myanmar,155,4,6,0,43,106,0,3.0,0.1,8703,160,Asia,151,6,44,139,162,175,136,129,190,05-03-2020
96,96,Namibia,16,0,0,0,8,8,0,6.0,0.0,704,277,Africa,16,0,0,177,173,165,66,189,168,05-03-2020
97,97,Nepal,69,10,0,0,16,53,0,2.0,0.0,63102,2166,Asia,59,0,28,142,161,160,170,98,150,05-03-2020
98,98,Netherlands,40571,335,5056,69,0,35265,708,2368.0,295.0,225899,13184,Europe,40236,4987,8647,13,15,8,9,19,17,05-03-2020
99,99,Nicaragua,14,0,3,0,7,4,0,2.0,0.5,0,0,America,14,4,5,117,96,101,104,74,71,05-03-2020
100,100,Niger,736,0,35,0,507,194,0,30.0,1.0,5271,218,Africa,736,35,97,190,184,188,185,177,170,05-03-2020
101,101,Nigeria,2388,0,85,0,385,1918,2,12.0,0.4,16588,80,Africa,2388,85,1846,163,188,184,176,175,187,05-03-2020
102,102,Norway,7809,0,211,0,32,7566,37,1440.0,39.0,172586,31835,Europe,7759,204,775,15,4,3,16,18,11,05-03-2020
103,103,Oman,2568,85,12,0,750,1806,17,503.0,2.0,40459,7923,Asia,2483,12,1303,72,59,59,62,1,8,05-03-2020
104,104,Pakistan,19103,81,440,3,4817,13846,111,86.0,2.0,203025,919,Asia,19103,440,11110,124,183,133,142,85,122,05-03-2020
105,105,Panama,7090,370,197,5,641,6252,85,1643.0,46.0,31895,7392,America,7090,197,2817,47,93,70,53,67,95,05-03-2020
106,106,Paraguay,370,37,10,0,119,241,5,52.0,1.0,10766,1509,America,370,10,168,71,57,73,91,52,57,05-03-2020
107,107,Peru,42534,0,1200,0,12434,28900,671,1290.0,36.0,355604,10785,America,42534,1200,28114,105,103,115,78,119,129,05-03-2020
108,108,Philippines,9223,295,607,4,1214,7402,31,84.0,6.0,120736,1102,Asia,8928,603,2841,113,50,54,124,126,60,05-03-2020
109,109,Poland,13693,318,678,14,3945,9070,160,362.0,18.0,375948,9933,Europe,13375,664,4633,45,5,34,58,89,50,05-03-2020
110,110,Portugal,25190,0,1023,0,1671,22496,150,2470.0,100.0,426836,41860,Europe,25190,1023,5666,29,34,32,28,13,12,05-03-2020
111,111,Qatar,15551,679,12,0,1664,13875,72,5398.0,4.0,104435,36249,Asia,14872,12,9864,66,55,47,27,53,44,05-03-2020
112,112,Romania,13163,431,790,19,4869,7504,255,684.0,41.0,195508,10163,Europe,12732,771,4314,80,78,72,107,111,99,05-03-2020
113,113,Russia,134687,10633,1280,58,16639,116768,2300,923.0,9.0,4100000,28095,Europe,124054,1222,87261,91,69,100,75,127,130,05-03-2020
114,114,Rwanda,255,0,0,0,120,135,0,20.0,0.0,33303,2571,Africa,255,0,111,185,185,171,177,181,172,05-03-2020
115,115,Senegal,1115,0,9,0,368,738,4,67.0,0.5,466,28,Africa,1115,9,765,151,105,118,143,132,59,05-03-2020
116,116,Seychelles,11,0,0,0,6,5,0,112.0,0.0,0,0,Africa,11,0,0,108,73,83,52,83,56,05-03-2020
117,117,Singapore,18205,657,17,0,1347,16841,24,3112.0,3.0,143919,24600,Asia,17548,17,11556,30,29,27,38,14,6,05-03-2020
118,118,Slovakia,1408,1,24,0,619,765,7,258.0,4.0,96220,17624,Europe,1407,24,318,42,39,39,45,88,62,05-03-2020
119,119,Slovenia,1439,0,96,2,241,1102,21,692.0,46.0,55520,26706,Europe,1439,94,122,34,23,29,29,62,38,05-03-2020
120,120,Somalia,671,0,31,0,34,606,2,42.0,2.0,0,0,Africa,671,31,536,173,179,189,191,154,179,05-03-2020
121,121,Spain,245567,0,25100,0,146233,74234,2386,5252.0,537.0,1528833,32699,Europe,216582,25100,28004,5,11,19,24,6,7,05-03-2020
122,122,Sudan,592,0,41,0,52,499,0,14.0,0.9,0,0,Africa,592,41,526,154,159,148,169,149,134,05-03-2020
123,123,Suriname,10,0,1,0,8,1,0,17.0,2.0,404,689,America,10,1,0,77,94,105,72,77,110,05-03-2020
124,124,Sweden,22317,235,2679,10,1005,18633,403,2210.0,265.0,119500,11833,Europe,22082,2669,8260,4,28,4,7,21,23,05-03-2020
125,125,Switzerland,29905,88,1762,0,24200,3943,141,3455.0,204.0,280220,32378,Europe,29734,1466,2412,8,10,2,2,26,20,05-03-2020
126,126,Syria,44,0,3,0,27,14,0,3.0,0.2,0,0,Asia,44,3,6,114,107,112,119,91,108,05-03-2020
127,127,Tajikistan,76,0,2,0,0,74,0,8.0,0.2,0,0,Asia,32,0,32,120,124,127,126,145,154,05-03-2020
128,128,Thailand,2969,3,54,0,2739,176,61,43.0,0.8,178083,2551,Asia,2966,54,233,99,74,57,64,102,47,05-03-2020
129,129,Togo,124,1,9,0,67,48,0,15.0,1.0,7425,897,Africa,123,9,39,159,170,156,180,159,152,05-03-2020
130,130,Tunisia,1009,0,42,0,323,644,25,85.0,4.0,24055,2035,Africa,1009,42,143,90,114,77,79,46,52,05-03-2020
131,131,Turkey,124375,0,3336,0,58259,62780,1445,1475.0,40.0,1111366,13177,Asia,124375,3336,42046,73,109,96,82,33,70,05-03-2020
132,132,Uganda,88,0,0,0,52,36,0,2.0,0.0,36302,794,Africa,88,0,33,186,138,162,168,179,149,05-03-2020
133,133,Ukraine,11913,502,288,9,1548,10077,158,272.0,7.0,129723,2966,Europe,11411,279,5962,70,47,60,111,101,79,05-03-2020
134,134,Uruguay,652,0,17,0,440,195,10,188.0,5.0,21164,6093,America,652,17,135,37,68,50,33,50,65,05-03-2020
135,135,Uzbekistan,2136,18,10,1,1308,818,8,64.0,0.3,242536,7247,Asia,2127,9,632,100,144,109,120,112,117,05-03-2020
136,136,Venezuela,345,0,10,0,148,187,2,12.0,0.4,477790,16802,America,345,10,118,52,76,65,68,29,54,05-03-2020
137,137,Vietnam,271,1,0,0,219,52,8,3.0,0.0,261004,2681,Asia,270,0,2,116,104,140,147,130,160,05-03-2020
138,138,Yemen,10,0,2,0,1,7,0,0.3,0.07,120,4,Asia,10,2,9,141,165,146,182,82,120,05-03-2020
139,139,Zambia,124,5,3,0,78,43,1,7.0,0.2,6882,374,Africa,119,3,62,188,171,174,148,190,182,05-03-2020
140,140,Zimbabwe,34,0,4,0,5,25,0,2.0,0.3,7642,514,Africa,34,4,9,184,98,147,110,191,155,05-03-2020
