CountryOther,04-16-2020,04-17-2020,04-18-2020,04-19-2020,04-20-2020,04-21-2020,04-22-2020,04-23-2020,04-24-2020,04-25-2020,04-26-2020,04-27-2020,04-28-2020,04-29-2020,04-30-2020,05-01-2020,05-02-2020,05-03-2020
Albania,251,251,251,251,251,277,327,345,394,403,410,410,431,470,488,519,519,531
Algeria,691,691,708,708,708,783,1099,1152,1355,1479,1479,1508,1558,1702,1779,1872,1872,1872
Andorra,169,169,169,169,169,169,248,282,333,344,344,344,385,423,468,472,472,472
Angola,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,11,11,11
Argentina,596,596,596,596,596,631,737,840,976,1030,1030,1107,1140,1192,1256,1320,1320,1354
Armenia,297,297,297,297,297,358,580,609,728,803,833,848,866,929,977,1010,1010,1035
Australia,3686,3686,3686,3686,3686,3747,4258,4685,5136,5372,5539,5586,5626,5715,5745,5789,5789,5817
Austria,8098,8098,8098,8098,8098,8986,10631,10971,11872,12103,12282,12362,12580,12907,13110,13180,13180,13228
Azerbaijan,404,404,404,404,404,460,791,865,1013,1080,1139,1162,1162,1325,1325,1411,1411,1441
Bahamas,6,6,6,6,6,6,11,11,14,15,15,22,22,25,25,24,24,24
Bahrain,663,663,663,663,663,703,769,784,1113,1160,1160,1189,1246,1495,1500,1568,1568,1717
Bangladesh,49,49,49,49,49,49,85,87,112,113,122,131,139,160,174,177,177,177
Barbados,15,15,15,15,15,15,19,23,30,31,31,39,39,39,39,44,44,44
Belarus,203,203,203,203,203,203,514,577,1120,1573,1695,1740,1993,2386,2918,3117,3117,3196
Belgium,7107,7107,7107,7107,7107,7562,8895,9002,10122,10417,10785,10878,10943,11576,11892,12211,12211,12309
Belize,0,0,0,0,0,0,2,2,5,5,5,5,6,9,13,13,13,13
Benin,18,18,18,18,18,18,27,27,27,27,27,33,33,33,33,42,42,42
Bhutan,2,2,2,2,2,2,2,2,3,3,4,4,5,5,5,5,5,5
Bolivia,7,7,7,7,7,14,31,37,44,54,54,80,98,117,132,134,134,159
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,8,8
Brazil,14026,14026,14026,14026,14026,14026,22130,22991,26573,27655,29160,30152,31142,34132,35935,38039,40937,40937
Bulgaria,105,105,105,105,105,122,167,170,193,197,205,206,222,266,276,287,287,308
Burundi,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,7,7
Cambodia,96,96,96,96,96,98,107,110,110,117,117,119,119,119,119,120,120,120
Cameroon,165,165,165,165,165,164,305,329,668,697,786,786,805,934,934,953,953,953
Canada,8235,8235,8235,8235,8937,9674,12197,12586,14761,16320,16425,17321,18268,20327,21423,23316,23801,23801
Chad,2,2,2,2,2,5,8,8,8,15,15,15,15,19,33,39,39,39
Chile,2646,2937,2937,2937,2937,3299,4676,4969,5804,6746,6746,7024,7327,8580,8580,9572,9572,9572
Colombia,354,354,354,354,452,550,711,804,927,1003,1067,1133,1210,1411,1439,1551,1666,1666
Congo,10,11,11,11,11,11,16,16,16,19,19,19,19,19,19,25,25,25
Croatia,473,473,473,473,473,529,771,801,982,1034,1103,1166,1166,1348,1421,1463,1463,1489
Cuba,132,151,151,151,151,171,285,309,365,437,437,501,525,617,681,765,765,765
Cyprus,65,65,65,65,65,77,81,98,98,148,148,148,148,148,296,296,296,296
Denmark,2748,2748,2748,2748,2748,3023,4312,4700,5526,5669,5805,5959,5959,6546,6729,6889,6889,6987
Djibouti,53,71,71,71,71,73,102,112,330,373,373,411,477,599,672,686,686,686
Dominica,8,8,8,8,8,8,8,8,9,10,13,13,13,13,13,13,13,13
Ecuador,696,696,696,696,780,838,1150,1207,1328,1366,1366,1366,1557,1557,1558,2132,2132,2132
Egypt,589,589,589,589,589,596,821,870,1075,1114,1114,1176,1236,1335,1381,1522,1522,1522
Eritrea,0,0,0,0,0,0,3,6,11,13,13,13,13,19,26,26,26,26
Estonia,117,117,117,117,117,133,165,169,206,228,233,233,240,249,253,256,256,259
Ethiopia,15,15,15,15,15,15,16,16,25,29,41,50,50,59,66,69,69,75
Fiji,0,0,0,0,0,0,3,3,10,10,10,12,12,12,12,14,14,14
Finland,300,300,300,300,300,1700,2000,2000,2500,2500,2500,2500,2500,3000,3000,3000,3000,3000
France,28805,28805,28805,28805,30955,32812,37409,39181,42088,44594,44594,44903,45513,48228,49476,50562,50562,50562
Gabon,4,4,4,4,4,4,7,7,24,26,30,30,43,67,67,67,85,85
Gambia,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,9,9,9
Georgia,69,69,71,71,71,76,95,97,132,139,139,149,156,178,184,207,207,221
Germany,72600,72600,72600,72600,72600,77000,91500,95200,106800,109800,109800,114500,114500,123500,126900,129000,129000,130600
Ghana,17,17,17,17,17,83,99,99,134,134,155,155,155,212,212,229,229,229
Greece,269,269,269,269,269,269,269,577,577,577,577,577,577,577,1374,1374,1374,1374
Grenada,0,0,0,0,0,0,6,6,7,7,7,7,7,13,13,13,13,13
Guatemala,19,19,19,19,19,19,21,24,30,30,45,49,49,65,66,72,72,72
Guinea,31,31,31,31,31,49,87,127,170,191,208,208,246,313,329,342,405,405
Guyana,8,8,8,8,8,8,9,9,12,12,12,12,15,18,22,22,22,22
Haiti,0,0,0,0,0,0,0,0,2,6,6,7,8,8,8,10,10,10
Honduras,9,9,9,9,9,9,25,29,50,58,65,79,79,79,112,112,112,116
Hungary,192,192,192,192,192,199,267,287,401,458,485,498,516,581,609,625,625,629
Iceland,1077,1077,1077,1077,1077,1144,1362,1417,1542,1570,1570,1608,1624,1656,1670,1706,1706,1706
India,1432,1432,1432,1432,1432,1768,3273,3273,5012,5939,5939,6523,7137,8437,9068,10819,10819,10886
Indonesia,446,446,446,446,446,548,747,842,1002,1042,1107,1151,1254,1522,1591,1665,1665,1876
Iran,49933,49933,49933,49933,49933,52229,59273,60965,66599,68193,69657,70933,72439,75103,76318,77350,77350,78422
Iraq,766,812,812,812,812,856,1043,1096,1171,1224,1224,1263,1286,1346,1375,1473,1473,1473
Ireland,77,77,77,77,77,77,77,9233,9233,9233,9233,9233,9233,13386,13386,13386,13386,13386
Israel,2309,2309,2309,2309,2563,2818,4049,4507,5685,6159,6602,6796,7375,8412,8758,9400,9593,9634
Italy,37130,38092,38092,38092,38092,40164,48877,51600,57576,63120,63120,64928,66624,71252,75945,79914,79914,79914
Jamaica,21,21,21,21,21,21,27,27,28,28,28,28,29,29,29,31,31,33
Japan,853,853,853,853,853,901,1159,1239,1494,1530,1656,1809,1899,2368,2460,2975,2975,3205
Jordan,235,235,235,235,250,259,282,297,318,332,332,337,342,356,362,367,367,367
Kazakhstan,240,240,240,240,240,277,447,489,602,646,677,720,725,858,866,985,985,995
