,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
0,Afghanistan,784,70,25,2,43,716,0,20,0.6,0,0
1,Albania,494,19,25,1,251,218,5,172,9,4558,1584
2,Algeria,2160,90,336,10,708,1116,60,49,8,3359,77
3,Andorra,673,14,33,2,169,471,17,8710,427,1673,21653
4,Angola,19,0,2,0,5,12,0,0.6,0.06,0,0
5,Anguilla,3,0,0,0,1,2,0,200,0,0,0
6,AntiguaandBarbuda,23,0,2,0,3,18,1,235,20,73,745
7,Argentina,2443,166,111,9,596,1736,117,54,2,24374,539
8,Armenia,1111,44,17,1,297,797,30,375,6,9095,3069
9,Aruba,93,1,1,1,39,53,1,871,9,1198,11221
10,Australia,6447,47,63,2,3686,2698,76,253,2,371377,14564
11,Austria,14336,110,393,9,8098,5845,232,1592,44,156801,17410
12,Azerbaijan,1253,56,13,0,404,836,24,124,1,75397,7436
13,Bahamas,53,4,8,0,6,39,1,135,20,0,0
14,Bahrain,1671,143,7,0,663,1001,3,982,4,72647,42694
15,Bangladesh,1231,219,50,4,49,1132,1,7,0.3,14868,90
16,Barbados,73,0,5,0,15,53,4,254,17,864,3007
17,Belarus,3728,447,36,3,203,3489,68,395,4,76198,8064
18,Belgium,33573,2454,4440,283,7107,22026,1204,2897,383,128132,11056
19,Belize,18,0,2,0,0,16,1,45,5,567,1426
20,Benin,35,0,1,0,18,16,0,3,0.08,0,0
21,Bermuda,81,24,5,0,33,43,3,1301,80,527,8462
22,Bhutan,5,0,0,0,2,3,0,6,0,1166,1511
23,Bolivia,397,43,28,0,7,362,3,34,2,2185,187
24,BosniaandHerzegovina,1110,27,41,1,253,816,4,338,12,13339,4066
25,Botswana,13,0,1,0,0,12,0,6,0.4,3441,1463
26,Brazil,28320,3058,1736,204,14026,12558,296,133,8,62985,296
27,BritishVirginIslands,3,0,0,0,2,1,0,99,0,0,0
28,Brunei,136,0,1,0,108,27,2,311,2,10579,24182
29,Bulgaria,747,34,36,1,105,606,31,108,5,18502,2663
30,BurkinaFaso,542,14,32,2,226,284,0,26,2,0,0
31,Burundi,5,0,1,0,0,4,0,0.4,0.08,0,0
32,CAR,12,1,0,0,4,8,0,2,0,0,0
33,CaboVerde,56,45,1,0,1,54,0,101,2,0,0
34,Cambodia,122,0,0,0,96,26,1,7,0,5768,345
35,Cameroon,848,0,17,3,165,666,0,32,0.6,0,0
36,Canada,28205,1142,1006,103,8937,18262,557,747,27,462353,12250
37,CaribbeanNetherlands,3,0,0,0,0,3,0,114,0,10,381
38,CaymanIslands,54,0,1,0,6,47,3,822,15,580,8825
39,Chad,23,0,0,0,2,21,0,1,0,0,0
40,ChannelIslands,447,7,15,2,69,363,0,2571,86,3320,19095
41,Chile,8273,356,94,2,2937,5242,389,433,5,91873,4806
42,China,82295,0,3342,0,77816,1137,113,57,2,0,0
