,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
0,Afghanistan,3224,330,95,5,421,2708,7,83,2,13076,336
1,Albania,820,17,31,0,570,219,7,285,11,9276,3223
2,Algeria,4838,190,470,5,2067,2301,22,110,11,6500,148
3,Andorra,750,0,45,0,499,206,16,9707,582,1673,21653
4,Angola,35,0,2,0,11,22,0,1,0.06,3000,91
5,Anguilla,3,0,0,0,3,0,0,200,0,0,0
6,AntiguaandBarbuda,25,0,3,0,16,6,1,255,31,153,1562
7,Argentina,4887,0,260,0,1442,3185,157,108,6,67920,1503
8,Armenia,2619,112,40,1,1111,1468,10,884,13,25846,8722
9,Aruba,100,0,2,0,81,17,4,937,19,1758,16466
10,Australia,6849,24,96,1,5889,864,27,269,4,664756,26069
11,Austria,15650,29,606,6,13462,1582,104,1738,67,285883,31742
12,Azerbaijan,2060,76,26,0,1508,526,18,203,3,164481,16222
13,Bahamas,83,0,11,0,25,47,1,211,28,1391,3537
14,Bahrain,3679,146,8,0,1762,1909,1,2162,5,149586,87910
15,Bangladesh,10929,786,183,1,1403,9343,1,66,1,93405,567
16,Barbados,82,0,7,0,46,29,4,285,24,2458,8553
17,Belarus,18350,861,107,4,3771,14472,92,1942,11,211369,22369
18,Belgium,50509,242,8016,92,12441,30052,646,4358,692,456194,39362
19,Belize,18,0,2,0,14,2,1,45,5,1043,2623
20,Benin,96,0,2,0,50,44,0,8,0.2,0,0
21,Bermuda,115,0,7,0,54,54,4,1847,112,3270,52507
22,Bhutan,7,0,0,0,5,2,0,9,0,11015,14275
23,Bolivia,1681,87,82,6,174,1425,3,144,7,7651,655
24,BosniaandHerzegovina,1946,20,79,1,911,956,4,593,24,35296,10758
25,Botswana,23,0,1,0,8,14,0,10,0.4,8636,3672
26,Brazil,108620,354,7367,24,45815,55438,8318,511,35,339552,1597
27,BritishVirginIslands,6,0,1,0,3,2,0,198,33,0,0
28,Brunei,138,0,1,0,131,6,2,315,2,14610,33396
29,Bulgaria,1704,52,80,2,342,1282,37,245,12,50303,7239
