,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
166,SaintPierreMiquelon,1,0,0,0,0,1,0,173,0,0,0
167,SanMarino,580,0,41,0,83,456,5,17094,1208,2397,70643
168,SaoTomeandPrincipe,16,0,1,0,4,11,0,73,5,19,87
169,SaudiArabia,25459,1362,176,7,3765,21518,139,731,5,339775,9760
170,Senegal,1115,91,9,0,368,738,1,67,0.5,466,28
171,Serbia,9362,157,189,4,1426,7747,57,1071,22,96637,11060
172,Seychelles,11,0,0,0,6,5,0,112,0,0,0
173,SierraLeone,155,19,8,1,21,126,0,19,1,0,0
174,Singapore,17548,447,17,1,1347,16184,24,2999,3,143919,24600
175,SintMaarten,76,0,13,0,44,19,7,1773,303,329,7673
176,Slovakia,1407,4,24,1,608,775,5,258,4,94770,17358
177,Slovenia,1439,5,94,2,239,1106,21,692,45,55020,26465
178,Somalia,671,70,31,3,34,606,2,42,2,0,0
179,SouthAfrica,6336,385,123,7,2549,3664,36,107,2,230686,3890
180,SouthSudan,45,0,0,0,0,45,0,4,0,1247,111
181,Spain,245567,2588,25100,276,146233,74234,2386,5252,537,1528833,32699
182,SriLanka,702,12,7,0,172,523,1,33,0.3,23525,1099
183,St.Barth,6,0,0,0,6,0,0,607,0,0,0
184,St.VincentGrenadines,16,0,0,0,8,8,0,144,0,108,973
185,Sudan,592,150,41,10,52,499,0,14,0.9,0,0
186,Suriname,10,0,1,0,8,1,0,17,2,404,689
187,Sweden,22082,562,2669,16,1005,18408,531,2186,264,119500,11833
188,Switzerland,29817,112,1762,8,24200,3855,141,3445,204,276000,31890
189,Syria,44,0,3,0,27,14,0,3,0.2,0,0
190,Taiwan,432,3,6,0,324,102,0,18,0.3,63713,2675
191,Tajikistan,76,61,2,2,0,74,0,8,0.2,0,0
192,Tanzania,480,0,16,0,167,297,7,8,0.3,0,0
193,Thailand,2966,6,54,0,2732,180,61,42,0.8,178083,2551
194,Timor-Leste,24,0,0,0,16,8,0,18,0,322,244
195,Togo,123,0,9,0,66,48,0,15,1,7100,858
196,TrinidadandTobago,116,0,8,0,88,20,0,83,6,1838,1313
197,Tunisia,1009,11,42,1,323,644,25,85,4,24055,2035
198,Turkey,124375,1983,3336,78,58259,62780,1445,1475,40,1111366,13177
199,TurksandCaicos,12,0,1,0,5,6,0,310,26,83,2144
200,UAE,13599,561,119,8,2664,10816,1,1375,12,1200000,121330
201,UK,182260,4806,28131,621,0,153785,1559,2685,414,1129907,16644
202,Uganda,88,3,0,0,52,36,0,2,0,36302,794
203,Ukraine,11411,550,279,7,1498,9634,151,261,6,122752,2807
204,Uruguay,652,4,17,0,440,195,10,188,5,21164,6093
205,Uzbekistan,2118,32,9,0,1271,838,8,63,0.3,242536,7247
206,VaticanCity,11,0,0,0,2,9,0,13733,0,0,0
207,Venezuela,345,10,10,0,148,187,2,12,0.4,477790,16802
208,Vietnam,270,0,0,0,219,51,8,3,0,261004,2681
209,WesternSahara,6,0,0,0,5,1,0,10,0,0,0
210,Yemen,10,3,2,0,1,7,0,0.3,0.07,120,4
211,Zambia,119,10,3,0,75,41,1,6,0.2,5284,287
212,Zimbabwe,34,0,4,0,5,25,0,2,0.3,7642,514
