,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
0,Afghanistan,840,56,30,5,54,756,0,22,0.8,0,0
1,Albania,518,24,26,1,277,215,5,180,9,4827,1677
2,Algeria,2268,108,348,12,783,1137,60,52,8,3359,77
3,Andorra,673,0,33,0,169,471,17,8710,427,1673,21653
4,Angola,19,0,2,0,5,12,0,0.6,0.06,0,0
5,Anguilla,3,0,0,0,1,2,0,200,0,0,0
6,AntiguaandBarbuda,23,0,3,1,3,17,1,235,31,73,745
7,Argentina,2571,0,115,3,631,1825,121,57,3,26457,585
8,Armenia,1159,48,18,1,358,783,30,391,6,9632,3250
9,Aruba,95,2,2,1,39,54,1,890,19,1237,11586
10,Australia,6468,21,63,0,3747,2658,66,254,2,380003,14902
11,Austria,14476,126,410,17,8986,5080,238,1607,46,162816,18078
12,Azerbaijan,1283,30,15,2,460,808,28,127,1,75397,7436
13,Bahamas,53,0,8,0,6,39,1,135,20,0,0
14,Bahrain,1700,29,7,0,703,990,3,999,4,76630,45035
15,Bangladesh,1572,341,60,10,49,1463,1,10,0.4,17003,103
16,Barbados,75,2,5,0,15,55,4,261,17,900,3132
17,Belarus,4204,476,40,4,203,3961,65,445,4,81246,8598
18,Belgium,34809,1236,4857,417,7562,22390,1182,3003,419,134303,11588
19,Belize,18,0,2,0,0,16,1,45,5,567,1426
20,Benin,35,0,1,0,18,16,0,3,0.08,0,0
21,Bermuda,81,0,5,0,33,43,3,1301,80,527,8462
22,Bhutan,5,0,0,0,2,3,0,6,0,1166,1511
23,Bolivia,441,44,29,1,14,398,3,38,2,2185,187
24,BosniaandHerzegovina,1167,57,43,2,277,847,4,356,13,14743,4494
25,Botswana,15,2,1,0,0,14,0,6,0.4,3441,1463
26,Brazil,30425,1815,1924,167,14026,14475,6634,143,9,62985,296
27,BritishVirginIslands,3,0,0,0,2,1,0,99,0,0,0
28,Brunei,136,0,1,0,108,27,2,311,2,10826,24746
29,Bulgaria,800,53,38,2,122,640,37,115,5,18502,2663
30,BurkinaFaso,546,4,32,0,257,257,0,26,2,0,0
31,Burundi,5,0,1,0,0,4,0,0.4,0.08,0,0
32,CAR,12,0,0,0,4,8,0,2,0,0,0
33,CaboVerde,56,0,1,0,1,54,0,101,2,0,0
34,Cambodia,122,0,0,0,98,24,1,7,0,5768,345
35,Cameroon,996,148,22,5,164,810,0,38,0.8,0,0
36,Canada,29929,1550,1191,181,9674,19064,557,793,32,487625,12920
37,CaribbeanNetherlands,3,0,0,0,0,3,0,114,0,10,381
38,CaymanIslands,60,0,1,0,6,53,3,913,15,636,9677
39,Chad,27,4,0,0,5,22,0,2,0,0,0
40,ChannelIslands,457,10,19,4,73,365,0,2629,109,3320,19095
41,Chile,8807,534,105,11,3299,5403,384,461,5,98424,5149
42,China,82341,0,3342,0,77892,1107,95,57,2,0,0
43,Colombia,3233,128,144,13,550,2539,98,64,3,52085,1024
44,Congo,117,0,5,0,11,101,0,21,0.9,0,0
45,CostaRica,642,16,4,0,74,564,11,126,0.8,9396,1844
46,Croatia,1791,50,35,2,529,1227,31,436,9,20158,4910
47,Cuba,862,48,27,3,171,664,16,76,2,21837,1928
48,Curaçao,14,0,1,0,10,3,0,85,6,230,1402
49,Cyprus,735,20,12,0,77,646,8,609,10,17923,14845
50,Czechia,6359,58,169,3,972,5218,75,594,16,146004,13634
51,DRC,267,13,22,1,23,222,0,3,0.2,0,0
52,Denmark,6879,198,321,12,3023,3535,92,1188,55,82380,14223
53,DiamondPrincess,712,0,12,0,644,56,7,0,0,0,0
54,Djibouti,591,156,2,0,73,516,0,598,2,6430,6508
55,Dominica,16,0,0,0,8,8,0,222,0,345,4793
56,DominicanRepublic,3755,141,196,7,215,3344,121,346,18,12229,1127
57,Ecuador,8225,367,403,15,838,6984,168,466,23,27868,1580
58,Egypt,2673,168,196,13,596,1881,0,26,2,25000,244
59,ElSalvador,164,5,6,0,33,125,2,25,0.9,8333,1285
60,EquatorialGuinea,51,0,0,0,4,47,0,36,0,854,609
61,Eritrea,35,0,0,0,0,35,0,10,0,0,0
62,Estonia,1434,34,36,1,133,1265,10,1081,27,36024,27156
63,Eswatini,16,1,1,1,8,7,0,14,0.9,714,615
64,Ethiopia,92,7,3,0,15,74,1,0.8,0.03,5389,47
65,FaeroeIslands,184,0,0,0,169,15,0,3766,0,5765,117983
66,FalklandIslands,11,0,0,0,1,10,0,3161,0,137,39368
67,Fiji,17,1,0,0,0,17,0,19,0,0,0
68,Finland,3369,132,75,3,1700,1594,76,608,14,49700,8970
69,France,165027,17164,17920,753,32812,114295,6248,2528,275,333807,5114
70,FrenchGuiana,86,0,0,0,51,35,1,288,0,0,0
71,FrenchPolynesia,55,0,0,0,0,55,1,196,0,920,3275
72,Gabon,80,0,1,0,4,75,0,36,0.4,0,0
73,Gambia,9,0,1,0,2,6,0,4,0.4,281,116
74,Georgia,348,42,3,0,76,269,6,87,0.8,5027,1260
75,Germany,137698,2945,4052,248,77000,56646,4288,1643,48,1728357,20629
76,Ghana,641,0,8,0,83,550,2,21,0.3,50719,1632
77,Gibraltar,131,0,0,0,104,27,1,3888,0,1649,48945
78,Greece,2207,15,105,3,269,1833,69,212,10,50771,4871
79,Greenland,11,0,0,0,11,0,0,194,0,912,16065
80,Grenada,14,0,0,0,0,14,2,124,0,92,818
81,Guadeloupe,145,0,8,0,67,70,13,362,20,0,0
82,Guatemala,196,16,5,0,19,172,3,11,0.3,7200,402
83,Guinea,438,34,1,0,49,388,0,33,0.08,0,0
84,Guinea-Bissau,43,0,0,0,0,43,0,22,0,1500,762
85,Guyana,55,0,6,0,8,41,5,70,8,213,271
86,Haiti,41,0,3,0,0,38,0,4,0.3,365,32
87,Honduras,426,7,35,4,9,382,10,43,4,2012,203
88,HongKong,1018,1,4,0,485,529,9,136,0.5,116273,15509
89,Hungary,1652,73,142,8,199,1311,60,171,15,38489,3984
90,Iceland,1739,12,8,0,1144,587,6,5096,23,38204,111955
91,India,13430,1060,448,26,1768,11214,0,10,0.3,302956,220
92,Indonesia,5516,380,496,27,548,4472,0,20,2,36000,132
93,Iran,77995,1606,4869,92,52229,20897,3594,929,58,310340,3695
94,Iraq,1434,19,80,1,856,498,0,36,2,49260,1225
95,Ireland,13271,724,486,42,77,12708,156,2688,98,90646,18358
96,IsleofMan,284,28,4,0,154,126,13,3340,47,2261,26590
97,Israel,12758,257,142,12,2818,9798,181,1474,16,187250,21634
98,Italy,168941,3786,22170,525,40164,106607,2936,2794,367,1178403,19490
99,IvoryCoast,654,0,6,0,146,502,0,25,0.2,0,0
100,Jamaica,143,18,5,0,21,117,0,48,2,1424,481
101,Japan,8626,0,178,0,901,7547,168,68,1,94236,745
102,Jordan,402,1,7,0,259,136,5,39,0.7,20500,2009
103,Kazakhstan,1402,107,17,1,277,1108,22,75,0.9,85735,4566
104,Kenya,234,9,11,1,53,170,2,4,0.2,9630,179
105,Kuwait,1524,119,3,0,225,1296,32,357,0.7,0,0
106,Kyrgyzstan,466,17,5,0,91,370,5,71,0.8,26147,4008
107,Laos,19,0,0,0,2,17,0,3,0,1288,177
108,Latvia,675,9,5,0,57,613,3,358,3,31302,16595
109,Lebanon,663,5,21,0,86,556,30,97,3,18115,2654
110,Liberia,59,0,6,0,4,49,0,12,1,0,0
111,Libya,48,0,1,0,11,36,0,7,0.1,634,92
112,Liechtenstein,79,0,1,0,55,23,0,2072,26,900,23605
113,Lithuania,1128,37,32,2,178,918,14,414,12,48537,17829
114,Luxembourg,3444,71,69,0,552,2823,35,5502,110,31660,50577
115,MSZaandam,9,0,2,0,0,7,0,0,0,0,0
116,Macao,45,0,0,0,16,29,1,69,0,0,0
117,Madagascar,111,1,0,0,33,78,1,4,0,0,0
118,Malawi,16,0,2,0,0,14,1,0.8,0.1,343,18
119,Malaysia,5182,110,84,1,2766,2332,56,160,3,87183,2694
120,Maldives,25,3,0,0,16,9,0,46,0,3432,6349
121,Mali,171,23,13,0,34,124,0,8,0.6,0,0
122,Malta,412,13,3,0,82,327,4,933,7,21164,47932
123,Martinique,158,0,8,0,73,77,17,421,21,0,0
124,Mauritania,7,0,1,0,2,4,0,2,0.2,713,153
125,Mauritius,324,0,9,0,81,234,3,255,7,8279,6510
126,Mayotte,233,16,3,0,69,161,3,854,11,1500,5498
127,Mexico,5847,448,449,43,2125,3273,207,45,3,40091,311
128,Moldova,2154,105,54,8,235,1865,80,534,13,9208,2283
129,Monaco,93,0,3,0,12,78,2,2370,76,0,0
130,Mongolia,31,1,0,0,5,26,0,9,0,1077,329
131,Montenegro,303,15,4,0,55,244,7,482,6,3874,6168
132,Montserrat,11,0,0,0,1,10,1,2204,0,36,7212
133,Morocco,2283,259,130,3,249,1904,1,62,4,11996,325
134,Mozambique,31,2,0,0,2,29,0,1.0,0,855,27
135,Myanmar,85,11,4,0,2,79,0,2,0.07,3236,59
136,Namibia,16,0,0,0,4,12,0,6,0,362,142
137,Nepal,16,0,0,0,2,14,0,0.5,0,15800,542
138,Netherlands,29214,1061,3315,181,250,25649,1279,1705,193,147948,8634
139,NewCaledonia,18,0,0,0,1,17,1,63,0,3002,10515
140,NewZealand,1401,15,9,0,770,622,3,291,2,70160,14549
141,Nicaragua,9,0,1,0,4,4,0,1,0.2,0,0
142,Niger,584,0,14,0,90,480,0,24,0.6,4427,183
143,Nigeria,442,35,13,1,152,277,2,2,0.06,5000,24
144,NorthMacedonia,1081,107,46,1,121,914,15,519,22,10422,5002
145,Norway,6896,99,152,2,32,6712,64,1272,28,133707,24664
146,Oman,1019,109,4,0,176,839,3,200,0.8,0,0
147,Pakistan,6919,536,128,17,1645,5146,46,31,0.6,78979,358
148,Palestine,374,0,2,0,63,309,0,73,0.4,17329,3397
149,Panama,3751,0,103,0,75,3573,106,869,24,16854,3906
150,PapuaNewGuinea,7,5,0,0,0,7,0,0.8,0,167,19
151,Paraguay,174,13,8,0,30,136,1,24,1,4267,598
152,Peru,12491,1016,274,20,6120,6097,169,379,8,121468,3684
153,Philippines,5660,207,362,13,435,4863,1,52,3,48171,440
154,Poland,7918,336,314,28,774,6830,160,209,8,169071,4467
155,Portugal,18841,750,629,30,493,17719,229,1848,62,208314,20430
156,Qatar,4103,392,7,0,415,3681,37,1424,2,56381,19570
157,Romania,7707,491,392,20,1357,5958,243,401,20,79629,4139
158,Russia,27938,3448,232,34,2304,25402,8,191,2,1613413,11056
159,Rwanda,138,2,0,0,60,78,0,11,0,6237,482
160,Réunion,394,3,0,0,237,157,4,440,0,0,0
161,S.Korea,10613,22,229,4,7757,2627,55,207,4,538775,10509
162,SaintKittsandNevis,14,0,0,0,0,14,0,263,0,234,4399
163,SaintLucia,15,0,0,0,11,4,0,82,0,319,1737
164,SaintMartin,35,0,2,0,13,20,5,905,52,0,0
165,SaintPierreMiquelon,1,0,0,0,0,1,0,173,0,0,0
166,SanMarino,426,33,38,2,55,333,15,12555,1120,846,24933
167,SaoTomeandPrincipe,4,0,0,0,0,4,0,18,0,19,87
168,SaudiArabia,6380,518,83,4,990,5307,71,183,2,150000,4309
169,Senegal,335,21,2,0,194,139,1,20,0.1,0,0
170,Serbia,5318,445,103,4,443,4772,120,609,12,29472,3373
171,Seychelles,11,0,0,0,0,11,0,112,0,0,0
172,SierraLeone,15,2,0,0,0,15,0,2,0,0,0
173,Singapore,4427,728,10,0,683,3734,29,757,2,72680,12423
174,SintMaarten,57,4,9,0,12,36,6,1329,210,163,3802
175,Slovakia,977,114,8,2,167,802,5,179,1,34458,6311
