CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
Latvia,804,+20,12 ,,267,525,6,426,6,"45,743","24,251"
Andorra,731,,40 ,,344,347,17,"9,461",518,"1,673","21,653"
,,,721,,15,,645,61,4,,
Albania,712,+34,27 ,,403,282,4,247,9,"7,015","2,438"
Diamond Princess,712,,13 ,,645,54,4,,,,
Lebanon,704,+8,24 ,+2,143,537,44,103,4,"26,467","3,878"
Costa Rica,693,+6,6 ,,242,445,7,136,1,"12,467","2,447"
Niger,684,+3,27 ,+3,325,332,,28,1,"5,013",207
Kyrgyzstan,665,+9,8 ,,345,312,11,102,1,"39,615","6,072"
Burkina Faso,629,,41 ,,425,163,,30,2,,
Senegal,614,+69,7 ,,276,331,1,37,0.4,466,28
Honduras,591,+29,55 ,+8,58,478,10,60,6,"3,457",349
Uruguay,563,,12 ,,369,182,9,162,3,"15,834","4,558"
Channel Islands,525,+2,35 ,+1,332,158,,"3,020",201,"3,320","19,095"
San Marino,513,,40 ,,64,409,3,"15,119","1,179","1,929","56,851"
Palestine,495,+11,4 ,,92,399,,97,0.8,"27,000","5,293"
Georgia,456,+12,5 ,,139,312,6,114,1,"9,699","2,431"
Sri Lanka,452,+35,7 ,,118,327,2,21,0.3,"13,850",647
Malta,448,+1,4 ,+1,249,195,2,"1,015",9,"27,981","63,371"
Jordan,444,+3,7 ,,332,105,5,44,0.7,"63,737","6,247"
Guatemala,430,+46,11 ,,30,389,5,24,0.6,"7,200",402
Taiwan,429,+1,6 ,,275,148,,18,0.3,"59,840","2,513"
DRC,416,+22,28 ,+3,49,339,,5,0.3,,
Réunion,412,, ,,300,112,2,460,,,
Somalia,390,+62,18 ,+2,8,364,2,25,1,,
Mali,370,+45,21 ,,91,258,,18,1,"2,172",107
Mayotte,354,,4  ,,144,206,4,"1,298",15,"2,200","8,064"
Kenya,343,+7,14 ,,98,231,2,6,0.3,"17,000",316
Mauritius,331,,9 ,,295,27,3,260,7,"13,374","10,516"
Montenegro,320,+1,6 ,,153,161,7,510,10,"5,085","8,096"
Venezuela,318,,10 ,,132,176,4,11,0.4,"394,125","13,860"
Isle of Man,308,,18 ,,243,47,22,"3,622",212,"2,796","32,881"
Tanzania,299,,10 ,,48,241,7,5,0.2,,
Jamaica,288,+31,7 ,,28,253,,97,2,"2,518",850
El Salvador,274,+13,8 ,,75,191,2,42,1,"17,423","2,686"
Vietnam,270,, ,,225,45,8,3,,"206,253","2,119"
Paraguay,223,+3,9 ,,78,136,1,31,1,"6,917",970
Equatorial Guinea,214,,1 ,,7,206,,153,0.7,854,609
Sudan,213,+39,17 ,+1,19,177,,5,0.4,,
Congo,200,,6 ,,19,175,,36,1,,
Faeroe Islands,187,, ,,178,9,,"3,827",,"6,548","134,007"
Rwanda,176,, ,,87,89,,14,,"6,959",537
Gabon,172,,3  ,,26,143,1,77,1,572,257
Martinique,170,,14 ,,77,79,6,453,37,,
Guadeloupe,149,,12 ,,82,55,11,372,30,,
Myanmar,144,,5 ,,10,129,,3,0.09,"6,256",115
Maldives,141,+12, ,,17,124,2,261,,"5,296","9,798"
Brunei ,138,,1 ,,121,16,2,315,2,"12,886","29,455"
Gibraltar,136,+3, ,,131,5,,"4,037",,"2,174","64,528"
Madagascar,123,+1, ,,62,61,1,4,,"2,357",85
Ethiopia,122,+5,3 ,,29,90,,1,0.03,"12,688",110
Cambodia,122,, ,,117,5,1,7,,"5,768",345
Liberia,120,+3,11 ,+3,25,84,,24,2,,
Trinidad and Tobago,115,,8 ,,52,55,,82,6,"1,501","1,073"
French Guiana,111,,1 ,,87,23,,372,3,,
Aruba,100,,2 ,,69,29,4,937,19,"1,577","14,771"
Bermuda,99,,5 ,,39,55,10,"1,590",80,949,"15,238"
Togo,96,+6,6 ,,62,28,,12,0.7,"5,584",675
Monaco,94,,4 ,,42,48,1,"2,395",102,,
Cabo Verde,90,+2,1 ,,1,88,,162,2,791,"1,423"
Zambia,84,,3 ,,37,44,1,5,0.2,"2,586",141
Sierra Leone,82,,2 ,,10,70,,10,0.3,,
Liechtenstein,81,,1 ,,55,25,,"2,124",26,900,"23,605"
Barbados,77,,6 ,,31,40,4,268,21,"1,327","4,618"
Uganda,75,, ,,46,29,,2,,"18,921",414
Sint Maarten,73,,12 ,,22,39,8,"1,703",280,266,"6,204"
Bahamas,73,,11 ,,15,47,1,186,28,,
Guyana,73,,7 ,,12,54,5,93,9,375,477
Haiti,72,,6 ,+1,6,60,,6,0.5,719,63
Cayman Islands,70,,1 ,,8,61,3,"1,065",15,940,"14,303"
Mozambique,70,+5, ,,12,58,,2,,"1,575",50
Libya,61,,2 ,,18,41,,9,0.3,"1,461",213
French Polynesia,57,, ,,41,16,1,203,,"2,069","7,365"
Eswatini,56,+20,1 ,,10,45,,48,0.9,714,615
Benin,54,,1 ,,27,26,,4,0.08,,
Guinea-Bissau,52,, ,,3,49,,26,,"1,500",762
Nepal,49,, ,,12,37,,2,,"49,336","1,693"
Chad,46,+6, ,,15,31,,3,,,
Macao,45,, ,,27,18,1,69,,,
Syria,42,,3 ,,11,28,,2,0.2,,
Eritrea,39,, ,,13,26,,11,,,
Saint Martin,38,,3 ,,24,11,3,983,78,,
Mongolia,37,+1, ,,9,28,,11,,"7,292","2,224"
Malawi,33,,3 ,,4,26,1,2,0.2,617,32
Zimbabwe,29,,4 ,,2,23,,2,0.3,"5,450",367
Angola,25,,2 ,,6,17,,0.8,0.06,,
Antigua and Barbuda,24,,3 ,,11,10,1,245,31,113,"1,154"
Timor-Leste,24,, ,,2,22,,18,,322,244
Botswana,22,,1 ,,,21,,9,0.4,"5,023","2,136"
Laos,19,, ,,7,12,,3,,"1,661",228
Belize,18,,2 ,,5,11,1,45,5,816,"2,052"
Fiji,18,, ,,10,8,,20,,900,"1,004"
New Caledonia,18,, ,,17,1,1,63,,"3,952","13,842"
Curaçao,16,,1 ,,11,4,,98,6,304,"1,853"
CAR,16,, ,,10,6,,3,,,
Dominica,16,, ,,10,6,,222,,383,"5,320"
Namibia,16,, ,,7,9,,6,,675,266
Grenada,15,, ,,7,8,4,133,,92,818
Saint Kitts and Nevis,15,, ,,2,13,,282,,260,"4,887"
Saint Lucia,15,, ,,15,0,,82,,364,"1,982"
St. Vincent Grenadines,14,, ,,5,9,,126,,108,973
Falkland Islands,13,+1, ,,11,2,,"3,736",,353,"101,437"
Nicaragua,12,+1,3 ,,7,2,,2,0.5,,
Burundi,11,,1 ,,4,6,,0.9,0.08,284,24
Montserrat,11,,1 ,+1,2,8,1,"2,204",200,36,"7,212"
Turks and Caicos,11,,1 ,,4,6,,284,26,83,"2,144"
Greenland,11,, ,,11,0,,194,,"1,200","21,138"
Seychelles,11,, ,,6,5,,112,,,
Gambia,10,,1 ,,8,1,,4,0.4,401,166
Suriname,10,,1 ,,7,2,,17,2,404,689
MS Zaandam,9,,2 ,,,7,,,,,
Vatican City,9,, ,,2,7,,"11,236",,,
Papua New Guinea,8,, ,,,8,,0.9,,604,68
Mauritania,7,,1 ,,6,0,,2,0.2,"1,032",222
Bhutan,7,, ,,3,4,,9,,"8,953","11,603"
British Virgin Islands,6,+1,1 ,,3,2,,198,33,,
St. Barth,6,, ,,6,0,,607,,,
Western Sahara,6,, ,,5,1,,10,,,
Caribbean Netherlands,5,, ,,,5,,191,,110,"4,195"
South Sudan,5,, ,,,5,,0.4,,,
Sao Tome and Principe,4,, ,,,4,,18,,19,87
Anguilla,3,, ,,1,2,,200,,,
Saint Pierre Miquelon,1,, ,,,1,,173,,,
Yemen,1,, ,,1,0,,0.03,,120,4
