CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
World,"2,908,771","+79,945","202,554","+5,455","832,224","1,873,993","58,181",373,26.0,,
,Europe,,"1,251,740","+26,426","120,084","+2,760","407,049","724,607","25,893",,
,North America,,"1,026,995","+30,658","58,085","+1,890","142,020","826,890","16,360",,
USA,"952,995","+27,763","53,745 ","+1,552","116,015","783,235","15,110","2,879",162,"5,244,371","15,844"
,Asia,,"460,150","+11,934","16,936",+333,"220,128","223,086","6,032",,
Spain,"223,759","+3,995","22,902 ",+378,"95,708","105,149","7,705","4,786",490,"930,230","19,896"
Italy,"195,351","+2,357","26,384 ",+415,"63,120","105,847","2,102","3,231",436,"1,707,743","28,245"
France,"161,488","+1,660","22,614 ",+369,"44,594","94,280","4,725","2,474",346,"463,662","7,103"
Germany,"155,782",+783,"5,843 ",+83,"109,800","40,139","2,908","1,859",70,"2,072,669","24,738"
UK,"148,377","+4,913","20,319 ",+813,N/A,"127,714","1,559","2,186",299,"640,792","9,439"
,South America,,"130,023","+9,857","5,961",+423,"46,347","77,715","9,691",,
Turkey,"107,773","+2,861","2,706 ",+106,"25,582","79,485","1,782","1,278",32,"868,565","10,298"
Iran,"89,328","+1,134","5,650 ",+76,"68,193","15,485","3,096","1,064",67,"410,075","4,882"
China,"82,816",+12,"4,632 ",,"77,346",838,49,58,3,,
Russia,"74,588","+5,966",681 ,+66,"6,250","67,657","2,300",511,5,"2,721,500","18,649"
Brazil,"58,509","+5,514","4,016 ",+346,"27,655","26,838","8,318",275,19,"291,922","1,373"
Belgium,"45,325","+1,032","6,917 ",+238,"10,417","27,991",934,"3,911",597,"189,067","16,313"
Canada,"45,016","+1,128","2,462 ",+160,"16,320","26,234",557,"1,193",65,"669,588","17,741"
Netherlands,"37,190",+655,"4,409 ",+120,N/A,"32,531",959,"2,170",257,"187,000","10,913"
,Africa,,"30,885","+1,045","1,375",+47,"9,477","20,033",155,,
Switzerland,"28,894",+217,"1,599 ",+10,"21,300","5,995",204,"3,339",185,"245,300","28,343"
India,"26,283","+1,836",825 ,+45,"5,939","19,519",,19,0.6,"579,957",420
Peru,"25,331","+3,683",700 ,+66,"7,797","16,834",545,768,21,"218,195","6,618"
Portugal,"23,392",+595,880 ,+26,"1,277","21,235",186,"2,294",86,"330,512","32,414"
Ecuador,"22,719",,576 ,,"1,366","20,777",127,"1,288",33,"56,513","3,203"
Ireland,"18,561",+377,"1,063 ",+49,"9,233","8,265",142,"3,759",215,"127,319","25,785"
Sweden,"18,177",+610,"2,192 ",+40,"1,005","14,980",547,"1,800",217,"94,500","9,357"
Saudi Arabia,"16,299","+1,197",136 ,+9,"2,215","13,948",115,468,4,"200,000","5,745"
Austria,"15,148",+77,536 ,+6,"12,103","2,509",148,"1,682",60,"221,098","24,549"
Israel,"15,148",+90,198 ,+4,"6,159","8,791",130,"1,750",23,"302,691","34,971"
Mexico,"12,872","+1,239","1,221 ",+152,"7,149","4,502",378,100,9,"51,297",398
Chile,"12,858",+552,181 ,+7,"6,746","5,931",418,673,9,"149,212","7,806"
Japan,"12,829",+117,345 ,,"1,530","10,954",263,101,3,"141,600","1,120"
Singapore,"12,693",+618,12 ,,"1,002","11,679",24,"2,170",2,"121,774","20,815"
Pakistan,"12,644",+704,268 ,+15,"2,755","9,621",111,57,1,"138,147",625
Poland,"11,273",+381,524 ,+30,"2,126","8,623",160,298,14,"278,994","7,372"
S. Korea,"10,718",+10,240 ,,"8,635","1,843",55,209,5,"595,161","11,609"
Romania,"10,635",+218,601 ,+34,"2,890","7,144",235,553,31,"126,645","6,583"
UAE,"9,813",+532,71 ,+7,"1,887","7,855",1,992,7,"1,022,326","103,365"
Belarus,"9,590",+817,67 ,+4,"1,573","7,950",92,"1,015",7,"139,295","14,741"
Qatar,"9,358",+833,10 ,,929,"8,419",72,"3,248",3,"79,705","27,665"
Indonesia,"8,607",+396,720 ,+31,"1,042","6,845",,31,3,"67,828",248
Denmark,"8,445",+235,418 ,+15,"5,669","2,358",70,"1,458",72,"136,738","23,607"
,Oceania,,"8,257",+25,98,+2,"6,558","1,601",46,,
Ukraine,"8,125",+478,201 ,+8,782,"7,142",104,186,5,"83,577","1,911"
Serbia,"7,779",+296,151 ,+7,"1,152","6,476",91,890,17,"59,938","6,860"
Norway,"7,493",+30,201 ,+2,32,"7,260",50,"1,382",37,"155,125","28,614"
Czechia,"7,333",+60,218 ,+4,"2,453","4,662",71,685,20,"210,705","19,676"
Philippines,"7,294",+102,494 ,+17,792,"6,008",1,67,5,"81,292",742
Australia,"6,695",+20,80 ,+1,"5,372","1,243",43,263,3,"494,257","19,383"
Dominican Republic,"5,926",+177,273 ,+6,822,"4,831",136,546,25,"21,284","1,962"
Malaysia,"5,742",+51,98 ,+2,"3,762","1,882",36,177,3,"126,970","3,923"
Panama,"5,338",+172,154 ,+8,319,"4,865",87,"1,237",36,"24,304","5,633"
Bangladesh,"4,998",+309,140 ,+9,113,"4,745",1,30,0.9,"43,113",262
Colombia,"4,881",,225 ,,"1,003","3,653",117,96,4,"78,078","1,534"
Finland,"4,475",+80,186 ,+9,"2,500","1,789",60,808,34,"77,800","14,041"
South Africa,"4,361",+141,86 ,+7,"1,473","2,802",36,74,1,"161,004","2,715"
Egypt,"4,319",+227,307 ,+13,"1,114","2,898",,42,3,"90,000",879
Morocco,"3,897",+139,159 ,+1,537,"3,201",1,106,4,"25,443",689
Luxembourg,"3,711",+16,85 ,,"3,088",538,26,"5,928",136,"38,514","61,526"
Argentina,"3,607",,179 ,+3,"1,030","2,398",144,80,4,"47,406","1,049"
Moldova,"3,304",+194,94 ,+10,825,"2,385",212,819,23,"11,763","2,916"
Algeria,"3,256",+129,419 ,+4,"1,479","1,358",40,74,10,"6,500",148
Thailand,"2,907",+53,51 ,+1,"2,547",309,61,42,0.7,"142,589","2,043"
Kuwait,"2,892",+278,19 ,+4,656,"2,217",58,677,4,,
Kazakhstan,"2,601",+185,25 ,,646,"1,930",31,139,1,"180,502","9,613"
Bahrain,"2,588",+70,8 ,,"1,160","1,420",2,"1,521",5,"110,379","64,869"
Greece,"2,506",+16,130 ,,577,"1,799",47,240,12,"63,087","6,053"
Hungary,"2,443",+60,262 ,+12,458,"1,723",61,253,27,"60,801","6,294"
Croatia,"2,016",+7,54 ,+3,"1,034",928,21,491,13,"30,913","7,530"
Oman,"1,905",+115,10 ,,329,"1,566",3,373,2,,
Uzbekistan,"1,862",+58,8 ,,707,"1,147",8,56,0.2,"210,000","6,274"
Iceland,"1,790",+1,10 ,,"1,570",210,4,"5,246",29,"45,971","134,716"
Iraq,"1,763",+55,86 ,,"1,224",453,,44,2,"68,224","1,696"
Armenia,"1,677",+81,28 ,+1,803,846,10,566,9,"17,342","5,852"
Estonia,"1,635",+30,46 ,,228,"1,361",6,"1,233",35,"47,331","35,680"
Azerbaijan,"1,617",+25,21 ,,"1,080",516,15,159,2,"120,479","11,883"
Cameroon,"1,518",+88,53 ,+10,697,768,28,57,2,,
Bosnia and Herzegovina,"1,486",+65,57 ,+2,592,837,4,453,17,"24,676","7,521"
Afghanistan,"1,463",+112,47 ,+4,188,"1,228",7,38,1,"7,425",191
New Zealand,"1,461",+5,18 ,+1,"1,118",325,1,303,4,"115,015","23,851"
Lithuania,"1,426",+16,41 ,+1,460,925,17,524,15,"98,948","36,347"
Slovenia,"1,388",+15,81 ,+1,219,"1,088",23,668,39,"48,179","23,175"
Slovakia,"1,373",+13,17 ,,386,970,7,251,3,"66,089","12,105"
North Macedonia,"1,367",+41,59 ,+2,374,934,14,656,28,"14,758","7,084"
Cuba,"1,337",+52,51 ,+2,437,849,11,118,5,"37,991","3,354"
Ghana,"1,279",,10 ,,134,"1,135",4,41,0.3,"88,188","2,838"
Bulgaria,"1,247",+59,55 ,+1,197,995,37,179,8,"27,000","3,886"
Nigeria,"1,095",,32 ,,208,855,2,5,0.2,"10,061",49
Ivory Coast,"1,077",,14 ,,419,644,,41,0.5,,
Hong Kong,"1,038",+2,4 ,,753,281,4,138,0.5,"145,640","19,426"
Djibouti,"1,008",+9,2 ,,373,633,,"1,020",2,"11,431","11,570"
Guinea,954,,6  ,,191,757,,73,0.5,,
Tunisia,939,+17,38 ,,207,694,19,79,3,"20,408","1,727"
Cyprus,810,+6,14 ,,148,648,15,671,12,"43,542","36,064"
Bolivia,807,+104,44 ,+1,54,709,3,69,4,"4,995",428
