,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
0,Afghanistan,2704,235,85,13,345,2274,7,69,2,11068,284
1,Albania,795,6,31,0,531,233,7,276,11,8866,3081
2,Algeria,4295,0,459,0,1872,1964,22,98,10,6500,148
3,Andorra,747,0,44,0,472,231,17,9668,569,1673,21653
4,Angola,35,0,2,0,11,22,0,1,0.06,481,15
5,Anguilla,3,0,0,0,3,0,0,200,0,0,0
6,AntiguaandBarbuda,25,0,3,0,15,7,1,255,31,151,1542
7,Argentina,4681,0,241,4,1354,3086,157,104,5,65813,1456
8,Armenia,2386,113,35,2,1035,1316,10,805,12,24177,8159
9,Aruba,100,0,2,0,81,17,4,937,19,1731,16213
10,Australia,6801,20,95,2,5817,889,29,267,4,633107,24828
11,Austria,15597,39,598,2,13228,1771,114,1732,66,274355,30462
12,Azerbaijan,1932,38,25,0,1441,466,17,191,2,157932,15576
13,Bahamas,83,0,11,0,24,48,1,211,28,1353,3441
14,Bahrain,3356,72,8,0,1717,1631,1,1972,5,143030,84057
15,Bangladesh,9455,665,177,2,177,9101,1,57,1,81434,494
16,Barbados,81,0,7,0,44,30,4,282,24,2369,8244
17,Belarus,16705,877,99,2,3196,13410,92,1768,10,204239,21614
18,Belgium,49906,389,7844,79,12309,29753,674,4306,677,266752,23016
19,Belize,18,0,2,0,13,3,1,45,5,1043,2623
20,Benin,90,0,2,0,42,46,0,7,0.2,0,0
21,Bermuda,114,0,7,0,51,56,4,1831,112,2819,45265
22,Bhutan,7,0,0,0,5,2,0,9,0,10761,13946
23,Bolivia,1470,241,71,5,159,1240,3,126,6,7651,655
24,BosniaandHerzegovina,1857,18,77,5,825,955,4,566,23,33928,10341
25,Botswana,23,0,1,0,8,14,0,10,0.4,7675,3264
26,Brazil,97100,541,6761,11,40937,49402,8318,457,32,339552,1597
27,BritishVirginIslands,6,0,1,0,3,2,0,198,33,0,0
28,Brunei,138,0,1,0,128,9,2,315,2,14262,32600
29,Bulgaria,1611,17,72,0,308,1231,40,232,10,47636,6856
30,BurkinaFaso,652,0,44,0,535,73,0,31,2,0,0
31,Burundi,15,0,1,0,7,7,0,1,0.08,284,24
32,CAR,72,0,0,0,10,62,0,15,0,0,0
33,CaboVerde,152,0,2,0,18,132,0,273,4,791,1423
34,Cambodia,122,0,0,0,120,2,1,7,0,12304,736
35,Cameroon,2077,0,64,0,953,1060,12,78,2,0,0
36,Canada,56714,0,3566,0,23801,29347,557,1503,94,832222,22050
37,CaribbeanNetherlands,6,0,0,0,0,6,0,229,0,110,4195
38,CaymanIslands,74,0,1,0,10,63,3,1126,15,1927,29320
39,Chad,117,0,10,0,39,68,0,7,0.6,0,0
40,ChannelIslands,543,0,41,0,406,96,0,3123,236,5342,30725
41,Chile,18435,0,247,0,9572,8616,425,964,13,199400,10431
42,China,82877,2,4633,0,77713,531,34,58,3,0,0
43,Colombia,7285,0,324,0,1666,5295,118,143,6,114602,2252
44,Comoros,3,0,0,0,0,3,0,3,0,0,0
45,Congo,229,0,9,0,25,195,0,41,2,0,0
46,CostaRica,733,0,6,0,372,355,6,144,1,13632,2676
47,Croatia,2096,8,79,2,1489,528,15,511,19,38084,9277
48,Cuba,1611,0,66,0,765,780,10,142,6,51506,4547
49,Curaçao,16,0,1,0,13,2,0,98,6,351,2139
50,Cyprus,864,0,15,0,296,553,15,716,12,62267,51573
51,Czechia,7755,0,245,0,3471,4039,62,724,23,257678,24062
52,DRC,674,0,33,0,75,566,0,8,0.4,0,0
53,Denmark,9523,116,484,9,6987,2052,62,1644,84,233799,40364
54,DiamondPrincess,712,0,13,0,645,54,4,0,0,0,0
