,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
159,Rwanda,147,0, ,0,76,71,0,11,0,"6,959",537
160,Réunion,408,0, ,0,237,171,4,456,0,0,0
161,S. Korea,"10,674",+13,236 ,+2,"8,114","2,324",55,208,5,"563,035","10,982"
162,Saint Kitts and Nevis,15,+1, ,0,0,15,0,282,0,247,"4,643"
163,Saint Lucia,15,0, ,0,13,2,0,82,0,344,"1,873"
164,Saint Martin,37,0,2 ,0,19,16,5,957,52,0,0
165,Saint Pierre Miquelon,1,0, ,0,0,1,0,173,0,0,0
166,San Marino,462,+1,39 ,0,61,362,4,"13,616","1,149","1,726","50,868"
167,Sao Tome and Principe,4,0, ,0,0,4,0,18,0,19,87
168,Saudi Arabia,"10,484","+1,122",103 ,+6,"1,490","8,891",88,301,3,"180,000","5,170"
169,Senegal,377,+10,5 ,+2,235,137,1,23,0.3,0,0
170,Serbia,"6,630",+312,125 ,+3,870,"5,635",108,759,14,"41,812","4,785"
171,Seychelles,11,0, ,0,5,6,0,112,0,0,0
172,Sierra Leone,43,+8, ,0,6,37,0,5,0,0,0
173,Singapore,"8,014","+1,426",11 ,0,801,"7,202",23,"1,370",2,"94,796","16,203"
174,Sint Maarten,67,0,10 ,0,12,45,6,"1,563",233,163,"3,802"
175,Slovakia,"1,173",+12,13 ,+1,251,909,8,215,2,"46,734","8,560"
176,Slovenia,"1,335",+5,77 ,+3,193,"1,065",26,642,37,"41,802","20,107"
177,Somalia,164,0,7 ,0,3,154,2,10,0.4,0,0
178,South Africa,"3,300",+142,58 ,+4,"1,055","2,187",36,56,1.0,"121,510","2,049"
179,South Sudan,4,0, ,0,0,4,0,0.4,0,0,0
180,Spain,"200,210","+1,536","20,852 ",+399,"80,587","98,771","7,371","4,282",446,"930,230","19,896"
181,Sri Lanka,304,+33,7 ,0,98,199,1,14,0.3,"6,463",302
182,St. Barth,6,0, ,0,5,1,0,607,0,0,0
183,St. Vincent Grenadines,12,0, ,0,1,11,0,108,0,87,784
184,Sudan,92,+26,12 ,+2,8,72,0,2,0.3,0,0
185,Suriname,10,0,1 ,0,6,3,0,17,2,0,0
186,Sweden,"14,777",+392,"1,580 ",+40,550,"12,647",521,"1,463",156,"74,600","7,387"
187,Switzerland,"27,944",+204,"1,429 ",+36,"18,600","7,915",386,"3,229",165,"224,442","25,933"
188,Syria,39,0,3 ,0,5,31,0,2,0.2,0,0
189,Taiwan,422,+2,6 ,0,203,213,0,18,0.3,"53,632","2,252"
190,Tanzania,254,+84,10 ,+3,11,233,4,4,0.2,0,0
191,Thailand,"2,792",+27,47 ,0,"1,999",746,61,40,0.7,"142,589","2,043"
192,Timor-Leste,22,+3, ,0,1,21,0,17,0,0,0
193,Togo,84,0,6 ,+1,53,25,0,10,0.7,"4,381",529
194,Trinidad and Tobago,114,0,8 ,0,21,85,0,81,6,"1,335",954
195,Tunisia,884,+5,38 ,0,148,698,34,75,3,"17,287","1,463"
196,Turkey,"90,980","+4,674","2,140 ",+123,"13,430","75,410","1,909","1,079",25,"673,980","7,991"
197,Turks and Caicos,11,0,1 ,0,0,10,0,284,26,83,"2,144"
198,UAE,"7,265",+484,43 ,+2,"1,360","5,862",1,735,4,"767,000","77,550"
199,UK,"124,743","+4,676","16,509 ",+449,0,"107,890","1,559","1,838",243,"501,379","7,386"
200,Uganda,55,0, ,0,38,17,0,1,0,"12,565",275
201,Ukraine,"5,710",+261,151 ,+10,359,"5,200",45,131,3,"58,093","1,328"
202,Uruguay,528,+11,10 ,0,298,220,13,152,3,"13,207","3,802"
203,Uzbekistan,"1,627",+62,5 ,0,261,"1,361",8,49,0.1,"136,000","4,063"
204,Vatican City,8,0, ,0,2,6,0,"9,988",0,0,0
205,Venezuela,256,0,9 ,0,117,130,4,9,0.3,"336,169","11,822"
206,Vietnam,268,0, ,0,214,54,8,3,0,"206,253","2,119"
207,Western Sahara,6,0, ,0,0,6,0,10,0,0,0
208,Yemen,1,0, ,0,0,1,0,0.03,0,0,0
209,Zambia,65,+4,3 ,0,35,27,1,4,0.2,"2,586",141
210,Zimbabwe,25,0,3 ,0,2,20,0,2,0.2,"2,851",192
