CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
World,"3,507,789","+26,440","245,258",+595,"1,130,162","2,132,369","50,607",450,31.5,,
,Europe,,"1,438,691","+14,327","139,713",+303,"535,829","763,149","17,472",,
,North America,,"1,262,160","+3,558","73,937",+157,"215,489","972,734","17,719",,
USA,"1,162,383","+1,609","67,505 ",+61,"173,910","920,968","16,475","3,512",204,"6,938,845","20,963"
,Asia,,"553,349","+7,539","19,451",+112,"287,054","246,844","5,389",,
Spain,"245,567",,"25,100 ",,"146,233","74,234","2,386","5,252",537,"1,528,833","32,699"
Italy,"209,328",,"28,710 ",,"79,914","100,704","1,539","3,462",475,"2,108,837","34,879"
,South America,,"200,569",+819,"10,263",+20,"69,102","121,204","9,862",,
UK,"182,260",,"28,131 ",,N/A,"153,785","1,559","2,685",414,"1,129,907","16,644"
France,"168,396",,"24,760 ",,"50,562","93,074","3,827","2,580",379,"1,100,228","16,856"
Germany,"165,016",+49,"6,812 ",,"130,600","27,604","2,105","1,970",81,"2,547,052","30,400"
Russia,"134,687","+10,633","1,280 ",+58,"16,639","116,768","2,300",923,9,"4,100,000","28,095"
Turkey,"124,375",,"3,336 ",,"58,259","62,780","1,445","1,475",40,"1,111,366","13,177"
Iran,"97,424",+976,"6,203 ",+47,"78,422","12,799","2,690","1,160",74,"496,273","5,909"
Brazil,"97,100",+541,"6,761 ",+11,"40,937","49,402","8,318",457,32,"339,552","1,597"
China,"82,877",+2,"4,633 ",,"77,713",531,34,58,3,,
Canada,"56,714",,"3,566 ",,"23,801","29,347",557,"1,503",94,"832,222","22,050"
Belgium,"49,906",+389,"7,844 ",+79,"12,309","29,753",674,"4,306",677,"266,752","23,016"
,Africa,,"43,909",+175,"1,764",+1,"14,878","27,267",130,,
Peru,"42,534",,"1,200 ",,"12,434","28,900",671,"1,290",36,"355,604","10,785"
Netherlands,"40,571",+335,"5,056 ",+69,N/A,"35,265",708,"2,368",295,"225,899","13,184"
India,"40,263",+564,"1,323 ",,"10,886","28,054",,29,1.0,"1,046,450",758
Switzerland,"29,905",+88,"1,762 ",,"24,200","3,943",141,"3,455",204,"280,220","32,378"
Ecuador,"27,464",,"1,371 ",,"2,132","23,961",149,"1,557",78,"73,929","4,190"
Saudi Arabia,"27,011","+1,552",184 ,+8,"4,134","22,693",139,776,5,"352,555","10,127"
Portugal,"25,190",,"1,023 ",,"1,671","22,496",150,"2,470",100,"426,836","41,860"
Sweden,"22,317",+235,"2,679 ",+10,"1,005","18,633",403,"2,210",265,"119,500","11,833"
Mexico,"22,088","+1,349","2,061 ",+89,"13,447","6,580",378,171,16,"91,188",707
Ireland,"21,176",,"1,286 ",,"13,386","6,504",99,"4,289",260,"169,377","34,302"
Pakistan,"19,103",+81,440 ,+3,"4,817","13,846",111,86,2,"203,025",919
Chile,"18,435",,247 ,,"9,572","8,616",425,964,13,"199,400","10,431"
Singapore,"18,205",+657,17 ,,"1,347","16,841",24,"3,112",3,"143,919","24,600"
Belarus,"16,705",+877,99 ,+2,"3,196","13,410",92,"1,768",10,"204,239","21,614"
Israel,"16,193",+8,230 ,+1,"9,634","6,329",103,"1,871",27,"397,046","45,872"
Austria,"15,597",+39,598 ,+2,"13,228","1,771",114,"1,732",66,"274,355","30,462"
Qatar,"15,551",+679,12 ,,"1,664","13,875",72,"5,398",4,"104,435","36,249"
Japan,"14,571",,474 ,,"3,205","10,892",324,115,4,"181,527","1,435"
UAE,"14,163",+564,126 ,+7,"2,763","11,274",1,"1,432",13,"1,200,000","121,330"
Poland,"13,693",+318,678 ,+14,"3,945","9,070",160,362,18,"375,948","9,933"
Romania,"13,163",+431,790 ,+19,"4,869","7,504",255,684,41,"195,508","10,163"
Ukraine,"11,913",+502,288 ,+9,"1,548","10,077",158,272,7,"129,723","2,966"
Indonesia,"11,192",+349,845 ,+14,"1,876","8,471",,41,3,"112,965",413
S. Korea,"10,793",+13,250 ,,"9,183","1,360",55,211,5,"630,973","12,307"
Denmark,"9,523",+116,484 ,+9,"6,987","2,052",62,"1,644",84,"233,799","40,364"
Serbia,"9,464",+102,193 ,+4,"1,551","7,720",54,"1,083",22,"101,911","11,664"
Bangladesh,"9,455",+665,177 ,+2,177,"9,101",1,57,1,"81,434",494
Philippines,"9,223",+295,607 ,+4,"1,214","7,402",31,84,6,"120,736","1,102"
,Oceania,,"8,390",+22,115,+2,"7,165","1,110",31,,
Norway,"7,809",,211 ,,32,"7,566",37,"1,440",39,"172,586","31,835"
Czechia,"7,755",,245 ,,"3,471","4,039",62,724,23,"257,678","24,062"
Dominican Republic,"7,578",,326 ,,"1,481","5,771",144,699,30,"30,102","2,775"
Colombia,"7,285",,324 ,,"1,666","5,295",118,143,6,"114,602","2,252"
Panama,"7,090",+370,197 ,+5,641,"6,252",85,"1,643",46,"31,895","7,392"
Australia,"6,801",+20,95 ,+2,"5,817",889,29,267,4,"633,107","24,828"
South Africa,"6,336",,123 ,,"2,549","3,664",36,107,2,"230,686","3,890"
Malaysia,"6,298",+122,105 ,+2,"4,413","1,780",27,195,3,"195,833","6,051"
Egypt,"6,193",,415 ,,"1,522","4,256",,61,4,"90,000",879
Finland,"5,254",+78,230 ,+10,"3,000","2,024",49,948,42,"102,300","18,463"
Kuwait,"4,983",+364,38 ,+5,"1,776","3,169",72,"1,167",9,"179,000","41,915"
Morocco,"4,880",+151,174 ,+1,"1,424","3,282",1,132,5,"40,961","1,110"
Argentina,"4,681",,241 ,+4,"1,354","3,086",157,104,5,"65,813","1,456"
Algeria,"4,295",,459 ,,"1,872","1,964",22,98,10,"6,500",148
Moldova,"4,052",,124 ,,"1,334","2,594",237,"1,004",31,"11,763","2,916"
Kazakhstan,"3,877",+20,25 ,,995,"2,857",40,206,1,"282,862","15,065"
Luxembourg,"3,812",,92 ,,"3,318",402,23,"6,090",147,"47,460","75,817"
Bahrain,"3,356",+72,8 ,,"1,717","1,631",1,"1,972",5,"143,030","84,057"
Hungary,"2,998",+56,340 ,+5,629,"2,029",51,310,35,"82,010","8,489"
Thailand,"2,969",+3,54 ,,"2,739",176,61,43,0.8,"178,083","2,551"
Afghanistan,"2,704",+235,85 ,+13,345,"2,274",7,69,2,"11,068",284
Greece,"2,620",,143 ,,"1,374","1,103",37,251,14,"78,207","7,503"
Oman,"2,568",+85,12 ,,750,"1,806",17,503,2,"40,459","7,923"
Nigeria,"2,388",,85 ,,385,"1,918",2,12,0.4,"16,588",80
Armenia,"2,386",+113,35 ,+2,"1,035","1,316",10,805,12,"24,177","8,159"
Iraq,"2,219",,95 ,,"1,473",651,,55,2,"98,253","2,443"
Ghana,"2,169",,18 ,,229,"1,922",4,70,0.6,"117,049","3,767"
Uzbekistan,"2,136",+18,10 ,+1,"1,308",818,8,64,0.3,"242,536","7,247"
Croatia,"2,096",+8,79 ,+2,"1,489",528,15,511,19,"38,084","9,277"
Cameroon,"2,077",,64 ,,953,"1,060",12,78,2,,
Azerbaijan,"1,932",+38,25 ,,"1,441",466,17,191,2,"157,932","15,576"
Bosnia and Herzegovina,"1,857",+18,77 ,+5,825,955,4,566,23,"33,928","10,341"
Iceland,"1,798",,10 ,,"1,706",82,,"5,269",29,"50,002","146,529"
Estonia,"1,700",+1,55 ,+2,259,"1,386",7,"1,282",41,"55,206","41,617"
Bulgaria,"1,611",+17,72 ,,308,"1,231",40,232,10,"47,636","6,856"
Cuba,"1,611",,66 ,,765,780,10,142,6,"51,506","4,547"
Guinea,"1,586",,7 ,,405,"1,174",,121,0.5,,
North Macedonia,"1,511",+5,84 ,+2,945,482,21,725,40,"17,246","8,278"
New Zealand,"1,487",+2,20 ,,"1,266",201,,308,4,"150,223","31,152"
Bolivia,"1,470",+241,71 ,+5,159,"1,240",3,126,6,"7,651",655
Slovenia,"1,439",,96 ,+2,241,"1,102",21,692,46,"55,520","26,706"
Lithuania,"1,410",+4,46 ,,635,729,17,518,17,"141,678","52,044"
Slovakia,"1,408",+1,24 ,,619,765,7,258,4,"96,220","17,624"
Ivory Coast,"1,362",,15 ,,622,725,,52,0.6,"10,508",398
Senegal,"1,115",,9 ,,368,738,4,67,0.5,466,28
Djibouti,"1,112",,2 ,,686,424,,"1,126",2,"13,856","14,024"
Hong Kong,"1,040",,4 ,,879,157,3,139,0.5,"154,989","20,674"
Honduras,"1,010",+111,76 ,+1,116,818,10,102,8,"4,669",471
Tunisia,"1,009",,42 ,,323,644,25,85,4,"24,055","2,035"
Latvia,879,+8,16 ,,348,515,4,466,8,"64,245","34,061"
Cyprus,864,,15 ,,296,553,15,716,12,"62,267","51,573"
Albania,795,+6,31 ,,531,233,7,276,11,"8,866","3,081"
Kyrgyzstan,795,+26,10 ,+2,564,221,12,122,2,"51,472","7,889"
Andorra,747,,44 ,,472,231,17,"9,668",569,"1,673","21,653"
Lebanon,737,+4,25 ,,200,512,43,108,4,"39,238","5,749"
Niger,736,,35 ,,507,194,,30,1,"5,271",218
Costa Rica,733,,6 ,,372,355,6,144,1,"13,632","2,676"
,,,721,,15,,645,61,4,,
Diamond Princess,712,,13 ,,645,54,4,,,,
Sri Lanka,706,+4,7 ,,182,517,1,33,0.3,"25,206","1,177"
Guatemala,688,+44,17 ,+1,72,599,5,38,0.9,"7,200",402
DRC,674,,33 ,,75,566,,8,0.4,,
Somalia,671,,31 ,,34,606,2,42,2,,
Burkina Faso,652,,44 ,,535,73,,31,2,,
Uruguay,652,,17 ,,440,195,10,188,5,"21,164","6,093"
Sudan,592,,41 ,,52,499,,14,0.9,,
Georgia,589,+7,9 ,+1,221,359,6,148,2,"15,904","3,987"
