,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
0,Afghanistan,1463,112,47,4,188,1228,7,38,1,7425,191
1,Albania,712,34,27,0,403,282,4,247,9,7015,2438
2,Algeria,3256,129,419,4,1479,1358,40,74,10,6500,148
3,Andorra,731,0,40,0,344,347,17,9461,518,1673,21653
4,Angola,25,0,2,0,6,17,0,0.8,0.06,0,0
5,Anguilla,3,0,0,0,1,2,0,200,0,0,0
6,AntiguaandBarbuda,24,0,3,0,11,10,1,245,31,113,1154
7,Argentina,3607,0,179,3,1030,2398,144,80,4,47406,1049
8,Armenia,1677,81,28,1,803,846,10,566,9,17342,5852
9,Aruba,100,0,2,0,69,29,4,937,19,1577,14771
10,Australia,6695,20,80,1,5372,1243,43,263,3,494257,19383
11,Austria,15148,77,536,6,12103,2509,148,1682,60,221098,24549
12,Azerbaijan,1617,25,21,0,1080,516,15,159,2,120479,11883
13,Bahamas,73,0,11,0,15,47,1,186,28,0,0
14,Bahrain,2588,70,8,0,1160,1420,2,1521,5,110379,64869
15,Bangladesh,4998,309,140,9,113,4745,1,30,0.9,43113,262
16,Barbados,77,0,6,0,31,40,4,268,21,1327,4618
17,Belarus,9590,817,67,4,1573,7950,92,1015,7,139295,14741
18,Belgium,45325,1032,6917,238,10417,27991,934,3911,597,189067,16313
19,Belize,18,0,2,0,5,11,1,45,5,816,2052
20,Benin,54,0,1,0,27,26,0,4,0.08,0,0
21,Bermuda,99,0,5,0,39,55,10,1590,80,949,15238
22,Bhutan,7,0,0,0,3,4,0,9,0,8953,11603
23,Bolivia,807,104,44,1,54,709,3,69,4,4995,428
24,BosniaandHerzegovina,1486,65,57,2,592,837,4,453,17,24676,7521
25,Botswana,22,0,1,0,0,21,0,9,0.4,5023,2136
26,Brazil,58509,5514,4016,346,27655,26838,8318,275,19,291922,1373
27,BritishVirginIslands,6,1,1,0,3,2,0,198,33,0,0
28,Brunei,138,0,1,0,121,16,2,315,2,12886,29455
29,Bulgaria,1247,59,55,1,197,995,37,179,8,27000,3886
30,BurkinaFaso,629,0,41,0,425,163,0,30,2,0,0
31,Burundi,11,0,1,0,4,6,0,0.9,0.08,284,24
32,CAR,16,0,0,0,10,6,0,3,0,0,0
33,CaboVerde,90,2,1,0,1,88,0,162,2,791,1423
34,Cambodia,122,0,0,0,117,5,1,7,0,5768,345
35,Cameroon,1518,88,53,10,697,768,28,57,2,0,0
36,Canada,45016,1128,2462,160,16320,26234,557,1193,65,669588,17741
37,CaribbeanNetherlands,5,0,0,0,0,5,0,191,0,110,4195
38,CaymanIslands,70,0,1,0,8,61,3,1065,15,940,14303
39,Chad,46,6,0,0,15,31,0,3,0,0,0
40,ChannelIslands,525,2,35,1,332,158,0,3020,201,3320,19095
41,Chile,12858,552,181,7,6746,5931,418,673,9,149212,7806
42,China,82816,12,4632,0,77346,838,49,58,3,0,0
43,Colombia,4881,0,225,0,1003,3653,117,96,4,78078,1534
44,Congo,200,0,6,0,19,175,0,36,1,0,0
45,CostaRica,693,6,6,0,242,445,7,136,1,12467,2447
46,Croatia,2016,7,54,3,1034,928,21,491,13,30913,7530
47,Cuba,1337,52,51,2,437,849,11,118,5,37991,3354
48,Curaçao,16,0,1,0,11,4,0,98,6,304,1853
49,Cyprus,810,6,14,0,148,648,15,671,12,43542,36064
50,Czechia,7333,60,218,4,2453,4662,71,685,20,210705,19676
51,DRC,416,22,28,3,49,339,0,5,0.3,0,0
52,Denmark,8445,235,418,15,5669,2358,70,1458,72,136738,23607
53,DiamondPrincess,712,0,13,0,645,54,4,0,0,0,0
54,Djibouti,1008,9,2,0,373,633,0,1020,2,11431,11570
55,Dominica,16,0,0,0,10,6,0,222,0,383,5320
56,DominicanRepublic,5926,177,273,6,822,4831,136,546,25,21284,1962
57,Ecuador,22719,0,576,0,1366,20777,127,1288,33,56513,3203
58,Egypt,4319,227,307,13,1114,2898,0,42,3,90000,879
59,ElSalvador,274,13,8,0,75,191,2,42,1,17423,2686
60,EquatorialGuinea,214,0,1,0,7,206,0,153,0.7,854,609
61,Eritrea,39,0,0,0,13,26,0,11,0,0,0
