CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
World,"3,687,676","+44,405","255,138","+2,897","1,220,630","2,211,908","49,495",473,32.7,,
,Europe,,"1,492,030","+22,119","143,744","+1,601","566,925","781,361","16,806",,
,North America,,"1,327,286","+8,249","77,775","+1,001","236,108","1,013,403","17,302",,
USA,"1,218,638","+5,803","70,727 ",+806,"188,778","959,133","16,055","3,682",214,"7,535,605","22,766"
,Asia,,"583,885","+11,046","20,300",+222,"314,265","249,320","5,281",,
Spain,"250,561","+2,260","25,613 ",+185,"154,718","70,230","2,254","5,359",548,"1,932,455","41,332"
,South America,,"226,111","+1,837","11,303",+35,"78,692","136,116","9,944",,
Italy,"213,013","+1,075","29,315 ",+236,"85,231","98,467","1,427","3,523",485,"2,246,666","37,158"
UK,"194,990","+4,406","29,427 ",+693,N/A,"165,219","1,559","2,872",433,"1,291,591","19,026"
France,"169,462",,"25,201 ",,"51,371","92,890","3,696","2,596",386,"1,100,228","16,856"
Germany,"166,424",+272,"6,993 ",,"135,100","24,331","1,949","1,986",83,"2,547,052","30,400"
Russia,"155,370","+10,102","1,451 ",+95,"19,865","134,054","2,300","1,065",10,"4,460,357","30,564"
Turkey,"129,491","+1,832","3,520 ",+59,"73,285","52,686","1,338","1,535",42,"1,204,421","14,281"
Brazil,"108,620",+354,"7,367 ",+24,"45,815","55,438","8,318",511,35,"339,552","1,597"
Iran,"99,970","+1,323","6,340 ",+63,"80,475","13,155","2,685","1,190",75,"519,543","6,186"
China,"82,881",+1,"4,633 ",,"77,853",395,29,58,3,,
Canada,"61,165",+393,"3,918 ",+64,"26,305","30,942",557,"1,621",104,"919,368","24,359"
Belgium,"50,509",+242,"8,016 ",+92,"12,441","30,052",646,"4,358",692,"456,194","39,362"
,Africa,,"49,206","+1,131","1,885",+37,"16,712","30,609",129,,
Peru,"47,372",,"1,344 ",,"14,427","31,601",694,"1,437",41,"385,492","11,692"
India,"46,476",+39,"1,571 ",+5,"12,849","32,056",,34,1,"1,191,946",864
Netherlands,"41,087",+317,"5,168 ",+86,N/A,"35,669",644,"2,398",302,"235,909","13,768"
Ecuador,"31,881",,"1,569 ",,"3,433","26,879",159,"1,807",89,"80,171","4,544"
Saudi Arabia,"30,251","+1,595",200 ,+9,"5,431","24,620",143,869,6,"376,607","10,818"
Switzerland,"30,009",+28,"1,790 ",+6,"25,200","3,019",141,"3,467",207,"286,403","33,092"
