,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
0,Afghanistan,1828,125,58,1,228,1542,7,47,1,9000,231
1,Albania,750,14,30,2,431,289,4,261,10,7758,2696
2,Algeria,3649,132,437,5,1651,1561,40,83,10,6500,148
3,Andorra,743,0,40,0,385,318,17,9616,518,1673,21653
4,Angola,27,0,2,0,6,19,0,0.8,0.06,0,0
5,Anguilla,3,0,0,0,3,0,0,200,0,0,0
6,AntiguaandBarbuda,24,0,3,0,11,10,1,245,31,113,1154
7,Argentina,4003,0,197,0,1140,2666,144,89,4,51900,1148
8,Armenia,1867,59,30,1,866,971,10,630,10,19296,6512
9,Aruba,100,0,2,0,73,25,4,937,19,1626,15230
10,Australia,6731,11,84,1,5626,1021,42,264,3,530679,20811
11,Austria,15357,83,569,20,12580,2208,140,1705,63,239578,26601
12,Azerbaijan,1717,39,22,0,1221,474,15,169,2,132640,13082
13,Bahamas,80,0,11,0,22,47,1,203,28,0,0
14,Bahrain,2810,87,8,0,1246,1556,2,1651,5,121260,71263
15,Bangladesh,6462,549,155,3,139,6168,1,39,0.9,54733,332
16,Barbados,80,0,6,0,39,35,4,278,21,1751,6093
17,Belarus,12208,919,79,4,1993,10136,92,1292,8,161028,17041
18,Belgium,47334,647,7331,124,10943,29060,876,4084,633,220204,19000
19,Belize,18,0,2,0,6,10,1,45,5,936,2354
20,Benin,64,0,1,0,33,30,0,5,0.08,0,0
21,Bermuda,110,0,6,0,44,60,10,1766,96,1682,27008
22,Bhutan,7,0,0,0,5,2,0,9,0,9865,12785
23,Bolivia,1014,64,53,3,98,863,3,87,5,5791,496
24,BosniaandHerzegovina,1585,20,63,3,682,840,4,483,19,27603,8413
25,Botswana,22,0,1,0,0,21,0,9,0.4,6016,2558
26,Brazil,67446,945,4603,60,31142,31701,8318,317,22,339552,1597
27,BritishVirginIslands,6,0,1,0,3,2,0,198,33,0,0
28,Brunei,138,0,1,0,124,13,2,315,2,13149,30056
29,Bulgaria,1399,36,58,0,222,1119,39,201,8,27000,3886
30,BurkinaFaso,635,0,42,0,469,124,0,30,2,0,0
31,Burundi,11,0,1,0,4,6,0,0.9,0.08,284,24
32,CAR,50,0,0,0,10,40,0,10,0,0,0
33,CaboVerde,114,5,1,0,2,111,0,205,2,791,1423
34,Cambodia,122,0,0,0,119,3,1,7,0,11721,701
35,Cameroon,1705,0,58,0,805,842,12,64,2,0,0
36,Canada,49025,525,2766,59,18268,27991,557,1299,73,740859,19629
37,CaribbeanNetherlands,5,0,0,0,0,5,0,191,0,110,4195
38,CaymanIslands,70,0,1,0,10,59,3,1065,15,1148,17468
39,Chad,46,0,0,0,15,31,0,3,0,0,0
40,ChannelIslands,530,5,36,1,352,142,0,3048,207,5342,30725
41,Chile,14365,552,207,9,7710,6448,426,751,11,166165,8692
42,China,82836,6,4633,0,77555,648,50,58,3,0,0
43,Colombia,5597,0,253,0,1210,4134,118,110,5,90899,1786
44,Congo,207,0,8,0,19,180,0,38,1,0,0
45,CostaRica,697,0,6,0,287,404,8,137,1,12670,2487
46,Croatia,2047,8,63,4,1232,752,21,499,15,33577,8179
47,Cuba,1437,48,58,2,575,804,12,127,5,43508,3841
48,Curaçao,16,0,1,0,11,4,0,98,6,304,1853
49,Cyprus,837,15,15,0,148,674,15,693,12,50220,41595
50,Czechia,7449,4,223,0,2842,4384,73,696,21,226255,21128
51,DRC,471,12,30,2,56,385,0,5,0.3,0,0
52,Denmark,8851,153,434,7,6121,2296,66,1528,75,166846,28805
53,DiamondPrincess,712,0,13,0,645,54,4,0,0,0,0
54,Djibouti,1035,0,2,0,477,556,0,1048,2,12250,12399
55,Dominica,16,0,0,0,13,3,0,222,0,383,5320
56,DominicanRepublic,6293,0,282,0,993,5018,144,580,26,22498,2074
57,Ecuador,23240,0,663,0,1557,21020,146,1317,38,61529,3487
58,Egypt,4782,0,337,0,1236,3209,0,47,3,90000,879
59,ElSalvador,345,22,8,0,97,240,4,53,1,21364,3294
60,EquatorialGuinea,258,0,1,0,9,248,0,184,0.7,854,609
61,Eritrea,39,0,0,0,13,26,0,11,0,0,0
62,Estonia,1660,13,50,0,240,1370,9,1251,38,49527,37336
63,Eswatini,71,6,1,0,10,60,0,61,0.9,714,615
64,Ethiopia,126,2,3,0,50,73,0,1,0.03,15668,136
65,FaeroeIslands,187,0,0,0,181,6,0,3827,0,6730,137732
66,FalklandIslands,13,0,0,0,11,2,0,3736,0,353,101437
67,Fiji,18,0,0,0,12,6,0,20,0,1007,1123
68,Finland,4740,45,199,6,2800,1741,56,855,36,85800,15485
69,France,165842,0,23293,0,45513,97036,4608,2541,357,463662,7103
70,FrenchGuiana,124,13,1,0,91,32,0,415,3,0,0
71,FrenchPolynesia,58,0,0,0,49,9,1,206,0,2315,8241
72,Gabon,211,0,3,0,43,165,1,95,1,724,325
73,Gambia,10,0,1,0,8,1,0,4,0.4,401,166
74,Georgia,511,14,6,0,156,349,6,128,2,11504,2884
75,Germany,159038,280,6161,35,117400,35477,2409,1898,74,2072669,24738
76,Ghana,1550,0,11,0,155,1384,4,50,0.4,100622,3238
77,Gibraltar,141,0,0,0,131,10,0,4185,0,2198,65240
78,Greece,2534,0,136,0,577,1821,43,243,13,66094,6341
79,Greenland,11,0,0,0,11,0,0,194,0,1200,21138
80,Grenada,18,0,0,0,7,11,4,160,0,175,1555
81,Guadeloupe,149,0,12,0,82,55,11,372,30,0,0
82,Guatemala,530,30,15,0,49,466,5,30,0.8,7200,402
83,Guinea,1163,0,7,0,246,910,0,89,0.5,0,0
84,Guinea-Bissau,73,0,1,0,18,54,0,37,0.5,1500,762
85,Guyana,74,0,8,0,15,51,5,94,10,464,590
86,Haiti,76,2,6,0,8,62,0,7,0.5,776,68
87,Honduras,702,41,64,3,79,559,10,71,6,3643,368
88,HongKong,1038,0,4,0,811,223,4,138,0.5,145640,19426
89,Hungary,2649,66,291,11,516,1842,49,274,30,67172,6953
90,Iceland,1795,3,10,0,1624,161,1,5260,29,46377,135906
91,India,29451,0,939,0,7137,21375,0,21,0.7,716733,519
92,Indonesia,9511,415,773,8,1254,7484,0,35,3,79618,291
93,Iran,92584,1112,5877,71,72439,14268,2983,1102,70,442590,5269
94,Iraq,1847,0,88,0,1286,473,0,46,2,73782,1834
95,Ireland,19648,0,1102,0,9233,9313,146,3979,223,127319,25785
96,IsleofMan,308,0,20,0,248,40,22,3622,235,2903,34140
97,Israel,15589,34,208,4,7375,8006,117,1801,24,302691,34971
