CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
World,"2,940,260","+20,856","203,808",+644,"841,966","1,894,486","57,658",377,26.1,,
,Europe,,"1,263,704","+11,207","120,520",+402,"409,200","733,984","25,371",,
,North America,,"1,036,549","+1,535","58,703",+104,"144,325","833,521","16,361",,
USA,"960,896",+245,"54,265 ",+9,"118,162","788,469","15,110","2,903",164,"5,279,237","15,949"
,Asia,,"467,842","+7,178","17,062",+111,"223,406","227,374","6,048",,
Spain,"223,759",,"22,902 ",,"95,708","105,149","7,705","4,786",490,"930,230","19,896"
Italy,"195,351",,"26,384 ",,"63,120","105,847","2,102","3,231",436,"1,707,743","28,245"
France,"161,488",,"22,614 ",,"44,594","94,280","4,725","2,474",346,"463,662","7,103"
Germany,"156,513",,"5,877 ",,"109,800","40,836","2,570","1,868",70,"2,072,669","24,738"
UK,"148,377",,"20,319 ",,N/A,"127,714","1,559","2,186",299,"640,792","9,439"
,South America,,"131,375",+226,"6,021",+17,"47,924","77,430","9,690",,
Turkey,"107,773",,"2,706 ",,"25,582","79,485","1,782","1,278",32,"868,565","10,298"
Iran,"90,481","+1,153","5,710 ",+60,"69,657","15,114","3,079","1,077",68,"421,313","5,016"
China,"82,827",+11,"4,632 ",,"77,394",801,51,58,3,,
Russia,"80,949","+6,361",747 ,+66,"6,767","73,435","2,300",555,5,"2,877,699","19,719"
Brazil,"59,324",+128,"4,057 ",+12,"29,160","26,107","8,318",279,19,"291,922","1,373"
Belgium,"46,134",+809,"7,094 ",+177,"10,785","28,255",891,"3,981",612,"189,067","16,313"
Canada,"45,354",,"2,465 ",,"16,425","26,464",557,"1,202",65,"684,271","18,130"
Netherlands,"37,845",+655,"4,475 ",+66,N/A,"33,120",959,"2,209",261,"193,950","11,319"
,Africa,,"31,787",+685,"1,386",+7,"9,717","20,684",139,,
Switzerland,"28,894",,"1,607 ",+8,"21,300","5,987",204,"3,339",186,"245,300","28,343"
India,"26,917",+634,826 ,+1,"5,939","20,152",,20,0.6,"625,309",453
Peru,"25,331",,700 ,,"7,797","16,834",545,768,21,"218,195","6,618"
Portugal,"23,864",+472,903 ,+23,"1,329","21,632",182,"2,340",89,"330,512","32,414"
Ecuador,"22,719",,576 ,,"1,366","20,777",127,"1,288",33,"56,513","3,203"
Sweden,"18,640",+463,"2,194 ",+2,"1,005","15,441",399,"1,846",217,"94,500","9,357"
Ireland,"18,561",,"1,063 ",,"9,233","8,265",142,"3,759",215,"127,319","25,785"
Saudi Arabia,"17,522","+1,223",139 ,+3,"2,357","15,026",115,503,4,"200,000","5,745"
Israel,"15,398",+100,199 ,,"6,602","8,597",132,"1,779",23,"302,691","34,971"
Austria,"15,225",+77,542 ,+6,"12,282","2,401",145,"1,690",60,"227,631","25,274"
Mexico,"13,842",+970,"1,305 ",+84,"7,149","5,388",378,107,10,"65,500",508
Singapore,"13,624",+931,12 ,,"1,002","12,610",24,"2,329",2,"121,774","20,815"
Japan,"13,231",,360 ,,"1,656","11,215",287,105,3,"147,454","1,166"
Chile,"12,858",,181 ,,"6,746","5,931",418,673,9,"149,212","7,806"
Pakistan,"12,723",,269 ,,"2,866","9,588",111,58,1,"144,365",654
Poland,"11,395",+122,526 ,+2,"2,265","8,604",160,301,14,"290,633","7,679"
Romania,"11,036",+401,608 ,+7,"3,054","7,374",236,574,32,"136,518","7,096"
S. Korea,"10,728",+10,242 ,+2,"8,717","1,769",55,209,5,"598,285","11,669"
Belarus,"10,463",+873,72 ,+5,"1,695","8,696",92,"1,107",8,"147,525","15,612"
UAE,"10,349",+536,76 ,+5,"1,978","8,295",1,"1,046",8,"1,022,326","103,365"
Qatar,"10,287",+929,10 ,,"1,012","9,265",72,"3,571",3,"82,289","28,562"
Indonesia,"8,882",+275,743 ,+23,"1,107","7,032",,32,3,"72,099",264
Ukraine,"8,617",+492,209 ,+8,840,"7,568",107,197,5,"89,373","2,044"
Denmark,"8,575",+130,422 ,+4,"5,805","2,348",70,"1,480",73,"146,915","25,364"
,Oceania,,"8,282",+25,101,+3,"6,749","1,432",45,,
Serbia,"7,779",,151 ,,"1,152","6,476",91,890,17,"59,938","6,860"
Philippines,"7,579",+285,501 ,+7,862,"6,216",1,69,5,"84,789",774
Norway,"7,499",+6,201 ,,32,"7,266",50,"1,383",37,"155,125","28,614"
Czechia,"7,352",,219 ,+1,"2,471","4,662",79,687,20,"215,116","20,087"
Australia,"6,711",+16,83 ,+3,"5,539","1,089",42,263,3,"506,449","19,861"
Dominican Republic,"5,926",,273 ,,822,"4,831",136,546,25,"21,284","1,962"
Malaysia,"5,780",+38,98 ,,"3,862","1,820",36,179,3,"131,491","4,063"
Panama,"5,538",+200,159 ,+5,338,"5,041",85,"1,283",37,"25,400","5,887"
Bangladesh,"5,416",+418,145 ,+5,122,"5,149",1,33,0.9,"46,589",283
Colombia,"5,142",,233 ,,"1,067","3,842",117,101,5,"78,078","1,534"
Finland,"4,576",+101,190 ,+4,"2,500","1,886",62,826,34,"80,300","14,493"
South Africa,"4,361",,86 ,,"1,473","2,802",36,74,1,"161,004","2,715"
Egypt,"4,319",,307 ,,"1,114","2,898",,42,3,"90,000",879
Morocco,"4,047",+150,160 ,+1,557,"3,330",1,110,4,"26,472",717
Argentina,"3,780",,185 ,,"1,030","2,565",144,84,4,"47,406","1,049"
Luxembourg,"3,711",,85 ,,"3,088",538,26,"5,928",136,"38,514","61,526"
Moldova,"3,304",,94 ,,895,"2,315",212,819,23,"11,763","2,916"
Algeria,"3,256",,419 ,,"1,479","1,358",40,74,10,"6,500",148
Kuwait,"3,075",+183,20 ,+1,806,"2,249",61,720,5,,
Thailand,"2,922",+15,51 ,,"2,594",277,61,42,0.7,"142,589","2,043"
Kazakhstan,"2,693",+92,25 ,,677,"1,991",31,143,1,"196,298","10,454"
Bahrain,"2,588",,8 ,,"1,160","1,420",2,"1,521",5,"110,379","64,869"
Greece,"2,506",,130 ,,577,"1,799",47,240,12,"63,087","6,053"
Hungary,"2,500",+57,272 ,+10,485,"1,743",61,259,28,"63,505","6,574"
Croatia,"2,030",+14,55 ,+1,"1,103",872,23,494,13,"31,622","7,703"
Oman,"1,998",+93,10 ,,333,"1,655",3,391,2,,
Uzbekistan,"1,869",+7,8 ,,765,"1,096",8,56,0.2,"242,536","7,247"
Iceland,"1,790",,10 ,,"1,570",210,4,"5,246",29,"45,971","134,716"
Iraq,"1,763",,86 ,,"1,224",453,,44,2,"68,224","1,696"
Armenia,"1,746",+69,28 ,,833,885,10,589,9,"17,931","6,051"
