,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
0,Afghanistan,1531,68,50,3,207,1274,7,39,1,8090,208
1,Albania,726,14,28,1,410,288,4,252,10,7279,2529
2,Algeria,3256,0,419,0,1479,1358,40,74,10,6500,148
3,Andorra,738,0,40,0,344,354,17,9552,518,1673,21653
4,Angola,25,0,2,0,6,17,0,0.8,0.06,0,0
5,Anguilla,3,0,0,0,1,2,0,200,0,0,0
6,AntiguaandBarbuda,24,0,3,0,11,10,1,245,31,113,1154
7,Argentina,3780,0,185,0,1030,2565,144,84,4,47406,1049
8,Armenia,1746,69,28,0,833,885,10,589,9,17931,6051
9,Aruba,100,0,2,0,69,29,4,937,19,1577,14771
10,Australia,6711,16,83,3,5539,1089,42,263,3,506449,19861
11,Austria,15225,77,542,6,12282,2401,145,1690,60,227631,25274
12,Azerbaijan,1645,28,21,0,1139,485,15,162,2,120479,11883
13,Bahamas,78,0,11,0,15,52,1,198,28,0,0
14,Bahrain,2588,0,8,0,1160,1420,2,1521,5,110379,64869
15,Bangladesh,5416,418,145,5,122,5149,1,33,0.9,46589,283
16,Barbados,79,0,6,0,31,42,4,275,21,1502,5227
17,Belarus,10463,873,72,5,1695,8696,92,1107,8,147525,15612
18,Belgium,46134,809,7094,177,10785,28255,891,3981,612,189067,16313
19,Belize,18,0,2,0,5,11,1,45,5,816,2052
20,Benin,54,0,1,0,27,26,0,4,0.08,0,0
21,Bermuda,109,0,5,0,39,65,10,1750,80,1173,18835
22,Bhutan,7,0,0,0,4,3,0,9,0,9791,12689
23,Bolivia,866,59,46,2,54,766,3,74,4,4995,428
24,BosniaandHerzegovina,1516,30,59,2,624,833,4,462,18,25830,7873
25,Botswana,22,0,1,0,0,21,0,9,0.4,5023,2136
26,Brazil,59324,128,4057,12,29160,26107,8318,279,19,291922,1373
27,BritishVirginIslands,6,0,1,0,3,2,0,198,33,0,0
28,Brunei,138,0,1,0,123,14,2,315,2,12981,29672
29,Bulgaria,1290,43,55,0,205,1030,37,186,8,27000,3886
30,BurkinaFaso,629,0,41,0,442,146,0,30,2,0,0
31,Burundi,11,0,1,0,4,6,0,0.9,0.08,284,24
32,CAR,19,3,0,0,10,9,0,4,0,0,0
33,CaboVerde,90,0,1,0,1,88,0,162,2,791,1423
34,Cambodia,122,0,0,0,117,5,1,7,0,5768,345
35,Cameroon,1621,103,56,3,786,779,12,61,2,0,0
36,Canada,45354,0,2465,0,16425,26464,557,1202,65,684271,18130
37,CaribbeanNetherlands,5,0,0,0,0,5,0,191,0,110,4195
38,CaymanIslands,70,0,1,0,8,61,3,1065,15,940,14303
39,Chad,46,0,0,0,15,31,0,3,0,0,0
40,ChannelIslands,525,0,35,0,332,158,0,3020,201,5342,30725
41,Chile,12858,0,181,0,6746,5931,418,673,9,149212,7806
42,China,82827,11,4632,0,77394,801,51,58,3,0,0
43,Colombia,5142,0,233,0,1067,3842,117,101,5,78078,1534
44,Congo,200,0,6,0,19,175,0,36,1,0,0
45,CostaRica,693,0,6,0,242,445,7,136,1,12467,2447
46,Croatia,2030,14,55,1,1103,872,23,494,13,31622,7703
47,Cuba,1337,0,51,0,437,849,11,118,5,37991,3354
48,Curaçao,16,0,1,0,11,4,0,98,6,304,1853
49,Cyprus,810,0,14,0,148,648,15,671,12,43542,36064
50,Czechia,7352,0,219,1,2471,4662,79,687,20,215116,20087
51,DRC,442,26,28,0,50,364,0,5,0.3,0,0
52,Denmark,8575,130,422,4,5805,2348,70,1480,73,146915,25364
53,DiamondPrincess,712,0,13,0,645,54,4,0,0,0,0
54,Djibouti,1008,0,2,0,373,633,0,1020,2,11431,11570
55,Dominica,16,0,0,0,13,3,0,222,0,383,5320
56,DominicanRepublic,5926,0,273,0,822,4831,136,546,25,21284,1962
57,Ecuador,22719,0,576,0,1366,20777,127,1288,33,56513,3203
58,Egypt,4319,0,307,0,1114,2898,0,42,3,90000,879
59,ElSalvador,298,24,8,0,83,207,4,46,1,18686,2881
60,EquatorialGuinea,258,0,1,0,8,249,0,184,0.7,854,609
61,Eritrea,39,0,0,0,13,26,0,11,0,0,0
62,Estonia,1643,8,49,3,233,1361,6,1239,37,47933,36134
63,Eswatini,59,3,1,0,10,48,0,51,0.9,714,615
64,Ethiopia,123,1,3,0,41,79,0,1,0.03,13645,119
65,FaeroeIslands,187,0,0,0,178,9,0,3827,0,6588,134826
66,FalklandIslands,13,0,0,0,11,2,0,3736,0,353,101437
67,Fiji,18,0,0,0,10,8,0,20,0,900,1004
68,Finland,4576,101,190,4,2500,1886,62,826,34,80300,14493
69,France,161488,0,22614,0,44594,94280,4725,2474,346,463662,7103
70,FrenchGuiana,111,0,1,0,87,23,0,372,3,0,0
71,FrenchPolynesia,57,0,0,0,41,16,1,203,0,2069,7365
72,Gabon,176,0,3,0,30,143,1,79,1,572,257
73,Gambia,10,0,1,0,8,1,0,4,0.4,401,166
74,Georgia,485,29,6,1,139,340,6,122,2,9699,2431
75,Germany,156513,0,5877,0,109800,40836,2570,1868,70,2072669,24738
76,Ghana,1550,271,11,1,155,1384,4,50,0.4,100622,3238
77,Gibraltar,136,0,0,0,131,5,0,4037,0,2174,64528
78,Greece,2506,0,130,0,577,1799,47,240,12,63087,6053
79,Greenland,11,0,0,0,11,0,0,194,0,1200,21138
80,Grenada,18,0,0,0,7,11,4,160,0,175,1555
81,Guadeloupe,149,0,12,0,82,55,11,372,30,0,0
82,Guatemala,473,43,13,2,45,415,5,26,0.7,7200,402
83,Guinea,996,0,7,0,208,781,0,76,0.5,0,0
84,Guinea-Bissau,52,0,0,0,3,49,0,26,0,1500,762
85,Guyana,74,1,8,1,12,54,5,94,10,442,562
86,Haiti,72,0,6,0,6,60,0,6,0.5,719,63
87,Honduras,627,36,59,4,65,503,10,63,6,3457,349
88,HongKong,1038,0,4,0,753,281,4,138,0.5,145640,19426
89,Hungary,2500,57,272,10,485,1743,61,259,28,63505,6574
90,Iceland,1790,0,10,0,1570,210,4,5246,29,45971,134716
91,India,26917,634,826,1,5939,20152,0,20,0.6,625309,453
92,Indonesia,8882,275,743,23,1107,7032,0,32,3,72099,264
93,Iran,90481,1153,5710,60,69657,15114,3079,1077,68,421313,5016
94,Iraq,1763,0,86,0,1224,453,0,44,2,68224,1696
95,Ireland,18561,0,1063,0,9233,8265,142,3759,215,127319,25785
96,IsleofMan,308,0,18,0,247,43,22,3622,212,2854,33563
97,Israel,15398,100,199,0,6602,8597,132,1779,23,302691,34971
98,Italy,195351,0,26384,0,63120,105847,2102,3231,436,1707743,28245
99,IvoryCoast,1111,34,14,0,449,648,0,42,0.5,0,0
100,Jamaica,305,17,7,0,28,270,0,103,2,2868,969
101,Japan,13231,0,360,0,1656,11215,287,105,3,147454,1166
102,Jordan,444,0,7,0,332,105,5,44,0.7,63737,6247
103,Kazakhstan,2693,92,25,0,677,1991,31,143,1,196298,10454
104,Kenya,343,0,14,0,98,231,2,6,0.3,17492,325
105,Kuwait,3075,183,20,1,806,2249,61,720,5,0,0
106,Kyrgyzstan,682,17,8,0,370,304,13,105,1,45627,6994
107,Laos,19,0,0,0,7,12,0,3,0,1735,238
108,Latvia,812,8,12,0,267,533,6,430,6,47671,25274
109,Lebanon,707,3,24,0,145,538,44,104,4,27827,4077
110,Liberia,120,0,11,0,25,84,0,24,2,0,0
111,Libya,61,0,2,0,18,41,0,9,0.3,1623,236
112,Liechtenstein,81,0,1,0,55,25,0,2124,26,900,23605
113,Lithuania,1438,12,41,0,467,930,17,528,15,104488,38382
114,Luxembourg,3711,0,85,0,3088,538,26,5928,136,38514,61526
115,MSZaandam,9,0,2,0,0,7,0,0,0,0,0
116,Macao,45,0,0,0,31,14,1,69,0,0,0
117,Madagascar,123,0,0,0,62,61,1,4,0,2357,85
118,Malawi,34,1,3,0,4,27,1,2,0.2,617,32
119,Malaysia,5780,38,98,0,3862,1820,36,179,3,131491,4063
120,Maldives,177,0,0,0,17,160,2,327,0,5296,9798
121,Mali,370,0,21,0,91,258,0,18,1,2172,107
122,Malta,448,0,4,0,282,162,2,1015,9,27981,63371
123,Martinique,175,0,14,0,77,84,7,466,37,0,0
124,Mauritania,7,0,1,0,6,0,0,2,0.2,1032,222
125,Mauritius,331,0,9,0,295,27,3,260,7,13374,10516
126,Mayotte,401,21,4,0,144,253,4,1470,15,2500,9164
127,Mexico,13842,970,1305,84,7149,5388,378,107,10,65500,508
128,Moldova,3304,0,94,0,895,2315,212,819,23,11763,2916
129,Monaco,94,0,4,0,42,48,1,2395,102,0,0
130,Mongolia,38,1,0,0,9,29,0,12,0,7292,2224
131,Montenegro,321,1,7,1,153,161,7,511,11,5085,8096
132,Montserrat,11,0,1,0,2,8,1,2204,200,36,7212
133,Morocco,4047,150,160,1,557,3330,1,110,4,26472,717
134,Mozambique,76,6,0,0,12,64,0,2,0,1644,53
135,Myanmar,146,2,5,0,10,131,0,3,0.09,6531,120
136,Namibia,16,0,0,0,8,8,0,6,0,675,266
137,Nepal,52,3,0,0,16,36,0,2,0,51367,1763
138,Netherlands,37845,655,4475,66,0,33120,959,2209,261,193950,11319
139,NewCaledonia,18,0,0,0,17,1,1,63,0,3952,13842
140,NewZealand,1470,9,18,0,1142,310,1,305,4,120981,25088
141,Nicaragua,12,0,3,0,7,2,0,2,0.5,0,0
142,Niger,684,0,27,0,325,332,0,28,1,5013,207
143,Nigeria,1182,0,35,0,222,925,2,6,0.2,10061,49
144,NorthMacedonia,1386,19,61,2,500,825,13,665,29,15120,7257
145,Norway,7499,6,201,0,32,7266,50,1383,37,155125,28614
146,Oman,1998,93,10,0,333,1655,3,391,2,0,0
147,Pakistan,12723,0,269,0,2866,9588,111,58,1,144365,654
148,Palestine,342,0,2,0,92,248,0,67,0.4,27000,5293
149,Panama,5538,200,159,5,338,5041,85,1283,37,25400,5887
150,PapuaNewGuinea,8,0,0,0,0,8,0,0.9,0,604,68
151,Paraguay,228,5,9,0,85,134,1,32,1,7322,1027
152,Peru,25331,0,700,0,7797,16834,545,768,21,218195,6618
153,Philippines,7579,285,501,7,862,6216,1,69,5,84789,774
154,Poland,11395,122,526,2,2265,8604,160,301,14,290633,7679
155,Portugal,23864,472,903,23,1329,21632,182,2340,89,330512,32414
156,Qatar,10287,929,10,0,1012,9265,72,3571,3,82289,28562
157,Romania,11036,401,608,7,3054,7374,236,574,32,136518,7096
158,Russia,80949,6361,747,66,6767,73435,2300,555,5,2877699,19719
159,Rwanda,183,0,0,0,88,95,0,14,0,6959,537
160,Réunion,417,0,0,0,300,117,2,466,0,0,0
161,S.Korea,10728,10,242,2,8717,1769,55,209,5,598285,11669
162,SaintKittsandNevis,15,0,0,0,2,13,0,282,0,260,4887
163,SaintLucia,15,0,0,0,15,0,0,82,0,446,2429
164,SaintMartin,38,0,3,0,24,11,3,983,78,0,0
165,SaintPierreMiquelon,1,0,0,0,0,1,0,173,0,0,0
166,SanMarino,538,25,41,1,64,433,4,15856,1208,2074,61124
167,SaoTomeandPrincipe,4,0,0,0,0,4,0,18,0,19,87
168,SaudiArabia,17522,1223,139,3,2357,15026,115,503,4,200000,5745
169,Senegal,671,57,8,1,283,380,1,40,0.5,466,28
170,Serbia,7779,0,151,0,1152,6476,91,890,17,59938,6860
171,Seychelles,11,0,0,0,6,5,0,112,0,0,0
172,SierraLeone,86,4,3,1,10,73,0,11,0.4,0,0
173,Singapore,13624,931,12,0,1002,12610,24,2329,2,121774,20815
174,SintMaarten,73,0,12,0,22,39,8,1703,280,266,6204
175,Slovakia,1379,6,18,1,394,967,5,253,3,70928,12991
176,Slovenia,1396,8,82,1,221,1093,23,671,39,48973,23557
177,Somalia,390,0,18,0,8,364,2,25,1,0,0
178,SouthAfrica,4361,0,86,0,1473,2802,36,74,1,161004,2715
179,SouthSudan,6,1,0,0,0,6,0,0.5,0,0,0
180,Spain,223759,0,22902,0,95708,105149,7705,4786,490,930230,19896
181,SriLanka,477,25,7,0,120,350,2,22,0.3,13850,647
182,St.Barth,6,0,0,0,6,0,0,607,0,0,0
183,St.VincentGrenadines,14,0,0,0,5,9,0,126,0,108,973
184,Sudan,213,0,17,0,19,177,0,5,0.4,0,0
185,Suriname,10,0,1,0,7,2,0,17,2,404,689
186,Sweden,18640,463,2194,2,1005,15441,399,1846,217,94500,9357
187,Switzerland,28894,0,1607,8,21300,5987,204,3339,186,245300,28343
188,Syria,42,0,3,0,11,28,0,2,0.2,0,0
189,Taiwan,429,0,6,0,281,142,0,18,0.3,60459,2539
190,Tanzania,299,0,10,0,48,241,7,5,0.2,0,0
191,Thailand,2922,15,51,0,2594,277,61,42,0.7,142589,2043
192,Timor-Leste,24,0,0,0,2,22,0,18,0,322,244
193,Togo,96,0,6,0,62,28,0,12,0.7,5584,675
194,TrinidadandTobago,115,0,8,0,53,54,0,82,6,1514,1082
195,Tunisia,939,0,38,0,207,694,19,79,3,20408,1727
196,Turkey,107773,0,2706,0,25582,79485,1782,1278,32,868565,10298
197,TurksandCaicos,11,0,1,0,4,6,0,284,26,83,2144
