,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
0,Afghanistan,1351,72,43,1,188,1120,7,35,1,6422,165
1,Albania,678,15,27,0,394,257,4,236,9,6509,2262
2,Algeria,3007,0,407,0,1355,1245,40,69,9,6500,148
3,Andorra,723,0,37,0,333,353,17,9357,479,1673,21653
4,Angola,25,0,2,0,6,17,0,0.8,0.06,0,0
5,Anguilla,3,0,0,0,1,2,0,200,0,0,0
6,AntiguaandBarbuda,24,0,3,0,10,11,1,245,31,108,1103
7,Argentina,3435,0,167,2,976,2292,123,76,4,44654,988
8,Armenia,1596,73,27,3,728,841,10,539,9,16552,5586
9,Aruba,100,0,2,0,68,30,4,937,19,1535,14377
10,Australia,6675,8,79,4,5136,1460,43,262,3,482371,18917
11,Austria,15071,69,530,8,11872,2669,156,1673,59,212686,23615
12,Azerbaijan,1592,44,21,1,1013,558,14,157,2,114410,11284
13,Bahamas,72,0,11,0,14,47,1,183,28,0,0
14,Bahrain,2506,289,8,0,1113,1385,2,1473,5,100031,58787
15,Bangladesh,4689,503,131,4,112,4446,1,28,0.8,39476,240
16,Barbados,76,0,6,0,30,40,4,264,21,1222,4252
17,Belarus,8773,751,63,3,1120,7590,92,928,7,130824,13845
18,Belgium,44293,1496,6679,189,10122,27492,970,3822,576,189067,16313
19,Belize,18,0,2,0,5,11,1,45,5,816,2052
20,Benin,54,0,1,0,27,26,0,4,0.08,0,0
21,Bermuda,99,0,5,0,39,55,10,1590,80,949,15238
22,Bhutan,7,0,0,0,3,4,0,9,0,8953,11603
23,Bolivia,703,31,43,3,44,616,3,60,4,4420,379
24,BosniaandHerzegovina,1421,8,55,1,538,828,4,433,17,21432,6533
25,Botswana,22,0,1,0,0,21,0,9,0.4,5023,2136
26,Brazil,50512,1020,3365,52,26573,20574,8318,238,16,291922,1373
27,BritishVirginIslands,5,0,1,0,3,1,0,165,33,0,0
28,Brunei,138,0,1,0,120,17,2,315,2,12770,29190
29,Bulgaria,1188,91,54,2,193,941,37,171,8,27000,3886
30,BurkinaFaso,616,0,41,0,410,165,0,29,2,0,0
31,Burundi,11,0,1,0,4,6,0,0.9,0.08,284,24
32,CAR,16,0,0,0,10,6,0,3,0,0,0
33,CaboVerde,88,6,1,0,1,86,0,158,2,0,0
34,Cambodia,122,0,0,0,110,12,1,7,0,5768,345
35,Cameroon,1430,96,43,0,668,719,20,54,2,0,0
36,Canada,42110,0,2147,0,14761,25202,557,1116,57,634917,16822
37,CaribbeanNetherlands,5,0,0,0,0,5,0,191,0,110,4195
38,CaymanIslands,66,0,1,0,7,58,3,1004,15,778,11838
39,Chad,40,7,0,0,8,32,0,2,0,0,0
40,ChannelIslands,521,0,29,0,295,197,0,2997,167,3320,19095
41,Chile,11812,0,168,0,5804,5840,411,618,9,135147,7070
42,China,82804,6,4632,0,77257,915,57,58,3,0,0
43,Colombia,4561,0,215,0,927,3419,98,90,4,71500,1405
44,Congo,186,0,6,0,16,164,0,34,1,0,0
45,CostaRica,686,0,6,0,196,484,8,135,1,12073,2370
46,Croatia,2009,28,51,1,982,976,19,489,12,30213,7360
47,Cuba,1235,0,43,0,365,827,14,109,4,34243,3023
48,Curaçao,14,0,1,0,11,2,0,85,6,304,1853
49,Cyprus,804,9,14,1,98,692,15,666,12,40745,33747
50,Czechia,7188,1,213,3,2186,4789,76,671,20,203622,19014
51,DRC,394,17,25,0,48,321,0,4,0.3,0,0
52,Denmark,8210,137,403,9,5526,2281,69,1417,70,125329,21638
53,DiamondPrincess,712,0,13,0,645,54,4,0,0,0,0
54,Djibouti,999,13,2,0,330,667,0,1011,2,11090,11225
55,Dominica,16,0,0,0,9,7,0,222,0,377,5237
56,DominicanRepublic,5543,0,265,0,674,4604,135,511,24,18261,1683
57,Ecuador,11183,0,560,0,1328,9295,141,634,32,34840,1975
58,Egypt,4092,201,294,7,1075,2723,0,40,3,90000,879
59,ElSalvador,261,11,8,0,72,181,2,40,1,16418,2531
60,EquatorialGuinea,84,0,1,0,7,76,0,60,0.7,854,609
61,Eritrea,39,0,0,0,11,28,0,11,0,0,0
62,Estonia,1605,13,46,1,206,1353,6,1210,35,46281,34889
63,Eswatini,36,5,1,0,10,25,0,31,0.9,714,615
64,Ethiopia,117,1,3,0,25,89,0,1,0.03,11669,102
65,FaeroeIslands,187,0,0,0,178,9,0,3827,0,6458,132165
66,FalklandIslands,12,0,0,0,11,1,0,3448,0,337,96839
67,Fiji,18,0,0,0,10,8,0,20,0,900,1004
68,Finland,4395,111,177,5,2500,1718,61,793,32,74500,13446
69,France,158183,0,21856,0,42088,94239,5053,2423,335,463662,7103
70,FrenchGuiana,107,0,1,0,84,22,1,358,3,0,0
71,FrenchPolynesia,57,0,0,0,36,21,1,203,0,1803,6418
72,Gabon,167,0,2,0,24,141,1,75,0.9,572,257
73,Gambia,10,0,1,0,2,7,0,4,0.4,316,131
74,Georgia,431,6,5,0,132,294,6,108,1,8375,2099
75,Germany,153584,455,5577,2,106800,41207,2908,1833,67,2072669,24738
76,Ghana,1279,125,10,1,134,1135,4,41,0.3,88188,2838
77,Gibraltar,133,0,0,0,129,4,0,3948,0,2062,61203
78,Greece,2490,27,130,5,577,1783,48,239,12,59241,5684
79,Greenland,11,0,0,0,11,0,0,194,0,1150,20257
80,Grenada,15,0,0,0,7,8,4,133,0,92,818
81,Guadeloupe,149,1,12,0,82,55,11,372,30,0,0
82,Guatemala,384,42,11,1,30,343,5,21,0.6,7200,402
83,Guinea,862,0,6,0,170,686,0,66,0.5,0,0
84,Guinea-Bissau,50,0,0,0,3,47,0,25,0,1500,762
85,Guyana,70,0,7,0,12,51,5,89,9,375,477
86,Haiti,72,0,5,0,2,65,0,6,0.4,690,61
87,Honduras,562,43,47,0,50,465,10,57,5,3107,314
88,HongKong,1036,0,4,0,699,333,9,138,0.5,131786,17579
89,Hungary,2383,99,250,11,401,1732,61,247,26,58251,6030
90,Iceland,1789,0,10,0,1542,237,5,5243,29,45286,132709
91,India,23502,463,722,1,5012,17768,0,17,0.5,541789,393
92,Indonesia,8211,436,689,42,1002,6520,0,30,3,64054,234
93,Iran,88194,1168,5574,93,66599,16021,3121,1050,66,399927,4761
94,Iraq,1677,0,83,0,1171,423,0,42,2,64882,1613
95,Ireland,17607,0,794,0,9233,7580,147,3566,161,111584,22598
96,IsleofMan,307,0,16,0,221,70,20,3610,188,2674,31447
97,Israel,14882,79,193,1,5685,9004,139,1719,22,240303,27763
98,Italy,189973,0,25549,0,57576,106848,2267,3142,423,1579909,26131
99,IvoryCoast,1004,0,14,0,359,631,0,38,0.5,0,0
100,Jamaica,257,5,6,0,28,223,0,87,2,2213,747
101,Japan,12368,0,328,0,1494,10546,259,98,3,135983,1075
102,Jordan,437,0,7,0,318,112,5,43,0.7,36000,3528
103,Kazakhstan,2376,87,25,5,602,1749,29,127,1,153492,8175
104,Kenya,336,16,14,0,94,228,2,6,0.3,16738,311
105,Kuwait,2614,215,15,1,613,1986,60,612,4,0,0
106,Kyrgyzstan,656,25,8,0,322,326,11,101,1,39615,6072
107,Laos,19,0,0,0,4,15,0,3,0,1461,201
108,Latvia,784,6,12,1,267,505,6,416,6,43080,22840
109,Lebanon,696,8,22,0,140,534,46,102,3,25337,3712
110,Liberia,117,16,8,0,25,84,0,23,2,0,0
111,Libya,60,0,2,0,18,40,0,9,0.3,1337,195
112,Liechtenstein,81,0,1,0,55,25,0,2124,26,900,23605
113,Lithuania,1410,12,40,0,430,940,17,518,15,90992,33425
114,Luxembourg,3665,0,83,0,728,2854,27,5855,133,36891,58933
115,MSZaandam,9,0,2,0,0,7,0,0,0,0,0
116,Macao,45,0,0,0,27,18,1,69,0,0,0
117,Madagascar,122,1,0,0,61,61,1,4,0,2357,85
118,Malawi,33,0,3,0,3,27,1,2,0.2,519,27
119,Malaysia,5691,88,96,1,3663,1932,41,176,3,121722,3761
120,Maldives,116,8,0,0,16,100,2,215,0,5296,9798
121,Mali,309,0,21,0,77,211,0,15,1,2023,100
122,Malta,447,2,3,0,223,221,2,1012,7,27422,62105
123,Martinique,170,6,14,0,77,79,6,453,37,0,0
124,Mauritania,7,0,1,0,6,0,0,2,0.2,969,208
125,Mauritius,331,0,9,0,266,56,3,260,7,12835,10092
126,Mayotte,354,28,4,0,144,206,4,1298,15,2200,8064
127,Mexico,11633,1089,1069,99,2627,7937,378,90,8,51297,398
128,Moldova,3110,184,84,4,755,2271,212,771,21,11763,2916
129,Monaco,94,0,4,0,35,55,2,2395,102,0,0
130,Mongolia,36,1,0,0,9,27,0,11,0,7234,2207
131,Montenegro,319,3,5,0,123,191,7,508,8,5085,8096
132,Montserrat,11,0,0,0,2,9,1,2204,0,36,7212
133,Morocco,3692,124,155,0,478,3059,1,100,4,22816,618
134,Mozambique,46,0,0,0,12,34,0,1,0,1325,42
135,Myanmar,139,7,5,0,9,125,0,3,0.09,5775,106
136,Namibia,16,0,0,0,7,9,0,6,0,590,232
137,Nepal,48,0,0,0,10,38,0,2,0,9200,316
138,Netherlands,36535,806,4289,112,0,31996,963,2132,250,187000,10913
139,NewCaledonia,18,0,0,0,17,1,1,63,0,3952,13842
140,NewZealand,1456,5,17,1,1095,344,1,302,4,108238,22446
141,Nicaragua,11,0,3,0,7,1,0,2,0.5,0,0
142,Niger,671,0,24,0,256,391,0,28,1.0,4832,200
143,Nigeria,981,0,31,0,197,753,2,5,0.2,8003,39
144,NorthMacedonia,1326,26,57,1,337,932,14,636,27,13649,6551
145,Norway,7444,43,199,5,32,7213,53,1373,37,155125,28614
146,Oman,1790,74,9,0,325,1456,3,351,2,0,0
147,Pakistan,11155,98,237,2,2527,8391,111,50,1,131365,595
148,Palestine,480,0,4,0,92,384,0,94,0.8,27000,5293
149,Panama,5166,174,146,2,271,4749,86,1197,34,23534,5454
150,PapuaNewGuinea,8,0,0,0,0,8,0,0.9,0,604,68
151,Paraguay,220,7,9,0,70,141,1,31,1,6917,970
152,Peru,20914,0,572,0,7422,12920,396,634,17,185238,5618
153,Philippines,7192,211,477,15,762,5953,1,66,4,76956,702
154,Poland,10759,248,463,9,1944,8352,160,284,12,265201,7007
155,Portugal,22797,444,854,34,1228,20715,188,2236,84,315758,30967
156,Qatar,8525,761,10,0,809,7706,72,2959,3,75888,26340
157,Romania,10417,321,552,7,2817,7048,241,541,29,121602,6321
158,Russia,68622,5849,615,60,5568,62439,2300,470,4,2550000,17474
159,Rwanda,154,0,0,0,87,67,0,12,0,6959,537
160,Réunion,412,0,0,0,238,174,2,460,0,0,0
161,S.Korea,10708,6,240,0,8501,1967,55,209,5,589520,11499
162,SaintKittsandNevis,15,0,0,0,2,13,0,282,0,260,4887
163,SaintLucia,15,0,0,0,15,0,0,82,0,364,1982
164,SaintMartin,38,0,2,0,20,16,3,983,52,0,0
165,SaintPierreMiquelon,1,0,0,0,0,1,0,173,0,0,0
166,SanMarino,501,0,40,0,63,398,3,14765,1179,1929,56851
167,SaoTomeandPrincipe,4,0,0,0,0,4,0,18,0,19,87
