,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
0,Afghanistan,1703,172,57,7,220,1426,7,44,1,8694,223
1,Albania,726,0,28,0,410,288,4,252,10,7279,2529
2,Algeria,3382,0,425,0,1508,1449,40,77,10,6500,148
3,Andorra,738,0,40,0,344,354,17,9552,518,1673,21653
4,Angola,26,0,2,0,6,18,0,0.8,0.06,0,0
5,Anguilla,3,0,0,0,3,0,0,200,0,0,0
6,AntiguaandBarbuda,24,0,3,0,11,10,1,245,31,113,1154
7,Argentina,3892,0,192,0,1107,2593,144,86,4,49905,1104
8,Armenia,1808,62,29,1,848,931,10,610,10,18547,6259
9,Aruba,100,0,2,0,73,25,4,937,19,1622,15192
10,Australia,6720,4,83,0,5586,1051,43,264,3,517063,20277
11,Austria,15274,49,549,7,12362,2363,140,1696,61,232537,25819
12,Azerbaijan,1678,33,22,1,1162,494,15,165,2,128807,12704
13,Bahamas,80,0,11,0,22,47,1,203,28,0,0
14,Bahrain,2647,0,8,0,1189,1450,2,1556,5,114110,67061
15,Bangladesh,5913,497,152,7,131,5630,1,36,0.9,50401,306
16,Barbados,79,0,6,0,39,34,4,275,21,1663,5787
17,Belarus,11289,826,75,3,1740,9474,92,1195,8,153845,16281
18,Belgium,46687,553,7207,113,10878,28602,903,4028,622,214042,18468
19,Belize,18,0,2,0,5,11,1,45,5,816,2052
20,Benin,64,0,1,0,33,30,0,5,0.08,0,0
21,Bermuda,109,0,6,1,39,64,10,1750,96,1546,24824
22,Bhutan,7,0,0,0,4,3,0,9,0,9829,12738
23,Bolivia,950,84,50,4,80,820,3,81,4,5791,496
24,BosniaandHerzegovina,1565,49,60,1,659,846,4,477,18,26822,8175
25,Botswana,22,0,1,0,0,21,0,9,0.4,5023,2136
26,Brazil,63328,469,4298,27,30152,28878,8318,298,20,291922,1373
27,BritishVirginIslands,6,0,1,0,3,2,0,198,33,0,0
28,Brunei,138,0,1,0,124,13,2,315,2,13149,30056
29,Bulgaria,1348,48,56,0,206,1086,41,194,8,27000,3886
30,BurkinaFaso,632,0,42,0,453,137,0,30,2,0,0
31,Burundi,11,0,1,0,4,6,0,0.9,0.08,284,24
32,CAR,19,0,0,0,10,9,0,4,0,0,0
33,CaboVerde,109,3,1,0,1,107,0,196,2,791,1423
34,Cambodia,122,0,0,0,119,3,1,7,0,11576,692
35,Cameroon,1621,0,56,0,786,779,12,61,2,0,0
36,Canada,46895,0,2560,0,17321,27014,557,1243,68,707508,18746
37,CaribbeanNetherlands,5,0,0,0,0,5,0,191,0,110,4195
38,CaymanIslands,70,0,1,0,8,61,3,1065,15,940,14303
39,Chad,46,0,0,0,15,31,0,3,0,0,0
