,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
0,Afghanistan,2335,164,68,4,310,1957,7,60,2,10593,272
1,Albania,782,9,31,0,488,263,4,272,11,8498,2953
2,Algeria,4006,0,450,0,1779,1777,22,91,10,6500,148
3,Andorra,745,0,42,0,468,235,17,9642,544,1673,21653
4,Angola,27,0,2,0,7,18,0,0.8,0.06,0,0
5,Anguilla,3,0,0,0,3,0,0,200,0,0,0
6,AntiguaandBarbuda,24,0,3,0,11,10,1,245,31,113,1154
7,Argentina,4428,0,218,0,1256,2954,157,98,5,58685,1298
8,Armenia,2148,82,33,1,977,1138,10,725,11,22177,7484
9,Aruba,100,0,2,0,79,19,4,937,19,1691,15838
10,Australia,6767,13,93,1,5745,929,28,265,4,588868,23093
11,Austria,15531,79,589,5,13110,1832,124,1724,65,264079,29321
12,Azerbaijan,1804,0,24,0,1325,455,17,178,2,143079,14112
13,Bahamas,81,0,11,0,25,45,1,206,28,1284,3265
14,Bahrain,3040,0,8,0,1500,1532,1,1787,5,129694,76220
15,Bangladesh,8238,571,170,2,174,7894,1,50,1,70239,426
16,Barbados,81,0,7,0,39,35,4,282,24,2160,7516
17,Belarus,14917,890,93,4,2918,11906,92,1579,10,186262,19712
18,Belgium,49032,513,7703,109,11892,29437,740,4231,665,253198,21847
19,Belize,18,0,2,0,13,3,1,45,5,1043,2623
20,Benin,64,0,1,0,33,30,0,5,0.08,0,0
21,Bermuda,114,0,6,0,48,60,4,1831,96,2500,40143
22,Bhutan,7,0,0,0,5,2,0,9,0,10101,13091
23,Bolivia,1167,57,62,3,132,973,3,100,5,5791,496
24,BosniaandHerzegovina,1781,24,70,1,755,956,4,543,21,32178,9808
25,Botswana,23,0,1,0,5,17,0,10,0.4,6548,2784
26,Brazil,87187,1807,6006,105,35935,45246,8318,410,28,339552,1597
27,BritishVirginIslands,6,0,1,0,3,2,0,198,33,0,0
28,Brunei,138,0,1,0,124,13,2,315,2,13717,31355
29,Bulgaria,1541,35,66,0,276,1199,40,222,9,46510,6694
30,BurkinaFaso,645,0,43,0,506,96,0,31,2,0,0
31,Burundi,11,0,1,0,4,6,0,0.9,0.08,284,24
32,CAR,64,14,0,0,10,54,0,13,0,0,0
33,CaboVerde,122,1,1,0,4,117,0,219,2,791,1423
34,Cambodia,122,0,0,0,119,3,1,7,0,12084,723
35,Cameroon,1832,0,61,0,934,837,12,69,2,0,0
36,Canada,53236,0,3184,0,21423,28629,557,1411,84,806449,21367
37,CaribbeanNetherlands,5,0,0,0,0,5,0,191,0,110,4195
38,CaymanIslands,73,0,1,0,10,62,3,1111,15,1535,23356
39,Chad,73,0,5,0,33,35,0,4,0.3,0,0
40,ChannelIslands,538,1,41,1,406,91,0,3094,236,5342,30725
41,Chile,16023,0,227,0,8580,7216,392,838,12,180517,9443
42,China,82874,12,4633,0,77642,599,38,58,3,0,0
43,Colombia,6507,0,293,0,1439,4775,118,128,6,104657,2057
44,Comoros,1,0,0,0,0,1,0,1,0,0,0
45,Congo,220,0,9,0,19,192,0,40,2,0,0
46,CostaRica,719,0,6,0,338,375,8,141,1,13240,2599
47,Croatia,2085,9,75,6,1421,589,17,508,18,36917,8993
48,Cuba,1501,0,61,0,681,759,10,133,5,47347,4180
49,Curaçao,16,0,1,0,13,2,0,98,6,351,2139
50,Cyprus,850,0,15,0,296,539,15,704,12,58109,48129
51,Czechia,7689,7,237,1,3314,4138,67,718,22,249634,23311
52,DRC,572,0,31,0,73,468,0,6,0.3,0,0
53,Denmark,9311,153,460,8,6729,2122,61,1608,79,206576,35665
54,DiamondPrincess,712,0,13,0,645,54,4,0,0,0,0
55,Djibouti,1097,8,2,0,672,423,0,1110,2,13751,13918
56,Dominica,16,0,0,0,13,3,0,222,0,383,5320
57,DominicanRepublic,6972,0,301,0,1301,5370,144,643,28,25368,2339
58,Ecuador,24934,0,900,0,1558,22476,146,1413,51,69054,3914
59,Egypt,5537,0,392,0,1381,3764,0,54,4,90000,879
60,ElSalvador,424,29,10,0,124,290,2,65,2,25492,3930
61,EquatorialGuinea,315,0,1,0,9,305,0,225,0.7,854,609
62,Eritrea,39,0,0,0,26,13,0,11,0,0,0
63,Estonia,1694,5,52,0,253,1389,7,1277,39,53767,40532
64,Eswatini,100,0,1,0,12,87,0,86,0.9,714,615
65,Ethiopia,133,2,3,0,66,64,0,1,0.03,18754,163
66,FaeroeIslands,187,0,0,0,184,3,0,3827,0,7081,144915
67,FalklandIslands,13,0,0,0,13,0,0,3736,0,372,106897
68,Fiji,18,0,0,0,12,6,0,20,0,1007,1123
69,Finland,5051,56,218,7,3000,1833,49,912,39,97600,17615
70,France,167178,0,24376,0,49476,93326,4019,2561,373,724574,11101
71,FrenchGuiana,128,2,1,0,98,29,2,429,3,0,0
72,FrenchPolynesia,58,0,0,0,51,7,1,206,0,2544,9056
73,Gabon,276,0,3,0,67,206,1,124,1,724,325
74,Gambia,12,1,1,0,8,3,0,5,0.4,401,166
75,Georgia,566,27,6,0,184,376,6,142,2,14718,3689
76,Germany,163162,153,6632,9,126900,29630,2415,1947,79,2547052,30400
77,Ghana,2074,0,17,0,212,1845,4,67,0.5,113497,3653
78,Gibraltar,144,0,0,0,131,13,0,4274,0,2626,77944
79,Greece,2591,0,140,0,1374,1077,38,249,13,75170,7212
80,Greenland,11,0,0,0,11,0,0,194,0,1258,22160
81,Grenada,20,0,0,0,13,7,4,178,0,1406,12495
82,Guadeloupe,152,1,12,0,95,45,6,380,30,0,0
83,Guatemala,599,14,16,0,66,517,5,33,0.9,7200,402
84,Guinea,1495,0,7,0,329,1159,0,114,0.5,0,0
85,Guinea-Bissau,205,0,1,0,19,185,0,104,0.5,1500,762
86,Guyana,82,0,9,0,22,51,2,104,11,579,736
87,Haiti,81,0,8,0,8,65,0,7,0.7,827,73
88,Honduras,804,33,75,4,112,617,10,81,8,3643,368
89,HongKong,1040,2,4,0,859,177,4,139,0.5,154989,20674
90,Hungary,2863,88,323,11,609,1931,49,296,33,76331,7901
91,Iceland,1797,0,10,0,1670,117,0,5266,29,48413,141873
92,India,35043,180,1154,0,9068,24821,0,25,0.8,902654,654
93,Indonesia,10551,433,800,8,1591,8160,0,39,3,102305,374
94,Iran,95646,1006,6091,63,76318,13237,2899,1139,73,475023,5656
95,Iraq,2085,0,93,0,1375,617,0,52,2,92061,2289
96,Ireland,20612,0,1232,0,13386,5994,123,4174,250,153954,31179
97,IsleofMan,315,0,21,0,260,34,21,3704,247,3117,36656
98,Israel,16004,58,223,1,8758,7023,105,1849,26,364467,42108
99,Italy,205463,0,27967,0,75945,101551,1694,3398,463,1979217,32735
100,IvoryCoast,1275,0,14,0,574,687,0,48,0.5,9657,366
101,Jamaica,422,26,8,1,29,385,3,143,3,4439,1499
102,Japan,14088,0,430,0,2460,11198,308,111,3,165609,1309
103,Jordan,453,0,8,0,362,83,5,44,0.8,63737,6247
104,Kazakhstan,3551,149,25,0,866,2660,40,189,1,268534,14301
105,Kenya,396,0,17,0,144,235,2,7,0.3,20268,377
106,Kuwait,4377,353,30,4,1602,2745,70,1025,7,179000,41915
107,Kyrgyzstan,756,10,8,0,504,244,12,116,1,51472,7889
108,Laos,19,0,0,0,8,11,0,3,0,2021,278
109,Latvia,870,12,16,1,348,506,2,461,8,61120,32404
110,Lebanon,729,4,24,0,192,513,44,107,4,36420,5336
111,Liberia,141,0,16,0,45,80,0,28,3,0,0
112,Libya,61,0,3,0,18,40,0,9,0.4,1949,284
113,Liechtenstein,82,0,1,0,55,26,0,2151,26,900,23605
