CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
World,"3,328,106","+23,886","234,718",+888,"1,052,648","2,040,740","50,823",427,30.1,,
,Europe,,"1,385,838","+12,394","135,715",+480,"511,236","738,887","18,739",,
,North America,,"1,187,712","+2,638","69,681",+162,"192,470","925,561","16,473",,
USA,"1,095,977",+954,"63,876 ",+20,"155,737","876,364","15,226","3,311",193,"6,391,887","19,311"
,Asia,,"526,764","+6,714","18,744",+134,"267,890","240,130","5,648",,
Spain,"239,639",,"24,543 ",,"137,984","77,112","2,676","5,125",525,"1,455,306","31,126"
Italy,"205,463",,"27,967 ",,"75,945","101,551","1,694","3,398",463,"1,979,217","32,735"
,South America,,"178,697","+1,883","8,811",+109,"60,118","109,768","9,802",,
UK,"171,253",,"26,771 ",,N/A,"144,138","1,559","2,523",394,"901,905","13,286"
France,"167,178",,"24,376 ",,"49,476","93,326","4,019","2,561",373,"724,574","11,101"
Germany,"163,162",+153,"6,632 ",+9,"126,900","29,630","2,415","1,947",79,"2,547,052","30,400"
Turkey,"120,204",,"3,174 ",,"48,886","68,144","1,514","1,425",38,"1,033,617","12,255"
Russia,"114,431","+7,933","1,169 ",+96,"13,220","100,042","2,300",784,8,"3,700,000","25,354"
Iran,"95,646","+1,006","6,091 ",+63,"76,318","13,237","2,899","1,139",73,"475,023","5,656"
Brazil,"87,187","+1,807","6,006 ",+105,"35,935","45,246","8,318",410,28,"339,552","1,597"
China,"82,874",+12,"4,633 ",,"77,642",599,38,58,3,,
Canada,"53,236",,"3,184 ",,"21,423","28,629",557,"1,411",84,"806,449","21,367"
Belgium,"49,032",+513,"7,703 ",+109,"11,892","29,437",740,"4,231",665,"253,198","21,847"
,Africa,,"40,026",+241,"1,640",+2,"13,212","25,174",126,,
Netherlands,"39,791",+475,"4,893 ",+98,N/A,"34,648",783,"2,322",286,"225,899","13,184"
Peru,"36,976",,"1,051 ",,"10,405","25,520",651,"1,121",32,"318,252","9,652"
India,"35,043",+180,"1,154 ",,"9,068","24,821",,25,0.8,"902,654",654
Switzerland,"29,705",+119,"1,737 ",,"23,400","4,568",167,"3,432",201,"271,500","31,371"
Portugal,"25,351",+306,"1,007 ",+18,"1,647","22,697",154,"2,486",99,"395,771","38,814"
Ecuador,"24,934",,900 ,,"1,558","22,476",146,"1,413",51,"69,054","3,914"
Saudi Arabia,"22,753",,162 ,,"3,163","19,428",123,654,5,"200,000","5,745"
Sweden,"21,520",+428,"2,653 ",+67,"1,005","17,862",531,"2,131",263,"119,500","11,833"
Ireland,"20,612",,"1,232 ",,"13,386","5,994",123,"4,174",250,"153,954","31,179"
Mexico,"19,224","+1,425","1,859 ",+127,"11,423","5,942",378,149,14,"81,912",635
Pakistan,"17,439",+966,391 ,+30,"4,315","12,733",111,79,2,"182,131",825
Singapore,"17,101",+932,15 ,,"1,244","15,842",21,"2,923",3,"143,919","24,600"
Chile,"16,023",,227 ,,"8,580","7,216",392,838,12,"180,517","9,443"
Israel,"16,004",+58,223 ,+1,"8,758","7,023",105,"1,849",26,"364,467","42,108"
Austria,"15,531",+79,589 ,+5,"13,110","1,832",124,"1,724",65,"264,079","29,321"
Belarus,"14,917",+890,93 ,+4,"2,918","11,906",92,"1,579",10,"186,262","19,712"
Qatar,"14,096",+687,12 ,+2,"1,436","12,648",72,"4,893",4,"97,726","33,920"
Japan,"14,088",,430 ,,"2,460","11,198",308,111,3,"165,609","1,309"
Poland,"13,105",+228,651 ,+7,"3,491","8,963",160,346,17,"354,628","9,370"
UAE,"13,038",+557,111 ,+6,"2,543","10,384",1,"1,318",11,"1,122,000","113,443"
Romania,"12,567",+327,726 ,+9,"4,328","7,513",249,653,38,"183,688","9,548"
Ukraine,"10,861",+455,272 ,+11,"1,413","9,176",143,248,6,"118,545","2,711"
S. Korea,"10,774",+9,248 ,+1,"9,072","1,454",55,210,5,"623,069","12,153"
Indonesia,"10,551",+433,800  ,+8,"1,591","8,160",,39,3,"102,305",374
Denmark,"9,311",+153,460 ,+8,"6,729","2,122",61,"1,608",79,"206,576","35,665"
Serbia,"9,009",,179 ,,"1,343","7,487",71,"1,031",20,"85,645","9,802"
Philippines,"8,772",+284,579 ,+11,"1,084","7,109",31,80,5,"108,680",992
,Oceania,,"8,348",+16,112,+1,"7,077","1,159",31,,
Bangladesh,"8,238",+571,170 ,+2,174,"7,894",1,50,1,"70,239",426
Norway,"7,759",+21,210 ,,32,"7,517",37,"1,431",39,"172,586","31,835"
Czechia,"7,689",+7,237 ,+1,"3,314","4,138",67,718,22,"249,634","23,311"
Dominican Republic,"6,972",,301 ,,"1,301","5,370",144,643,28,"25,368","2,339"
Australia,"6,767",+13,93 ,+1,"5,745",929,28,265,4,"588,868","23,093"
Panama,"6,532",+154,188 ,+10,576,"5,768",86,"1,514",44,"30,749","7,126"
Colombia,"6,507",,293 ,,"1,439","4,775",118,128,6,"104,657","2,057"
Malaysia,"6,071",+69,103 ,+1,"4,210","1,758",37,188,3,"160,296","4,953"
South Africa,"5,647",,103 ,,"2,073","3,471",36,95,2,"207,530","3,499"
Egypt,"5,537",,392 ,,"1,381","3,764",,54,4,"90,000",879
Finland,"5,051",+56,218 ,+7,"3,000","1,833",49,912,39,"97,600","17,615"
Morocco,"4,529",+106,171 ,+1,"1,055","3,303",1,123,5,"35,803",970
Argentina,"4,428",,218 ,,"1,256","2,954",157,98,5,"58,685","1,298"
Kuwait,"4,377",+353,30 ,+4,"1,602","2,745",70,"1,025",7,"179,000","41,915"
Algeria,"4,006",,450 ,,"1,779","1,777",22,91,10,"6,500",148
Moldova,"3,897",,122 ,+6,"1,272","2,503",237,966,30,"11,763","2,916"
Luxembourg,"3,784",,90 ,,"3,213",481,23,"6,045",144,"42,643","68,122"
Kazakhstan,"3,551",+149,25 ,,866,"2,660",40,189,1,"268,534","14,301"
Bahrain,"3,040",,8 ,,"1,500","1,532",1,"1,787",5,"129,694","76,220"
Thailand,"2,960",+6,54 ,,"2,719",187,61,42,0.8,"178,083","2,551"
Hungary,"2,863",+88,323 ,+11,609,"1,931",49,296,33,"76,331","7,901"
Greece,"2,591",,140 ,,"1,374","1,077",38,249,13,"75,170","7,212"
Oman,"2,447",+99,11 ,,495,"1,941",17,479,2,"40,459","7,923"
Afghanistan,"2,335",+164,68 ,+4,310,"1,957",7,60,2,"10,593",272
Armenia,"2,148",+82,33 ,+1,977,"1,138",10,725,11,"22,177","7,484"
Iraq,"2,085",,93 ,,"1,375",617,,52,2,"92,061","2,289"
Croatia,"2,085",+9,75 ,+6,"1,421",589,17,508,18,"36,917","8,993"
Uzbekistan,"2,075",+36,9 ,,"1,182",884,8,62,0.3,"242,536","7,247"
Ghana,"2,074",,17 ,,212,"1,845",4,67,0.5,"113,497","3,653"
Nigeria,"1,932",,58 ,,319,"1,555",2,9,0.3,"15,759",76
Cameroon,"1,832",,61 ,,934,837,12,69,2,,
Azerbaijan,"1,804",,24 ,,"1,325",455,17,178,2,"143,079","14,112"
Iceland,"1,797",,10 ,,"1,670",117,,"5,266",29,"48,413","141,873"
Bosnia and Herzegovina,"1,781",+24,70 ,+1,755,956,4,543,21,"32,178","9,808"
Estonia,"1,694",+5,52 ,,253,"1,389",7,"1,277",39,"53,767","40,532"
Bulgaria,"1,541",+35,66 ,,276,"1,199",40,222,9,"46,510","6,694"
Cuba,"1,501",,61 ,,681,759,10,133,5,"47,347","4,180"
Guinea,"1,495",,7 ,,329,"1,159",,114,0.5,,
North Macedonia,"1,494",+29,81 ,+4,807,606,13,717,39,"16,050","7,704"
New Zealand,"1,479",+3,19 ,,"1,252",208,1,307,4,"139,898","29,011"
Slovenia,"1,434",+5,92 ,+1,233,"1,109",22,690,44,"52,948","25,469"
Slovakia,"1,403",+7,23 ,,558,822,5,257,4,"91,072","16,681"
Lithuania,"1,399",+14,45 ,,594,760,17,514,17,"132,768","48,771"
Ivory Coast,"1,275",,14 ,,574,687,,48,0.5,"9,657",366
