CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
World,"3,479,493","+81,399","244,580","+5,132","1,108,020","2,126,893","50,864",446,31.4,,
,Europe,,"1,424,364","+25,674","139,410","+2,001","531,343","753,611","17,626",,
,North America,,"1,257,231","+32,276","73,725","+1,945","201,134","982,372","17,717",,
USA,"1,159,404","+28,374","67,390 ","+1,637","160,668","931,346","16,475","3,503",204,"6,925,119","20,922"
,Asia,,"545,544","+11,703","19,320",+359,"284,064","242,160","5,498",,
Spain,"245,567","+2,588","25,100 ",+276,"146,233","74,234","2,386","5,252",537,"1,528,833","32,699"
Italy,"209,328","+1,900","28,710 ",+474,"79,914","100,704","1,539","3,462",475,"2,108,837","34,879"
,South America,,"199,601","+9,502","10,235",+755,"69,039","120,327","9,862",,
UK,"182,260","+4,806","28,131 ",+621,N/A,"153,785","1,559","2,685",414,"1,129,907","16,644"
France,"168,396","+1,050","24,760 ",+166,"50,562","93,074","3,827","2,580",379,"1,100,228","16,856"
Germany,"164,967",+890,"6,812 ",+76,"129,000","29,155","2,105","1,969",81,"2,547,052","30,400"
Turkey,"124,375","+1,983","3,336 ",+78,"58,259","62,780","1,445","1,475",40,"1,111,366","13,177"
Russia,"124,054","+9,623","1,222 ",+53,"15,013","107,819","2,300",850,8,"3,945,518","27,036"
Brazil,"96,559","+4,450","6,750 ",+340,"40,937","48,872","8,318",454,32,"339,552","1,597"
Iran,"96,448",+802,"6,156 ",+65,"77,350","12,942","2,787","1,148",73,"484,541","5,769"
China,"82,875",+1,"4,633 ",,"77,685",557,37,58,3,,
Canada,"56,714","+1,653","3,566 ",+175,"23,801","29,347",557,"1,503",94,"832,222","22,050"
Belgium,"49,517",+485,"7,765 ",+62,"12,211","29,541",689,"4,273",670,"260,996","22,520"
,Africa,,"43,662","+2,222","1,762",+71,"14,661","27,239",127,,
Peru,"42,534","+2,075","1,200 ",+76,"12,434","28,900",671,"1,290",36,"355,604","10,785"
Netherlands,"40,236",+445,"4,987 ",+94,N/A,"34,999",708,"2,348",291,"225,899","13,184"
India,"39,699","+2,442","1,323 ",+100,"10,819","27,557",,29,1.0,"976,363",708
Switzerland,"29,817",+112,"1,762 ",+8,"24,200","3,855",141,"3,445",204,"276,000","31,890"
Ecuador,"27,464","+1,128","1,371 ",+308,"2,132","23,961",149,"1,557",78,"73,929","4,190"
