,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
0,Afghanistan,1092,66,36,0,150,906,7,28,0.9,6422,165
1,Albania,609,25,26,0,345,238,10,212,9,6017,2091
2,Algeria,2811,93,392,8,1152,1267,40,64,9,6500,148
3,Andorra,717,0,37,0,282,398,17,9280,479,1673,21653
4,Angola,24,0,2,0,6,16,0,0.7,0.06,0,0
5,Anguilla,3,0,0,0,1,2,0,200,0,0,0
6,AntiguaandBarbuda,23,0,3,0,7,13,1,235,31,108,1103
7,Argentina,3031,0,147,5,840,2044,123,67,3,36611,810
8,Armenia,1401,62,24,2,609,768,30,473,8,13929,4701
9,Aruba,97,0,2,0,51,44,4,909,19,1445,13534
10,Australia,6645,20,71,0,4685,1889,49,261,3,439000,17216
11,Austria,14873,78,491,21,10971,3411,196,1651,55,189018,20987
12,Azerbaijan,1480,44,20,1,865,595,16,146,2,102764,10135
13,Bahamas,64,4,9,0,11,44,1,163,23,0,0
14,Bahrain,1973,66,7,0,784,1182,2,1160,4,94380,55466
15,Bangladesh,3382,434,110,9,87,3185,1,21,0.7,29578,180
16,Barbados,75,0,5,0,23,47,4,261,17,1063,3699
17,Belarus,6723,459,55,4,577,6091,92,711,6,108545,11487
18,Belgium,40956,973,5998,170,9002,25956,1079,3534,518,167110,14419
19,Belize,18,0,2,0,2,14,1,45,5,651,1637
20,Benin,54,0,1,0,27,26,0,4,0.08,0,0
21,Bermuda,86,0,5,0,37,44,10,1381,80,651,10453
22,Bhutan,6,1,0,0,2,4,0,8,0,8765,11359
23,Bolivia,598,34,34,1,37,527,3,51,3,3569,306
24,BosniaandHerzegovina,1342,33,51,2,437,854,4,409,16,19195,5851
25,Botswana,20,0,1,0,0,19,0,9,0.4,4432,1885
26,Brazil,40814,71,2588,1,22991,15235,8318,192,12,291922,1373
27,BritishVirginIslands,5,0,1,0,3,1,0,165,33,0,0
28,Brunei,138,0,1,0,116,21,2,315,2,11633,26591
29,Bulgaria,975,46,45,2,170,760,34,140,6,26417,3802
30,BurkinaFaso,600,19,38,0,362,200,0,29,2,0,0
31,Burundi,5,0,1,0,4,0,0,0.4,0.08,80,7
32,CAR,14,2,0,0,10,4,0,3,0,0,0
33,CaboVerde,68,1,1,0,1,66,0,122,2,0,0
34,Cambodia,122,0,0,0,110,12,1,7,0,5768,345
35,Cameroon,1163,0,43,1,329,791,33,44,2,0,0
36,Canada,38205,1376,1831,141,12586,23788,557,1012,49,565931,14995
37,CaribbeanNetherlands,5,0,0,0,0,5,0,191,0,110,4195
38,CaymanIslands,66,0,1,0,7,58,3,1004,15,778,11838
39,Chad,33,0,0,0,8,25,0,2,0,0,0
40,ChannelIslands,496,8,24,0,256,216,0,2853,138,3320,19095
41,Chile,10832,325,147,8,4969,5716,392,567,8,122357,6401
42,China,82758,11,4632,0,77123,1003,82,57,3,0,0
43,Colombia,3977,0,189,0,804,2984,98,78,4,65169,1281
44,Congo,160,0,6,0,16,138,0,29,1,0,0
45,CostaRica,669,7,6,0,150,513,6,131,1,11387,2235
46,Croatia,1908,27,48,1,801,1059,18,465,12,26610,6482
47,Cuba,1137,50,38,2,309,790,18,100,3,30416,2685
48,Curaçao,14,0,1,0,11,2,0,85,6,286,1743
49,Cyprus,784,12,12,0,98,674,15,649,10,37081,30712
50,Czechia,6961,61,201,7,1753,5007,75,650,19,178617,16679
