,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
0,Afghanistan,2171,232,64,4,260,1847,7,56,2,10022,257
1,Albania,773,7,31,1,470,272,4,269,11,8253,2868
2,Algeria,3848,0,444,0,1702,1702,22,88,10,6500,148
3,Andorra,743,0,42,0,423,278,17,9616,544,1673,21653
4,Angola,27,0,2,0,7,18,0,0.8,0.06,0,0
5,Anguilla,3,0,0,0,3,0,0,200,0,0,0
6,AntiguaandBarbuda,24,0,3,0,11,10,1,245,31,113,1154
7,Argentina,4285,0,214,0,1192,2879,144,95,5,56058,1240
8,Armenia,2066,134,32,2,929,1105,10,697,11,21125,7129
9,Aruba,100,0,2,0,73,25,4,937,19,1649,15445
10,Australia,6753,7,91,2,5715,947,34,265,4,563641,22104
11,Austria,15452,50,584,4,12907,1961,128,1716,65,256399,28469
12,Azerbaijan,1804,38,24,1,1325,455,17,178,2,143079,14112
13,Bahamas,80,0,11,0,25,44,1,203,28,0,0
14,Bahrain,3037,116,8,0,1495,1534,1,1785,5,128481,75507
15,Bangladesh,7667,564,168,5,160,7339,1,47,1,64666,393
16,Barbados,80,0,7,0,39,34,4,278,24,2005,6977
17,Belarus,14027,846,89,5,2386,11552,92,1484,9,176625,18692
18,Belgium,48519,660,7594,93,11576,29349,769,4186,655,237963,20532
19,Belize,18,0,2,0,9,7,1,45,5,995,2502
20,Benin,64,0,1,0,33,30,0,5,0.08,0,0
21,Bermuda,111,0,6,0,48,57,10,1782,96,2197,35277
22,Bhutan,7,0,0,0,5,2,0,9,0,10045,13018
23,Bolivia,1110,57,59,4,117,934,3,95,5,5791,496
24,BosniaandHerzegovina,1757,80,69,4,727,961,4,536,21,30793,9386
25,Botswana,23,0,1,0,5,17,0,10,0.4,6548,2784
26,Brazil,79685,324,5513,2,34132,40040,8318,375,26,339552,1597
27,BritishVirginIslands,6,0,1,0,3,2,0,198,33,0,0
28,Brunei,138,0,1,0,124,13,2,315,2,13580,31041
29,Bulgaria,1488,41,65,1,266,1157,38,214,9,45208,6506
30,BurkinaFaso,641,0,43,0,498,100,0,31,2,0,0
31,Burundi,11,0,1,0,4,6,0,0.9,0.08,284,24
32,CAR,50,0,0,0,10,40,0,10,0,0,0
33,CaboVerde,113,0,1,0,2,110,0,203,2,791,1423
34,Cambodia,122,0,0,0,119,3,1,7,0,11975,716
35,Cameroon,1832,0,61,0,934,837,12,69,2,0,0
36,Canada,51597,0,2996,0,20327,28274,557,1367,79,779613,20656
37,CaribbeanNetherlands,5,0,0,0,0,5,0,191,0,110,4195
38,CaymanIslands,73,0,1,0,10,62,3,1111,15,1535,23356
39,Chad,52,0,2,0,19,31,0,3,0.1,0,0
40,ChannelIslands,537,0,38,0,386,113,0,3089,219,5342,30725
41,Chile,16023,1138,227,11,8580,7216,392,838,12,180517,9443
42,China,82862,4,4633,0,77610,619,41,58,3,0,0
43,Colombia,6211,4,278,0,1411,4522,118,122,5,95085,1869
44,Congo,220,13,9,1,19,192,0,40,2,0,0
45,CostaRica,713,0,6,0,323,384,8,140,1,13117,2575
46,Croatia,2076,14,69,2,1348,659,20,506,17,36221,8823
47,Cuba,1467,0,58,0,617,792,14,130,5,45344,4003
48,Curaçao,16,0,1,0,13,2,0,98,6,343,2090
49,Cyprus,843,0,15,0,148,680,15,698,12,53219,44079
50,Czechia,7581,2,227,0,3120,4234,68,708,21,242088,22606
51,DRC,500,9,31,1,65,404,0,6,0.3,0,0
52,Denmark,9158,150,452,9,6546,2160,62,1581,78,193165,33349
53,DiamondPrincess,712,0,13,0,645,54,4,0,0,0,0
54,Djibouti,1077,0,2,0,599,476,0,1090,2,12985,13143
55,Dominica,16,0,0,0,13,3,0,222,0,383,5320
56,DominicanRepublic,6652,0,293,0,1228,5131,144,613,27,25368,2339
57,Ecuador,24675,0,883,0,1557,22235,146,1399,50,61529,3487
58,Egypt,5268,0,380,0,1335,3553,0,51,4,90000,879
59,ElSalvador,395,18,9,0,118,268,3,61,1,24057,3709
60,EquatorialGuinea,315,0,1,0,9,305,0,225,0.7,854,609
61,Eritrea,39,0,0,0,19,20,0,11,0,0,0
62,Estonia,1689,23,52,2,249,1388,9,1273,39,52741,39758
63,Eswatini,100,9,1,0,12,87,0,86,0.9,714,615
64,Ethiopia,131,1,3,0,59,69,0,1,0.03,17842,155
65,FaeroeIslands,187,0,0,0,184,3,0,3827,0,6963,142500
66,FalklandIslands,13,0,0,0,11,2,0,3736,0,372,106897
67,Fiji,18,0,0,0,12,6,0,20,0,1007,1123
68,Finland,4995,89,211,5,3000,1784,48,902,38,93900,16947
69,France,166420,0,24087,0,48228,94105,4207,2550,369,463662,7103
70,FrenchGuiana,126,1,1,0,94,31,2,422,3,0,0
71,FrenchPolynesia,58,0,0,0,50,8,1,206,0,2409,8576
72,Gabon,276,0,3,0,67,206,1,124,1,724,325
73,Gambia,11,1,1,0,8,2,0,5,0.4,401,166
74,Georgia,539,22,6,0,178,355,6,135,2,13673,3428
75,Germany,161845,306,6470,3,123500,31875,2415,1932,77,2547052,30400
76,Ghana,2074,403,17,1,212,1845,4,67,0.5,113497,3653
77,Gibraltar,141,0,0,0,131,10,0,4185,0,2198,65240
78,Greece,2576,0,139,0,577,1860,41,247,13,72130,6920
79,Greenland,11,0,0,0,11,0,0,194,0,1258,22160
80,Grenada,20,0,0,0,13,7,4,178,0,1406,12495
81,Guadeloupe,151,2,12,0,95,44,11,377,30,0,0
82,Guatemala,585,28,16,0,65,504,5,33,0.9,7200,402
83,Guinea,1351,0,7,0,313,1031,0,103,0.5,0,0
84,Guinea-Bissau,205,0,1,0,19,185,0,104,0.5,1500,762
85,Guyana,78,4,8,0,18,52,3,99,10,519,660
86,Haiti,76,0,7,1,8,61,0,7,0.6,776,68
87,Honduras,771,33,71,5,79,621,10,78,7,3643,368
88,HongKong,1038,0,4,0,846,188,4,138,0.5,154989,20674
89,Hungary,2775,48,312,12,581,1882,54,287,32,72951,7552
90,Iceland,1797,0,10,0,1656,131,0,5266,29,47573,139411
91,India,33610,548,1079,0,8437,24094,0,24,0.8,830201,602
92,Indonesia,10118,347,792,8,1522,7804,0,37,3,94599,346
93,Iran,94640,983,6028,71,75103,13509,2976,1127,72,463295,5516
94,Iraq,2003,0,92,0,1346,565,0,50,2,86708,2156
95,Ireland,20253,0,1190,0,13386,5677,129,4102,241,153954,31179
96,IsleofMan,313,0,21,0,258,34,21,3681,247,3049,35857
97,Israel,15870,36,219,4,8412,7239,117,1834,25,364467,42108
98,Italy,203591,0,27682,0,71252,104657,1795,3367,458,1910761,31603
99,IvoryCoast,1238,0,14,0,557,667,0,47,0.5,0,0
100,Jamaica,396,0,7,0,29,360,3,134,2,3993,1348
101,Japan,13965,70,425,12,2368,11172,306,110,3,164255,1299
102,Jordan,451,0,8,0,356,87,5,44,0.8,63737,6247
103,Kazakhstan,3356,218,25,0,858,2473,41,179,1,249527,13289
104,Kenya,396,12,17,2,144,235,2,7,0.3,20268,377
105,Kuwait,4024,284,26,2,1539,2459,66,942,6,179000,41915
106,Kyrgyzstan,746,17,8,0,462,276,12,114,1,51472,7889
107,Laos,19,0,0,0,8,11,0,3,0,1927,265
108,Latvia,858,9,15,0,348,495,3,455,8,57886,30689
109,Lebanon,725,4,24,0,150,551,44,106,4,34499,5054
110,Liberia,141,0,16,0,45,80,0,28,3,0,0
111,Libya,61,0,2,0,18,41,0,9,0.3,1623,236
112,Liechtenstein,82,0,1,0,55,26,0,2151,26,900,23605
113,Lithuania,1385,10,45,0,589,751,17,509,17,125555,46121
114,Luxembourg,3769,0,89,0,3134,546,21,6021,142,41758,66708
115,MSZaandam,9,0,2,0,0,7,0,0,0,0,0
116,Macao,45,0,0,0,35,10,1,69,0,0,0
117,Madagascar,128,0,0,0,92,36,1,5,0,3228,117
118,Malawi,36,0,3,0,7,26,1,2,0.2,744,39
119,Malaysia,6002,57,102,2,4171,1729,40,185,3,160296,4953
120,Maldives,396,118,1,0,17,378,2,733,2,5296,9798
121,Mali,482,0,25,0,129,328,0,24,1,2172,107
122,Malta,465,2,4,0,351,110,1,1053,9,32989,74713
123,Martinique,178,3,14,0,83,81,5,474,37,0,0
124,Mauritania,8,0,1,0,6,1,0,2,0.2,1032,222
125,Mauritius,332,0,10,0,310,12,3,261,8,14445,11358
126,Mayotte,539,79,4,0,235,300,4,1976,15,3000,10996
127,Mexico,17799,1047,1732,163,11423,4644,378,138,13,81912,635
128,Moldova,3897,126,116,5,1182,2599,237,966,29,11763,2916
129,Monaco,95,0,4,0,58,33,1,2421,102,0,0
130,Mongolia,38,0,0,0,10,28,0,12,0,7455,2274
131,Montenegro,322,0,7,0,206,109,2,513,11,6864,10929
132,Montserrat,11,0,1,0,2,8,1,2204,200,36,7212
133,Morocco,4359,38,168,0,969,3222,1,118,5,33922,919
134,Mozambique,76,0,0,0,12,64,0,2,0,1896,61
135,Myanmar,150,0,6,0,27,117,0,3,0.1,7718,142
136,Namibia,16,0,0,0,8,8,0,6,0,704,277
137,Nepal,57,0,0,0,16,41,0,2,0,57189,1963
138,Netherlands,39316,514,4795,84,0,34271,783,2295,280,219744,12824
139,NewCaledonia,18,0,0,0,17,1,1,63,0,4456,15608
140,NewZealand,1476,2,19,0,1241,216,1,306,4,134570,27906
141,Nicaragua,13,0,3,0,7,3,0,2,0.5,0,0
142,Niger,713,0,32,0,435,246,0,29,1,5148,213
143,Nigeria,1728,0,51,0,307,1370,2,8,0.2,13689,66
144,NorthMacedonia,1465,23,77,4,738,650,13,703,37,16050,7704
145,Norway,7710,0,207,0,32,7471,40,1422,38,169124,31197
146,Oman,2348,74,11,1,495,1842,17,460,2,40459,7923
147,Pakistan,16117,592,358,15,4105,11654,111,73,2,174160,788
148,Palestine,344,0,2,0,71,271,0,67,0.4,27000,5293
149,Panama,6378,178,178,2,527,5673,92,1478,41,29837,6915
150,PapuaNewGuinea,8,0,0,0,0,8,0,0.9,0,604,68
151,Paraguay,249,10,9,0,111,129,1,35,1,8891,1247
152,Peru,33931,0,943,0,10037,22951,623,1029,29,296262,8985
153,Philippines,8488,276,568,10,1043,6877,31,77,5,104146,950
154,Poland,12781,141,628,4,3236,8917,160,338,17,338027,8931
155,Portugal,25045,540,989,16,1519,22537,172,2456,97,395771,38814
156,Qatar,13409,845,10,0,1372,12027,72,4654,3,94500,32801
157,Romania,12240,262,695,2,4017,7528,221,636,36,175374,9116
158,Russia,106498,7099,1073,101,11619,93806,2300,730,7,3490000,23915
159,Rwanda,225,0,0,0,98,127,0,17,0,8464,653
160,Réunion,420,0,0,0,300,120,2,469,0,0,0
161,S.Korea,10765,4,247,1,9059,1459,55,210,5,619881,12091
162,SaintKittsandNevis,15,0,0,0,6,9,0,282,0,293,5508
163,SaintLucia,17,0,0,0,15,2,0,93,0,446,2429
164,SaintMartin,38,0,3,0,24,11,3,983,78,0,0
165,SaintPierreMiquelon,1,0,0,0,0,1,0,173,0,0,0
166,SanMarino,569,6,41,0,78,450,6,16769,1208,2305,67932
167,SaoTomeandPrincipe,14,6,0,0,4,10,0,64,0,19,87
168,SaudiArabia,22753,1351,162,5,3163,19428,125,654,5,200000,5745
169,Senegal,933,51,9,0,334,590,1,56,0.5,466,28
170,Serbia,9009,285,179,6,1343,7487,71,1031,20,85645,9802
171,Seychelles,11,0,0,0,6,5,0,112,0,0,0
172,SierraLeone,124,20,7,3,21,96,0,16,0.9,0,0
173,Singapore,16169,528,14,0,1188,14967,22,2764,2,143919,24600
174,SintMaarten,75,0,13,0,33,29,7,1749,303,302,7044
175,Slovakia,1396,5,23,1,524,849,8,256,4,85922,15738
176,Slovenia,1429,11,91,2,233,1105,22,687,44,52948,25469
177,Somalia,582,0,28,0,20,534,2,37,2,0,0
178,SouthAfrica,5350,0,103,0,2073,3174,36,90,2,197127,3324
179,SouthSudan,35,1,0,0,0,35,0,3,0,0,0
180,Spain,239639,2740,24543,268,137984,77112,2676,5125,525,1455306,31126
181,SriLanka,653,4,7,0,139,507,1,30,0.3,21157,988
182,St.Barth,6,0,0,0,6,0,0,607,0,0,0
183,St.VincentGrenadines,16,0,0,0,8,8,0,144,0,108,973
184,Sudan,375,0,28,0,32,315,0,9,0.6,0,0
185,Suriname,10,0,1,0,8,1,0,17,2,404,689
186,Sweden,21092,790,2586,124,1005,17501,531,2088,256,119500,11833
187,Switzerland,29586,179,1737,21,23100,4749,167,3419,201,266200,30758
188,Syria,43,0,3,0,21,19,0,2,0.2,0,0
189,Taiwan,429,0,6,0,322,101,0,18,0.3,62844,2639
190,Tajikistan,15,15,0,0,0,15,0,2,0,0,0
191,Tanzania,480,0,16,0,167,297,7,8,0.3,0,0
192,Thailand,2954,7,54,0,2684,216,61,42,0.8,178083,2551
193,Timor-Leste,24,0,0,0,16,8,0,18,0,322,244
194,Togo,116,7,9,2,65,42,0,14,1,6882,831
195,TrinidadandTobago,116,0,8,0,72,36,0,83,6,1683,1203
196,Tunisia,980,0,40,0,294,646,20,83,3,22062,1867
197,Turkey,117589,0,3081,0,44040,70468,1574,1394,37,991613,11757
198,TurksandCaicos,12,0,1,0,5,6,0,310,26,83,2144
199,UAE,12481,552,105,7,2429,9947,1,1262,11,1122000,113443
200,UK,165221,0,26097,0,0,138780,1559,2434,384,818539,12058
201,Uganda,81,0,0,0,52,29,0,2,0,29279,640
202,Ukraine,10406,540,261,11,1238,8907,138,238,6,111859,2558
203,Uruguay,630,5,15,0,412,203,11,181,4,19016,5474
204,Uzbekistan,2017,15,9,0,1126,882,8,60,0.3,242536,7247
205,VaticanCity,10,0,0,0,2,8,0,12484,0,0,0
206,Venezuela,331,0,10,0,142,179,2,12,0.4,458737,16132
207,Vietnam,270,0,0,0,219,51,8,3,0,261004,2681
208,WesternSahara,6,0,0,0,5,1,0,10,0,0,0
209,Yemen,6,0,2,2,1,3,0,0.2,0.07,120,4
210,Zambia,97,0,3,0,54,40,1,5,0.2,5284,287
