Region,Places reporting cases,Cases,Deaths,Confirmed cases in the last 14 days
Africa,Algeria,2160,336,1313
Africa,Angola,19,2,11
Africa,Benin,35,1,22
Africa,Botswana,13,1,9
Africa,Burkina_Faso,542,32,281
Africa,Burundi,5,1,3
Africa,Cameroon,855,17,622
Africa,Cape_Verde,55,1,49
Africa,Central_African_Republic,11,0,3
Africa,Chad,27,0,20
Africa,Congo,117,5,95
Africa,Cote_dIvoire,654,6,464
Africa,Democratic_Republic_of_the_Congo,267,22,144
Africa,Djibouti,435,2,401
Africa,Egypt,2505,183,1795
Africa,Equatorial_Guinea,51,0,36
Africa,Eritrea,35,0,17
Africa,Eswatini,16,0,7
Africa,Ethiopia,85,3,56
Africa,Gabon,87,1,69
Africa,Gambia,9,1,5
Africa,Ghana,641,8,446
Africa,Guinea,404,1,374
Africa,Guinea_Bissau,43,0,34
Africa,Kenya,225,10,144
Africa,Liberia,59,6,53
Africa,Libya,48,1,38
Africa,Madagascar,110,0,56
Africa,Malawi,16,2,16
Africa,Mali,148,13,120
Africa,Mauritania,7,1,2
Africa,Mauritius,324,9,170
Africa,Morocco,2024,127,1370
Africa,Mozambique,29,0,19
Africa,Namibia,16,0,3
Africa,Niger,584,14,510
Africa,Nigeria,407,12,256
Africa,Rwanda,136,0,54
Africa,Sao_Tome_and_Principe,4,0,4
Africa,Senegal,314,2,124
Africa,Seychelles,11,0,1
Africa,Sierra_Leone,13,0,12
Africa,Somalia,80,5,75
Africa,South_Africa,2506,34,1126
Africa,South_Sudan,4,0,4
Africa,Sudan,32,5,25
Africa,Togo,81,3,45
Africa,Tunisia,780,35,386
Africa,Uganda,55,0,11
Africa,United_Republic_of_Tanzania,88,4,68
Africa,Zambia,48,2,12
Africa,Zimbabwe,23,3,15
America,Anguilla,3,0,1
America,Antigua_and_Barbuda,23,2,16
America,Argentina,2432,109,1299
America,Aruba,93,1,38
America,Bahamas,53,8,32
America,Barbados,75,5,30
America,Belize,18,2,15
America,Bermuda,81,5,49
America,Bolivia,441,29,318
America,"Bonaire, Saint Eustatius and Saba",4,0,2
America,Brazil,28320,1736,21484
