Region,Places reporting cases,Cases,Deaths,Confirmed cases in the last 14 days
Africa,Algeria,4838,470,2027
Africa,Angola,36,2,12
Africa,Benin,96,2,42
Africa,Botswana,23,1,3
Africa,Burkina_Faso,688,48,88
Africa,Burundi,19,1,13
Africa,Cameroon,2104,64,941
Africa,Cape_Verde,186,2,119
Africa,Central_African_Republic,94,0,80
Africa,Chad,170,17,136
Africa,Comoros,4,1,4
Africa,Congo,236,10,71
Africa,Cote_dIvoire,1464,18,548
Africa,Democratic_Republic_of_the_Congo,705,34,346
Africa,Djibouti,1120,2,175
Africa,Egypt,7201,452,3711
Africa,Equatorial_Guinea,439,4,360
Africa,Eritrea,39,0,0
Africa,Eswatini,116,1,92
Africa,Ethiopia,145,4,31
Africa,Gabon,397,6,241
Africa,Gambia,17,1,7
Africa,Ghana,2719,18,1677
Africa,Guinea,1811,10,1123
Africa,Guinea_Bissau,475,2,425
Africa,Kenya,535,24,254
Africa,Liberia,170,20,69
Africa,Libya,63,3,12
Africa,Madagascar,168,0,47
Africa,Malawi,41,3,23
Africa,Mali,612,32,354
Africa,Mauritania,8,1,1
Africa,Mauritius,332,10,4
Africa,Morocco,5219,191,2010
Africa,Mozambique,81,0,42
Africa,Namibia,16,0,0
Africa,Niger,763,38,108
Africa,Nigeria,2950,98,2168
Africa,Rwanda,261,0,111
Africa,Sao_Tome_and_Principe,174,3,170
Africa,Senegal,1329,11,917
Africa,Seychelles,11,0,0
Africa,Sierra_Leone,199,11,149
Africa,Somalia,835,38,549
Africa,South_Africa,7572,148,4107
Africa,South_Sudan,52,0,48
Africa,Sudan,778,45,671
Africa,Togo,128,9,42
Africa,Tunisia,1022,43,121
Africa,Uganda,98,0,40
Africa,United_Republic_of_Tanzania,480,18,226
Africa,Western_Sahara,6,0,6
Africa,Zambia,139,4,74
Africa,Zimbabwe,34,4,6
America,Anguilla,3,0,0
America,Antigua_and_Barbuda,25,3,1
America,Argentina,5007,264,1875
America,Aruba,100,2,3
America,Bahamas,89,11,24
America,Barbados,82,7,7
America,Belize,18,2,0
America,Bermuda,115,7,17
America,Bolivia,1802,86,1193
America,"Bonaire, Saint Eustatius and Saba",6,0,0
America,Brazil,114715,7921,71636
America,British_Virgin_Islands,7,1,2
America,Canada,62046,4043,23633
America,Cayman_Islands,75,1,9
America,Chile,22016,275,11184
America,Colombia,8613,378,4464
America,Costa_Rica,755,6,86
America,Cuba,1685,69,548
America,Curaçao,16,1,2
America,Dominica,16,0,0
America,Dominican_Republic,8480,354,3436
America,Ecuador,31881,1569,21483
America,El_Salvador,587,14,362
America,Falkland_Islands_(Malvinas),13,0,1
America,Greenland,11,0,0
America,Grenada,21,0,7
America,Guatemala,763,19,447
America,Guyana,93,10,26
America,Haiti,101,12,43
America,Honduras,1270,93,760
America,Jamaica,473,9,240
America,Mexico,26025,2507,16524
America,Montserrat,11,1,0
America,Nicaragua,16,5,6
America,Panama,7523,210,2702
America,Paraguay,431,10,218
America,Peru,51189,1444,33352
America,Puerto_Rico,1924,99,672
America,Saint_Kitts_and_Nevis,15,0,0
America,Saint_Lucia,18,0,3
America,Saint_Vincent_and_the_Grenadines,17,0,5
America,Sint_Maarten,76,14,8
America,Suriname,10,1,0
America,Trinidad_and_Tobago,116,8,1
America,Turks_and_Caicos_islands,12,1,1
America,United_States_of_America,1204475,71078,379434
America,United_States_Virgin_Islands,66,4,12
America,Uruguay,670,17,127
America,Venezuela,367,10,82
Asia,Afghanistan,3224,95,2132
Asia,Bahrain,3720,8,1747
Asia,Bangladesh,10929,183,7547
Asia,Bhutan,7,0,1
Asia,Brunei_Darussalam,138,1,0
Asia,Cambodia,122,0,0
Asia,China,83968,4637,104
Asia,India,49391,1694,29407
Asia,Indonesia,12071,872,4936
Asia,Iran,99970,6340,15168
Asia,Iraq,2431,102,829
Asia,Israel,16289,238,2347
Asia,Japan,15354,543,3858
Asia,Jordan,471,9,46
Asia,Kazakhstan,4277,29,2252
Asia,Kuwait,5804,40,3724
Asia,Kyrgyzstan,871,12,259
Asia,Laos,19,0,0
Asia,Lebanon,741,25,64
Asia,Malaysia,6383,106,901
Asia,Maldives,573,1,488
Asia,Mongolia,41,0,6
Asia,Myanmar,161,6,40
Asia,Nepal,82,0,40
Asia,Oman,2735,12,1227
Asia,Pakistan,22550,526,12801
Asia,Palestine,538,4,209
Asia,Philippines,9684,637,3085
Asia,Qatar,17142,12,10609
Asia,Saudi_Arabia,30251,200,18620
Asia,Singapore,19410,18,10285
Asia,South_Korea,10806,255,112
Asia,Sri_Lanka,771,9,461
Asia,Syria,44,3,2
Asia,Taiwan,438,6,13
Asia,Tajikistan,293,5,293
Asia,Thailand,2988,54,177
Asia,Timor_Leste,24,0,1
Asia,Turkey,129491,3520,33900
Asia,United_Arab_Emirates,15192,146,7437
Asia,Uzbekistan,2207,10,515
Asia,Vietnam,271,0,3
Asia,Yemen,21,3,20
Europe,Albania,820,31,211
Europe,Andorra,751,46,34
Europe,Armenia,2619,40,1146
Europe,Austria,15586,606,753
Europe,Azerbaijan,2060,26,580
Europe,Belarus,18350,107,11627
Europe,Belgium,50509,8016,9553
Europe,Bosnia_and_Herzegovina,1946,79,606
Europe,Bulgaria,1689,78,714
Europe,Croatia,2112,83,204
Europe,Cyprus,878,20,94
Europe,Czechia,7896,257,855
Europe,Denmark,9821,503,2126
Europe,Estonia,1711,55,159
Europe,Faroe_Islands,187,0,2
Europe,Finland,5412,246,1398
Europe,France,132967,25531,15643
Europe,Georgia,604,9,196
Europe,Germany,164897,6996,19203
Europe,Gibraltar,144,0,11
Europe,Greece,2642,146,241
Europe,Guernsey,252,13,13
Europe,Holy_See,11,0,2
Europe,Hungary,3111,373,943
Europe,Iceland,1799,10,21
Europe,Ireland,21983,1339,5943
Europe,Isle_of_Man,326,23,19
Europe,Italy,213013,29315,29056
Europe,Jersey,293,24,38
Europe,Kosovo,856,26,252
Europe,Latvia,896,17,148
Europe,Liechtenstein,83,1,1
